Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],79,73-6,92.4%,71.1%,69.8%,594,9.9%,144,2.4%,6.3%,61.6%,79.3%,57.8%,61.7%,91.5%,5.9,1.7,79,40.9%,42.3%,7.5%,3.1%,31.9%,55.9%,28.3%,6.7,2.7,27.0,41.0,79,42.2%,278,658,0.67,3.1,8.3,1.32,3.5,73.6%,240,326,0.32,1.6,4.1,0.41,1.1,79,1.41,12582,55.3%,33,25-8,75.8%,15.7%,210,176-34,83.8%,1990,1200-790,60.3%,1:49,41.2,41.2
2,Alexander Zverev[GER],89,68-21,76.4%,70.4%,68.6%,808,11.5%,185,2.6%,9.2%,71.4%,76.6%,54.8%,60.3%,90.0%,6.0,1.8,89,37.9%,38.8%,6.5%,2.5%,29.8%,51.4%,22.5%,6.6,2.5,33.0,56.4,89,37.3%,263,705,0.60,2.9,7.9,1.09,3.0,69.2%,263,380,0.32,1.6,4.3,0.49,1.3,89,1.28,14735,53.4%,50,30-20,60.0%,20.7%,241,170-71,70.5%,2341,1317-1024,56.3%,1:52,41.3,40.5
3,Carlos Alcaraz[ESP],67,54-13,80.6%,68.1%,67.9%,308,6.3%,130,2.6%,7.7%,65.5%,73.6%,57.7%,62.5%,86.7%,6.1,1.9,67,41.6%,41.7%,5.1%,3.5%,34.4%,54.4%,30.9%,6.7,2.8,29.0,56.2,67,42.0%,249,593,0.74,3.4,8.9,1.44,3.7,64.5%,196,304,0.37,1.8,4.5,0.62,1.6,67,1.31,10348,54.2%,31,18-13,58.1%,17.9%,173,130-43,75.1%,1618,953-665,58.9%,1:31,35.3,35.4
4,Taylor Fritz[USA],76,53-23,69.7%,69.9%,67.1%,795,13.1%,137,2.3%,6.1%,62.9%,78.3%,55.7%,59.3%,88.5%,6.0,1.8,76,35.6%,35.9%,7.7%,3.8%,27.4%,49.5%,20.1%,6.3,2.2,27.0,55.8,76,39.1%,196,501,0.51,2.5,6.6,0.96,2.6,69.6%,265,381,0.38,1.9,5.0,0.57,1.5,76,1.18,12181,52.6%,34,22-12,64.7%,16.7%,204,133-71,65.2%,1981,1086-895,54.8%,1:41,37.7,37.9
5,Jack Draper[GBR],61,39-22,63.9%,67.0%,66.0%,513,10.8%,194,4.1%,10.1%,59.6%,78.0%,50.9%,56.6%,84.1%,6.1,2.0,61,37.7%,38.8%,8.3%,3.5%,29.7%,50.4%,24.2%,6.4,2.4,31.0,56.1,61,42.4%,189,446,0.57,2.8,7.3,1.17,3.1,60.3%,188,312,0.40,1.9,5.1,0.77,2.0,61,1.14,9748,52.0%,24,13-11,54.2%,14.8%,162,98-64,60.5%,1562,845-717,54.1%,1:51,41.8,41.7
6,Novak Djokovic[SRB],46,37-9,80.4%,68.4%,67.8%,299,8.2%,106,2.9%,8.2%,64.4%,75.4%,55.9%,60.9%,85.9%,6.1,1.9,46,41.3%,42.4%,6.9%,3.2%,33.5%,54.6%,29.9%,6.6,2.7,32.0,68.7,46,41.6%,174,418,0.72,3.3,9.1,1.36,3.8,65.3%,158,242,0.41,1.9,5.3,0.66,1.8,46,1.31,7467,54.6%,19,13-6,68.4%,14.8%,128,95-33,74.2%,1178,687-491,58.3%,1:39,35.6,36.6
7,Casper Ruud[NOR],76,51-25,67.1%,66.6%,65.9%,426,7.5%,152,2.7%,7.8%,65.8%,73.0%,54.4%,59.0%,84.0%,6.3,2.1,76,37.6%,38.9%,8.5%,3.3%,29.7%,50.3%,24.0%,6.4,2.4,37.0,72.5,76,40.5%,216,533,0.59,2.7,7.0,1.09,2.8,63.4%,251,396,0.44,2.0,5.2,0.73,1.9,76,1.13,11428,52.0%,28,17-11,60.7%,14.1%,198,122-76,61.6%,1809,980-829,54.2%,1:36,36.7,38.2
8,Alex De Minaur[AUS],68,47-21,69.1%,64.4%,64.6%,312,6.2%,184,3.6%,8.0%,54.6%,72.6%,54.6%,59.3%,80.7%,6.2,2.2,68,42.0%,42.2%,5.8%,3.9%,32.9%,55.6%,31.1%,6.6,2.8,33.5,73.8,68,45.0%,259,575,0.69,3.2,8.5,1.46,3.8,59.7%,234,392,0.48,2.2,5.8,0.89,2.3,68,1.18,10590,52.7%,18,11-7,61.1%,10.1%,178,116-62,65.2%,1653,920-733,55.7%,1:47,40.8,41.1
9,Lorenzo Musetti[ITA],68,40-28,58.8%,64.0%,63.8%,242,4.4%,115,2.1%,5.9%,64.7%,70.4%,52.4%,55.7%,78.8%,6.3,2.3,68,37.6%,38.1%,6.9%,3.3%,29.2%,51.7%,22.2%,6.7,2.5,48.5,58.8,68,36.8%,193,524,0.60,2.9,7.7,1.05,2.8,57.0%,245,430,0.49,2.3,6.3,1.01,2.7,68,1.04,11316,50.5%,34,18-16,52.9%,18.6%,183,99-84,54.1%,1740,880-860,50.6%,1:50,40.9,39.7
10,Holger Rune[DEN],68,45-23,66.2%,66.5%,66.0%,456,8.4%,194,3.6%,9.0%,60.2%,74.0%,55.2%,60.6%,84.7%,6.3,2.1,68,35.2%,35.7%,7.8%,3.5%,26.8%,48.7%,18.9%,6.3,2.2,45.0,79.7,68,37.9%,162,428,0.50,2.4,6.3,0.91,2.4,65.8%,252,383,0.45,2.2,5.6,0.74,1.9,68,1.05,10833,50.9%,31,20-11,64.5%,17.4%,178,107-71,60.1%,1714,889-825,51.9%,1:46,40.3,39.8
11,Daniil Medvedev[RUS],65,46-19,70.8%,64.0%,64.8%,434,8.0%,298,5.5%,14.3%,61.8%,73.2%,49.3%,57.5%,80.0%,6.5,2.3,65,39.9%,40.5%,5.8%,3.1%,32.5%,52.7%,28.0%,6.6,2.6,31.0,36.0,65,44.4%,239,538,0.63,3.0,8.3,1.34,3.7,61.2%,265,433,0.51,2.4,6.7,0.94,2.6,65,1.11,11051,51.8%,28,20-8,71.4%,15.7%,178,115-63,64.6%,1694,912-782,53.8%,1:50,40.2,38.9
12,Tommy Paul[USA],64,45-19,70.3%,65.2%,64.1%,355,7.0%,109,2.1%,5.6%,61.9%,71.6%,55.0%,58.3%,82.2%,6.4,2.2,64,40.8%,41.3%,5.2%,2.9%,34.2%,52.2%,28.5%,6.6,2.7,48.5,58.8,64,41.4%,222,536,0.69,3.2,8.4,1.32,3.5,66.2%,276,417,0.53,2.5,6.5,0.84,2.2,64,1.17,10239,52.9%,23,14-9,60.9%,13.7%,168,113-55,67.3%,1569,872-697,55.6%,1:43,39.1,38.5
13,Ben Shelton[USA],67,41-26,61.2%,69.0%,68.1%,644,11.0%,223,3.8%,12.2%,69.0%,75.6%,54.2%,61.8%,88.8%,6.3,2.0,67,32.5%,32.4%,7.1%,3.6%,25.0%,45.5%,14.9%,6.3,2.1,56.0,80.0,67,34.6%,137,396,0.43,2.2,5.9,0.76,2.0,72.8%,278,382,0.41,2.1,5.7,0.57,1.6,67,1.05,11703,50.8%,50,24-26,48.0%,27.6%,181,103-78,56.9%,1849,963-886,52.1%,1:57,43.3,40.2
14,Arthur Fils[FRA],66,38-28,57.6%,65.2%,65.1%,429,8.4%,220,4.3%,11.1%,61.1%,75.2%,49.5%,55.7%,82.3%,6.3,2.2,66,36.3%,37.3%,7.3%,2.8%,29.3%,48.3%,20.0%,6.4,2.3,55.5,75.6,66,39.0%,161,413,0.51,2.4,6.3,0.95,2.4,63.8%,252,395,0.49,2.3,6.0,0.84,2.2,66,1.04,10258,50.7%,30,18-12,60.0%,17.6%,170,93-77,54.7%,1610,824-786,51.2%,1:49,42.3,42.1
