Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],13,11-2,84.6%,69.5%,69.7%,59,5.7%,29,2.8%,7.4%,62.0%,78.8%,54.3%,58.7%,88.1%,5.9,1.8,Jannik Sinner[ITA],13,42.9%,42.3%,4.1%,4.0%,35.6%,53.8%,32.6%,6.5,2.8,31.0,40.4,Jannik Sinner[ITA],13,47.5%,57,120,0.69,3.2,9.2,1.50,4.4,69.1%,47,68,0.39,1.8,5.2,0.55,1.6,Jannik Sinner[ITA],13,1.40,2173,55.5%,2,1-1,50.0%,5.3%,38,30-8,78.9%,351,212-139,60.4%,0:59,20.2,21.2
2,Alexander Zverev[GER],29,23-6,79.3%,68.4%,67.0%,205,10.1%,57,2.8%,10.3%,72.6%,75.0%,51.0%,56.8%,86.7%,6.0,1.9,Alexander Zverev[GER],29,41.0%,40.8%,3.4%,2.6%,33.3%,53.5%,27.7%,6.8,2.8,39.0,57.2,Alexander Zverev[GER],29,35.2%,95,270,0.79,3.6,9.3,1.27,3.3,61.5%,72,117,0.35,1.6,4.0,0.60,1.6,Alexander Zverev[GER],29,1.30,4345,53.8%,10,8-2,80.0%,13.3%,75,55-20,73.3%,681,388-293,57.0%,1:06,25.3,26.3
3,Carlos Alcaraz[ESP],21,17-4,81.0%,64.9%,65.4%,55,3.5%,42,2.7%,8.4%,68.3%,69.1%,55.7%,60.8%,83.7%,6.4,2.3,Carlos Alcaraz[ESP],21,44.2%,43.3%,3.3%,4.1%,35.6%,59.3%,36.3%,6.8,3.0,28.0,63.2,Carlos Alcaraz[ESP],21,43.4%,89,205,0.84,3.8,9.8,1.65,4.2,67.2%,82,122,0.50,2.3,5.8,0.74,1.9,Carlos Alcaraz[ESP],21,1.26,3243,54.3%,10,6-4,60.0%,18.5%,54,42-12,77.8%,491,295-196,60.1%,0:37,14.3,14.3
4,Taylor Fritz[USA],22,15-7,68.2%,68.9%,66.1%,204,11.9%,32,1.9%,5.2%,63.9%,77.6%,53.3%,56.2%,86.3%,6.0,1.9,Taylor Fritz[USA],22,35.5%,35.7%,6.0%,3.1%,30.1%,46.6%,22.1%,6.0,2.1,27.0,48.5,Taylor Fritz[USA],22,42.3%,60,142,0.52,2.4,6.5,1.03,2.7,68.0%,83,122,0.43,2.1,5.5,0.67,1.8,Taylor Fritz[USA],22,1.14,3351,52.6%,7,3-4,42.9%,12.1%,58,35-23,60.3%,555,305-250,55.0%,1:05,24.6,25.5
5,Jack Draper[GBR],12,5-7,41.7%,67.0%,66.5%,74,8.0%,31,3.3%,8.9%,62.6%,75.9%,52.2%,57.3%,80.0%,5.8,1.9,Jack Draper[GBR],12,33.9%,35.6%,8.6%,2.1%,26.0%,48.3%,21.1%,6.2,2.1,49.5,107.9,Jack Draper[GBR],12,38.6%,34,88,0.55,2.7,7.3,1.03,2.8,43.9%,25,57,0.36,1.7,4.8,0.97,2.7,Jack Draper[GBR],12,1.03,1930,49.8%,5,2-3,40.0%,15.2%,33,15-18,45.5%,321,162-159,50.5%,1:25,30.8,31.6
6,Novak Djokovic[SRB],19,16-3,84.2%,66.8%,66.2%,73,5.3%,26,1.9%,5.6%,66.3%,71.9%,56.6%,60.0%,81.8%,6.2,2.1,Novak Djokovic[SRB],19,44.4%,44.2%,3.4%,3.1%,39.7%,52.5%,38.2%,6.5,2.9,30.0,46.7,Novak Djokovic[SRB],19,48.0%,84,175,0.80,3.6,9.2,1.75,4.4,64.3%,74,115,0.51,2.4,6.1,0.85,2.2,Novak Djokovic[SRB],19,1.34,2811,55.5%,5,4-1,80.0%,10.4%,48,38-10,79.2%,445,268-177,60.2%,0:47,18.6,19.0
7,Casper Ruud[NOR],31,24-7,77.4%,65.2%,64.9%,131,5.6%,59,2.5%,7.5%,66.0%,70.5%,55.1%,59.6%,80.4%,6.3,2.2,Casper Ruud[NOR],31,40.9%,41.7%,5.7%,2.8%,34.9%,51.3%,30.7%,6.5,2.7,34.0,48.3,Casper Ruud[NOR],31,43.9%,111,253,0.70,3.1,8.2,1.37,3.6,61.9%,117,189,0.51,2.3,6.1,0.89,2.3,Casper Ruud[NOR],31,1.18,4672,53.0%,5,5-0,100.0%,6.2%,81,56-25,69.1%,728,406-322,55.8%,1:13,27.8,28.9
8,Alex De Minaur[AUS],15,10-5,66.7%,62.8%,64.1%,39,3.6%,43,4.0%,9.0%,55.4%,66.6%,58.1%,63.8%,76.3%,6.0,2.2,Alex De Minaur[AUS],15,43.8%,42.3%,3.1%,4.9%,38.2%,53.3%,38.1%,6.5,2.9,41.0,107.2,Alex De Minaur[AUS],15,50.0%,69,138,0.76,3.5,9.2,1.77,4.6,53.8%,49,91,0.51,2.3,6.1,1.08,2.8,Alex De Minaur[AUS],15,1.18,2248,52.8%,3,0-3,0.0%,7.7%,39,24-15,61.5%,358,204-154,57.0%,1:09,26.7,27.8
9,Lorenzo Musetti[ITA],20,12-8,60.0%,63.2%,63.1%,41,3.0%,22,1.6%,4.6%,64.2%,70.4%,50.3%,52.7%,78.6%,6.1,2.3,Lorenzo Musetti[ITA],20,40.4%,40.5%,3.6%,2.2%,34.3%,52.0%,28.5%,6.5,2.6,37.0,47.0,Lorenzo Musetti[ITA],20,44.7%,63,141,0.64,2.9,7.1,1.31,3.2,52.0%,51,98,0.45,2.0,4.9,0.98,2.4,Lorenzo Musetti[ITA],20,1.10,2787,51.5%,5,2-3,40.0%,10.4%,48,29-19,60.4%,441,236-205,53.5%,0:60,24.8,25.6
10,Holger Rune[DEN],17,11-6,64.7%,63.7%,64.0%,77,5.0%,49,3.2%,8.1%,60.1%,70.8%,53.1%,57.8%,81.1%,6.5,2.4,Holger Rune[DEN],17,35.8%,35.2%,4.7%,3.5%,29.6%,45.9%,19.4%,6.3,2.3,45.0,64.8,Holger Rune[DEN],17,39.5%,45,114,0.49,2.4,6.7,0.94,2.6,65.4%,83,127,0.55,2.6,7.5,0.92,2.6,Holger Rune[DEN],17,0.99,2984,50.1%,8,7-1,87.5%,16.7%,48,30-18,62.5%,465,234-231,50.3%,1:28,31.1,30.0
11,Daniil Medvedev[RUS],16,11-5,68.8%,62.8%,63.7%,63,5.2%,53,4.4%,11.6%,62.6%,71.7%,47.9%,54.2%,76.5%,6.7,2.5,Daniil Medvedev[RUS],16,40.8%,41.4%,4.4%,2.2%,35.4%,50.4%,28.3%,6.6,2.7,35.0,41.6,Daniil Medvedev[RUS],16,48.6%,53,109,0.58,2.7,6.8,1.33,3.3,58.3%,60,103,0.56,2.6,6.4,1.08,2.7,Daniil Medvedev[RUS],16,1.10,2454,51.7%,5,4-1,80.0%,12.5%,40,25-15,62.5%,370,193-177,52.2%,1:00,24.1,23.6
12,Tommy Paul[USA],14,10-4,71.4%,63.9%,63.4%,48,4.5%,19,1.8%,5.0%,65.0%,67.5%,57.3%,60.3%,79.6%,6.5,2.3,Tommy Paul[USA],14,43.8%,43.8%,3.9%,3.0%,37.7%,55.5%,34.4%,6.9,3.0,43.0,51.1,Tommy Paul[USA],14,40.9%,56,137,0.84,3.8,9.8,1.56,4.0,65.7%,65,99,0.59,2.8,7.1,0.94,2.4,Tommy Paul[USA],14,1.21,2202,53.6%,5,3-2,60.0%,13.9%,36,25-11,69.4%,330,189-141,57.3%,1:03,24.4,23.9
13,Ben Shelton[USA],12,8-4,66.7%,66.8%,68.0%,74,7.3%,53,5.2%,15.3%,65.8%,73.8%,53.2%,62.8%,85.9%,6.2,2.1,Ben Shelton[USA],12,34.9%,33.8%,4.2%,3.9%,29.2%,45.5%,17.1%,6.4,2.2,56.0,79.7,Ben Shelton[USA],12,32.1%,27,84,0.53,2.5,7.0,0.82,2.3,65.7%,44,67,0.41,2.0,5.6,0.70,1.9,Ben Shelton[USA],12,1.05,2027,50.8%,5,2-3,40.0%,15.2%,33,19-14,57.6%,321,167-154,52.0%,1:32,33.3,32.6
14,Arthur Fils[FRA],20,10-10,50.0%,61.2%,61.5%,81,5.6%,57,4.0%,10.3%,61.8%,69.2%,48.3%,53.8%,75.6%,6.5,2.5,Arthur Fils[FRA],20,39.3%,39.6%,3.8%,2.0%,35.5%,46.0%,25.1%,6.2,2.4,59.0,94.9,Arthur Fils[FRA],20,50.5%,56,111,0.50,2.3,5.6,1.17,2.8,60.9%,84,138,0.62,2.9,6.9,1.13,2.7,Arthur Fils[FRA],20,1.01,2823,50.5%,4,3-1,75.0%,8.3%,48,24-24,50.0%,444,223-221,50.2%,1:34,39.2,40.0
15,Grigor Dimitrov[BUL],12,8-4,66.7%,67.0%,68.4%,62,6.0%,51,4.9%,12.1%,59.0%,76.4%,53.4%,60.8%,84.9%,6.2,2.1,Grigor Dimitrov[BUL],12,37.3%,38.7%,8.1%,2.8%,30.8%,48.2%,21.3%,6.8,2.5,70.0,63.3,Grigor Dimitrov[BUL],12,37.2%,35,94,0.57,2.8,7.8,1.06,2.9,63.2%,43,68,0.41,2.1,5.7,0.76,2.1,Grigor Dimitrov[BUL],12,1.13,2144,51.6%,9,6-3,66.7%,27.3%,33,23-10,69.7%,330,176-154,53.3%,1:16,27.5,25.4
16,Frances Tiafoe[USA],10,5-5,50.0%,66.0%,64.7%,69,7.4%,20,2.1%,5.4%,60.3%,69.1%,61.2%,64.7%,86.1%,6.5,2.2,Frances Tiafoe[USA],10,34.3%,34.2%,10.1%,5.4%,26.8%,46.9%,14.0%,6.8,2.3,72.5,79.6,Frances Tiafoe[USA],10,25.0%,20,80,0.56,2.9,8.0,0.71,2.0,64.9%,37,57,0.40,2.0,5.7,0.71,2.0,Frances Tiafoe[USA],10,1.01,1900,49.8%,8,4-4,50.0%,28.6%,28,14-14,50.0%,287,144-143,50.2%,1:39,35.2,31.1
17,Andrey Rublev[RUS],17,11-6,64.7%,66.1%,66.2%,109,7.6%,59,4.1%,10.5%,60.5%,74.8%,52.7%,58.8%,85.1%,6.5,2.2,Andrey Rublev[RUS],17,39.6%,40.1%,6.6%,3.5%,32.3%,51.4%,23.5%,6.8,2.7,48.0,58.6,Andrey Rublev[RUS],17,37.4%,52,139,0.63,3.2,8.2,1.18,3.1,69.2%,74,107,0.48,2.4,6.3,0.75,1.9,Andrey Rublev[RUS],17,1.17,2932,52.5%,6,1-5,16.7%,13.6%,44,26-18,59.1%,442,240-202,54.3%,1:33,35.9,32.3
18,Francisco Cerundolo[ARG],34,21-13,61.8%,61.7%,62.6%,81,3.1%,86,3.3%,10.2%,68.1%,65.8%,53.0%,59.0%,75.8%,6.6,2.5,Francisco Cerundolo[ARG],34,41.7%,41.8%,2.7%,1.7%,36.4%,51.7%,31.8%,6.7,2.8,56.0,84.3,Francisco Cerundolo[ARG],34,44.6%,127,285,0.71,3.3,8.4,1.46,3.7,58.2%,135,232,0.58,2.7,6.8,1.11,2.9,Francisco Cerundolo[ARG],34,1.09,5308,51.7%,11,6-5,54.5%,12.6%,87,53-34,60.9%,801,431-370,53.8%,1:29,34.9,34.3
19,Stefanos Tsitsipas[GRE],28,22-6,78.6%,66.4%,67.2%,124,5.8%,84,3.9%,10.7%,63.3%,72.1%,56.6%,63.4%,85.7%,6.4,2.1,Stefanos Tsitsipas[GRE],28,38.5%,39.2%,5.4%,2.2%,32.2%,51.0%,28.6%,6.4,2.4,38.0,43.8,Stefanos Tsitsipas[GRE],28,43.9%,94,214,0.65,3.1,7.6,1.36,3.4,66.0%,93,141,0.42,2.0,5.0,0.70,1.7,Stefanos Tsitsipas[GRE],28,1.15,4229,52.6%,12,7-5,58.3%,17.4%,69,49-20,71.0%,664,381-283,57.4%,1:11,28.8,28.2
20,Tomas Machac[CZE],14,9-5,64.3%,60.7%,60.8%,53,4.6%,37,3.2%,10.8%,70.1%,62.5%,56.4%,63.2%,74.0%,6.5,2.6,Tomas Machac[CZE],14,41.5%,41.9%,5.3%,3.3%,36.5%,52.7%,30.7%,6.6,2.7,35.0,45.5,Tomas Machac[CZE],14,50.9%,55,108,0.60,2.8,7.7,1.41,3.9,54.5%,55,101,0.57,2.6,7.2,1.18,3.3,Tomas Machac[CZE],14,1.06,2331,51.0%,4,3-1,75.0%,10.3%,39,22-17,56.4%,356,186-170,52.2%,1:08,24.2,24.3
21,Jakub Mensik[CZE],10,6-4,60.0%,59.5%,59.1%,49,7.6%,30,4.7%,12.1%,61.6%,67.5%,46.6%,53.0%,75.3%,6.9,2.8,Jakub Mensik[CZE],10,37.5%,38.3%,5.8%,2.3%,31.1%,53.3%,26.4%,6.1,2.3,40.5,48.6,Jakub Mensik[CZE],10,47.9%,23,48,0.55,2.3,4.8,1.10,2.3,64.1%,41,64,0.69,3.0,6.4,1.10,2.3,Jakub Mensik[CZE],10,0.92,1175,49.5%,2,1-1,50.0%,9.5%,21,12-9,57.1%,180,93-87,51.7%,1:12,34.5,37.0
22,Ugo Humbert[FRA],12,5-7,41.7%,63.4%,63.2%,46,4.8%,24,2.5%,6.9%,63.6%,70.7%,50.6%,54.3%,80.4%,6.2,2.3,Ugo Humbert[FRA],12,36.8%,36.2%,6.0%,4.3%,30.9%,47.0%,20.7%,6.1,2.2,53.0,64.2,Ugo Humbert[FRA],12,39.7%,31,78,0.52,2.4,6.5,0.97,2.6,58.3%,42,72,0.47,2.3,6.0,0.94,2.5,Ugo Humbert[FRA],12,1.00,1868,50.3%,2,2-0,100.0%,6.3%,32,15-17,46.9%,303,154-149,50.8%,1:25,31.9,32.8
23,Sebastian Korda[USA],10,5-5,50.0%,61.8%,59.9%,58,7.3%,13,1.6%,4.0%,58.8%,67.9%,53.0%,55.2%,77.4%,6.4,2.5,Sebastian Korda[USA],10,37.5%,38.3%,4.8%,1.6%,33.5%,44.7%,22.4%,6.5,2.4,43.0,93.2,Sebastian Korda[USA],10,37.3%,28,75,0.60,2.9,7.5,1.08,2.8,57.6%,38,66,0.53,2.5,6.6,1.08,2.8,Sebastian Korda[USA],10,0.98,1613,49.5%,4,2-2,50.0%,15.4%,26,13-13,50.0%,249,124-125,49.8%,1:06,25.3,24.5
24,Karen Khachanov[RUS],12,8-4,66.7%,64.8%,63.4%,71,7.2%,19,1.9%,5.4%,64.0%,72.4%,51.3%,54.2%,82.1%,6.3,2.2,Karen Khachanov[RUS],12,39.4%,39.0%,5.0%,3.8%,33.6%,49.1%,25.2%,6.6,2.6,31.0,47.8,Karen Khachanov[RUS],12,44.3%,39,88,0.57,2.8,7.3,1.26,3.3,61.1%,44,72,0.46,2.3,6.0,0.90,2.3,Karen Khachanov[RUS],12,1.12,2013,51.8%,4,2-2,50.0%,12.9%,31,20-11,64.5%,311,167-144,53.7%,1:39,38.4,35.5
25,Alexei Popyrin[AUS],12,4-8,33.3%,62.8%,61.8%,73,8.7%,31,3.7%,10.1%,63.3%,70.1%,50.3%,56.0%,77.4%,6.3,2.3,Alexei Popyrin[AUS],12,32.9%,33.3%,7.3%,3.0%,26.3%,42.9%,16.3%,6.1,2.0,73.5,72.1,Alexei Popyrin[AUS],12,37.3%,22,59,0.44,2.0,4.9,0.76,1.8,55.2%,37,67,0.50,2.3,5.6,1.03,2.5,Alexei Popyrin[AUS],12,0.89,1665,48.0%,4,1-3,25.0%,13.8%,29,11-18,37.9%,268,125-143,46.6%,1:10,28.9,30.2
26,Alejandro Davidovich Fokina[ESP],7,2-5,28.6%,60.2%,60.3%,22,3.4%,16,2.5%,8.4%,70.5%,62.8%,53.9%,58.9%,73.2%,6.7,2.7,Alejandro Davidovich Fokina[ESP],7,38.5%,39.5%,6.6%,2.7%,33.6%,48.6%,25.0%,6.6,2.6,54.5,62.4,Alejandro Davidovich Fokina[ESP],7,38.1%,24,63,0.66,3.2,9.0,1.20,3.4,57.4%,35,61,0.63,3.1,8.7,1.30,3.7,Alejandro Davidovich Fokina[ESP],7,0.97,1284,49.5%,5,1-4,20.0%,25.0%,20,8-12,40.0%,193,95-98,49.2%,1:18,27.5,25.7
27,Felix Auger Aliassime[CAN],25,17-8,68.0%,67.3%,67.4%,161,9.3%,80,4.6%,12.4%,62.8%,76.9%,51.0%,58.2%,85.4%,6.3,2.1,Felix Auger Aliassime[CAN],25,39.1%,38.7%,3.9%,3.0%,34.2%,48.4%,25.5%,6.6,2.6,34.5,53.0,Felix Auger Aliassime[CAN],25,42.6%,69,162,0.60,2.7,6.5,1.17,2.8,64.9%,74,114,0.42,1.9,4.6,0.68,1.6,Felix Auger Aliassime[CAN],25,1.19,3533,53.0%,10,6-4,60.0%,16.9%,59,38-21,64.4%,545,303-242,55.6%,1:08,28.9,29.0
28,Denis Shapovalov[CAN],11,5-6,45.5%,62.5%,64.9%,75,7.5%,78,7.8%,18.8%,58.7%,72.0%,49.0%,60.4%,81.2%,6.7,2.5,Denis Shapovalov[CAN],11,34.3%,33.8%,3.7%,2.6%,32.6%,37.7%,18.7%,6.2,2.1,47.0,46.3,Denis Shapovalov[CAN],11,44.4%,28,63,0.42,2.1,5.7,0.93,2.5,69.6%,64,92,0.62,3.1,8.4,0.93,2.5,Denis Shapovalov[CAN],11,0.91,1934,48.9%,7,3-4,42.9%,23.3%,30,15-15,50.0%,299,149-150,49.8%,1:22,30.2,28.1
29,Brandon Nakashima[USA],10,5-5,50.0%,68.7%,66.4%,81,9.7%,12,1.4%,4.0%,64.3%,74.9%,57.7%,60.1%,90.5%,6.6,2.1,Brandon Nakashima[USA],10,34.4%,34.3%,6.8%,3.8%,28.7%,43.2%,14.8%,6.9,2.4,53.5,63.0,Brandon Nakashima[USA],10,24.0%,18,75,0.61,3.0,7.5,0.72,1.8,77.8%,42,54,0.43,2.2,5.4,0.48,1.2,Brandon Nakashima[USA],10,1.10,1674,51.6%,8,3-5,37.5%,32.0%,25,13-12,52.0%,248,132-116,53.2%,1:32,36.9,33.1
30,Matteo Berrettini[ITA],16,15-1,93.8%,73.0%,71.5%,106,10.4%,21,2.1%,7.7%,73.1%,79.8%,54.6%,59.1%,92.4%,5.9,1.6,Matteo Berrettini[ITA],16,37.7%,37.9%,4.8%,2.7%,32.3%,47.6%,22.5%,6.7,2.5,65.0,80.4,Matteo Berrettini[ITA],16,39.0%,39,100,0.58,2.9,6.3,1.15,2.4,72.9%,35,48,0.28,1.4,3.0,0.38,0.8,Matteo Berrettini[ITA],16,1.40,2183,54.1%,11,10-1,90.9%,32.4%,34,30-4,88.2%,344,197-147,57.3%,1:43,48.6,45.4
31,Hubert Hurkacz[POL],18,14-4,77.8%,67.2%,63.2%,201,13.0%,19,1.2%,3.4%,63.3%,75.3%,53.4%,55.2%,86.9%,6.3,2.1,Hubert Hurkacz[POL],18,37.9%,37.6%,4.2%,3.0%,33.1%,46.1%,21.1%,6.8,2.6,69.0,84.8,Hubert Hurkacz[POL],18,40.0%,50,125,0.53,2.6,6.9,1.04,2.8,70.1%,75,107,0.44,2.2,5.9,0.67,1.8,Hubert Hurkacz[POL],18,1.16,3153,52.3%,13,9-4,69.2%,27.1%,48,32-16,66.7%,481,262-219,54.5%,1:27,32.5,29.6
32,Alex Michelsen[USA],9,3-6,33.3%,57.0%,57.2%,25,3.3%,22,2.9%,10.3%,71.6%,59.9%,49.5%,55.2%,63.1%,6.8,2.9,Alex Michelsen[USA],9,36.0%,36.0%,5.8%,3.3%,30.9%,43.3%,18.0%,6.2,2.2,79.0,124.2,Alex Michelsen[USA],9,41.7%,20,48,0.43,2.0,5.3,0.83,2.2,52.3%,45,86,0.77,3.6,9.6,1.71,4.6,Alex Michelsen[USA],9,0.84,1441,47.0%,4,3-1,75.0%,16.7%,24,9-15,37.5%,222,90-132,40.5%,1:49,40.9,40.9
33,Sebastian Baez[ARG],37,26-11,70.3%,62.1%,62.3%,94,3.1%,69,2.3%,8.1%,72.0%,65.6%,52.9%,57.6%,77.5%,6.7,2.5,Sebastian Baez[ARG],37,41.6%,41.8%,4.4%,2.8%,36.0%,51.3%,31.6%,6.6,2.7,76.0,81.5,Sebastian Baez[ARG],37,43.0%,144,335,0.73,3.5,9.1,1.50,3.9,63.8%,180,282,0.62,2.9,7.6,1.06,2.8,Sebastian Baez[ARG],37,1.10,6042,51.9%,12,6-6,50.0%,12.5%,96,61-35,63.5%,909,495-414,54.5%,1:40,38.7,36.9
34,Flavio Cobolli[ITA],18,10-8,55.6%,64.4%,64.0%,104,7.0%,51,3.4%,8.2%,57.9%,73.9%,51.3%,55.9%,82.6%,6.4,2.3,Flavio Cobolli[ITA],18,38.5%,37.9%,3.8%,3.4%,30.3%,51.8%,24.2%,6.6,2.5,45.5,91.8,Flavio Cobolli[ITA],18,38.7%,55,142,0.63,3.0,7.9,1.17,3.1,65.2%,75,115,0.50,2.4,6.4,0.85,2.2,Flavio Cobolli[ITA],18,1.08,2969,51.4%,10,1-9,10.0%,21.3%,47,25-22,53.2%,457,245-212,53.6%,1:36,36.6,34.7
