Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],56,53-3,94.6%,71.1%,69.6%,415,10.4%,95,2.4%,6.1%,60.8%,79.0%,58.9%,62.7%,92.1%,5.9,1.7,Jannik Sinner[ITA],56,41.5%,43.0%,7.3%,3.0%,32.1%,56.8%,29.9%,6.7,2.8,26.0,41.3,Jannik Sinner[ITA],56,41.7%,193,463,0.72,3.3,8.3,1.38,3.4,76.0%,168,221,0.33,1.6,3.9,0.38,0.9,Jannik Sinner[ITA],56,1.44,8306,55.7%,18,15-3,83.3%,12.9%,140,122-18,87.1%,1314,808-506,61.5%,1:54,45.6,46.1
2,Alexander Zverev[GER],52,39-13,75.0%,70.2%,68.5%,491,11.4%,115,2.7%,9.1%,70.6%,76.2%,55.9%,61.5%,90.3%,6.1,1.8,Alexander Zverev[GER],52,37.2%,38.6%,7.7%,2.5%,28.9%,51.3%,21.1%,6.5,2.4,22.0,50.3,Alexander Zverev[GER],52,39.2%,149,380,0.54,2.7,7.3,1.05,2.9,72.3%,180,249,0.35,1.8,4.8,0.49,1.3,Alexander Zverev[GER],52,1.25,8924,53.2%,33,19-14,57.6%,23.2%,142,98-44,69.0%,1418,792-626,55.9%,2:15,49.3,47.1
3,Carlos Alcaraz[ESP],37,29-8,78.4%,70.5%,69.9%,181,7.5%,57,2.4%,6.6%,64.5%,76.6%,59.4%,63.6%,89.0%,5.8,1.7,Carlos Alcaraz[ESP],37,40.6%,41.2%,6.0%,3.3%,33.7%,53.0%,27.8%,6.8,2.8,35.0,53.5,Carlos Alcaraz[ESP],37,40.2%,115,286,0.69,3.2,7.7,1.29,3.1,64.1%,82,128,0.31,1.4,3.5,0.52,1.2,Carlos Alcaraz[ESP],37,1.38,5255,54.4%,15,8-7,53.3%,16.9%,89,65-24,73.0%,832,487-345,58.5%,1:47,44.7,45.4
4,Taylor Fritz[USA],42,28-14,66.7%,68.6%,66.1%,423,12.5%,91,2.7%,7.0%,61.5%,76.9%,55.3%,59.5%,88.0%,6.2,1.9,Taylor Fritz[USA],42,36.3%,36.5%,8.0%,4.2%,26.9%,50.7%,21.0%,6.4,2.3,18.5,54.8,Taylor Fritz[USA],42,39.1%,113,289,0.54,2.6,6.9,1.01,2.7,69.9%,153,219,0.40,2.0,5.2,0.59,1.6,Taylor Fritz[USA],42,1.15,6786,52.3%,17,11-6,64.7%,15.2%,112,72-40,64.3%,1085,595-490,54.8%,1:57,43.9,43.5
5,Jack Draper[GBR],39,26-13,66.7%,65.8%,64.9%,313,10.4%,129,4.3%,10.2%,57.9%,76.9%,50.4%,56.1%,83.9%,6.3,2.1,Jack Draper[GBR],39,39.5%,40.2%,7.8%,4.0%,31.8%,51.0%,27.4%,6.4,2.5,30.0,39.4,Jack Draper[GBR],39,46.1%,131,284,0.59,2.8,7.3,1.30,3.4,65.0%,143,220,0.46,2.2,5.6,0.76,2.0,Jack Draper[GBR],39,1.15,6046,52.5%,12,6-6,50.0%,11.9%,101,65-36,64.4%,957,533-424,55.7%,1:58,45.5,45.6
6,Novak Djokovic[SRB],21,16-5,76.2%,68.9%,68.3%,164,9.8%,62,3.7%,9.7%,61.7%,77.2%,55.5%,61.4%,87.9%,6.1,1.9,Novak Djokovic[SRB],21,39.9%,42.1%,9.5%,3.1%,29.7%,56.7%,25.9%,6.6,2.6,43.0,87.7,Novak Djokovic[SRB],21,37.7%,69,183,0.69,3.1,8.7,1.15,3.3,66.7%,66,99,0.36,1.7,4.7,0.55,1.6,Novak Djokovic[SRB],21,1.28,3441,54.0%,11,7-4,63.6%,18.3%,60,42-18,70.0%,539,309-230,57.3%,2:11,45.8,47.9
7,Casper Ruud[NOR],43,26-17,60.5%,67.5%,66.6%,262,8.4%,86,2.7%,8.1%,66.0%,74.6%,53.8%,58.5%,86.7%,6.2,2.0,Casper Ruud[NOR],43,35.0%,36.8%,10.8%,3.5%,25.4%,49.9%,19.9%,6.2,2.2,37.0,85.9,Casper Ruud[NOR],43,39.4%,100,254,0.51,2.3,5.9,0.91,2.3,64.6%,122,189,0.38,1.7,4.4,0.61,1.6,Casper Ruud[NOR],43,1.08,6242,51.3%,21,10-11,47.6%,19.1%,110,62-48,56.4%,1006,537-469,53.4%,1:49,42.6,45.1
8,Alex De Minaur[AUS],45,30-15,66.7%,64.8%,64.6%,236,7.0%,117,3.5%,7.7%,54.4%,73.5%,54.3%,58.9%,82.4%,6.2,2.2,Alex De Minaur[AUS],45,40.4%,41.2%,6.8%,3.4%,30.5%,55.0%,27.6%,6.6,2.7,31.0,62.6,Alex De Minaur[AUS],45,45.2%,151,334,0.61,2.8,7.4,1.28,3.4,62.2%,156,251,0.46,2.1,5.6,0.81,2.1,Alex De Minaur[AUS],45,1.15,6951,52.2%,11,7-4,63.6%,9.3%,118,74-44,62.7%,1088,596-492,54.8%,1:56,44.3,45.1
9,Lorenzo Musetti[ITA],33,16-17,48.5%,62.8%,62.6%,125,4.6%,67,2.5%,6.8%,63.3%,69.2%,51.7%,55.5%,75.4%,6.4,2.4,Lorenzo Musetti[ITA],33,36.4%,37.1%,8.6%,4.0%,26.4%,52.4%,19.8%,6.7,2.4,50.0,66.7,Lorenzo Musetti[ITA],33,32.5%,83,255,0.61,2.9,7.7,0.95,2.5,54.8%,126,230,0.55,2.6,7.0,1.20,3.2,Lorenzo Musetti[ITA],33,0.98,5491,49.3%,18,10-8,55.6%,20.7%,87,41-46,47.1%,842,401-441,47.6%,2:06,47.7,45.3
10,Holger Rune[DEN],46,31-15,67.4%,67.0%,66.4%,319,9.3%,128,3.7%,9.3%,60.0%,74.7%,55.6%,61.3%,85.4%,6.3,2.1,Holger Rune[DEN],46,35.4%,36.3%,8.8%,3.6%,26.0%,50.5%,19.2%,6.3,2.2,45.0,78.6,Holger Rune[DEN],46,37.7%,104,276,0.51,2.5,6.0,0.93,2.3,65.0%,147,226,0.42,2.0,4.9,0.71,1.7,Holger Rune[DEN],46,1.07,6859,51.2%,20,12-8,60.0%,17.9%,112,67-45,59.8%,1083,567-516,52.4%,1:50,45.0,44.1
