Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],54,50-4,92.6%,71.9%,70.4%,374,10.5%,79,2.2%,5.9%,62.3%,79.9%,58.8%,62.4%,92.7%,5.9,1.7,Jannik Sinner[ITA],54,40.0%,41.8%,8.0%,2.6%,31.0%,54.4%,26.7%,6.7,2.7,26.5,38.8,Jannik Sinner[ITA],54,39.4%,155,393,0.68,3.2,7.3,1.26,2.9,76.1%,140,184,0.31,1.5,3.4,0.36,0.8,Jannik Sinner[ITA],54,1.42,7492,55.2%,21,15-6,71.4%,17.1%,123,103-20,83.7%,1182,712-470,60.2%,1:45,46.2,45.5
2,Alexander Zverev[GER],67,50-17,74.6%,70.8%,69.0%,509,11.3%,113,2.5%,8.6%,70.8%,76.6%,56.8%,62.1%,91.3%,6.0,1.8,Alexander Zverev[GER],67,37.5%,38.7%,7.1%,2.6%,28.7%,52.2%,21.3%,6.6,2.5,32.0,56.6,Alexander Zverev[GER],67,36.2%,159,439,0.59,2.9,6.6,1.03,2.4,71.0%,159,224,0.30,1.5,3.3,0.42,1.0,Alexander Zverev[GER],67,1.28,9396,53.5%,30,17-13,56.7%,19.5%,154,109-45,70.8%,1491,840-651,56.3%,1:48,46.9,46.1
3,Carlos Alcaraz[ESP],46,35-11,76.1%,69.2%,68.9%,175,6.3%,69,2.5%,7.2%,65.5%,75.0%,58.1%,62.6%,89.3%,6.0,1.9,Carlos Alcaraz[ESP],46,40.9%,41.3%,5.9%,3.6%,33.2%,54.5%,29.0%,6.8,2.8,29.5,51.6,Carlos Alcaraz[ESP],46,40.2%,133,331,0.72,3.4,7.2,1.37,2.9,70.3%,116,165,0.36,1.7,3.6,0.51,1.1,Carlos Alcaraz[ESP],46,1.33,5911,54.2%,20,9-11,45.0%,20.6%,97,72-25,74.2%,918,544-374,59.3%,1:25,40.4,39.8
4,Taylor Fritz[USA],55,36-19,65.5%,70.3%,67.3%,510,13.7%,81,2.2%,6.0%,63.6%,78.7%,55.5%,59.0%,89.1%,6.1,1.8,Taylor Fritz[USA],55,34.0%,34.6%,8.3%,3.5%,26.8%,46.7%,17.7%,6.2,2.1,27.0,59.2,Taylor Fritz[USA],55,37.1%,105,283,0.48,2.3,5.1,0.86,1.9,71.7%,170,237,0.39,1.9,4.3,0.55,1.2,Taylor Fritz[USA],55,1.15,7411,52.3%,23,16-7,69.6%,18.9%,122,78-44,63.9%,1206,650-556,53.9%,1:31,40.9,40.4
5,Jack Draper[GBR],50,32-18,64.0%,68.1%,66.9%,399,11.2%,137,3.8%,9.9%,61.2%,78.8%,51.1%,56.7%,85.0%,6.0,1.9,Jack Draper[GBR],50,37.0%,38.2%,8.5%,3.3%,29.2%,49.7%,21.9%,6.5,2.4,29.5,53.8,Jack Draper[GBR],50,39.7%,131,330,0.55,2.7,6.6,1.07,2.6,59.4%,130,219,0.37,1.8,4.4,0.73,1.8,Jack Draper[GBR],50,1.16,7435,51.9%,20,12-8,60.0%,16.4%,122,74-48,60.7%,1193,636-557,53.3%,1:46,43.5,42.8
6,Novak Djokovic[SRB],27,21-6,77.8%,68.7%,67.9%,114,6.9%,36,2.2%,6.2%,65.0%,74.8%,57.2%,61.0%,84.7%,6.0,1.9,Novak Djokovic[SRB],27,42.5%,43.4%,6.3%,3.4%,34.1%,56.8%,33.5%,6.6,2.8,36.5,72.6,Novak Djokovic[SRB],27,43.6%,89,204,0.77,3.4,7.6,1.48,3.3,66.9%,85,127,0.46,2.1,4.7,0.70,1.6,Novak Djokovic[SRB],27,1.36,3421,55.2%,9,6-3,66.7%,15.0%,60,45-15,75.0%,540,321-219,59.4%,1:17,34.4,36.2
7,Casper Ruud[NOR],62,41-21,66.1%,66.6%,65.8%,273,6.7%,94,2.3%,6.8%,65.8%,72.6%,55.1%,59.1%,84.5%,6.2,2.1,Casper Ruud[NOR],62,37.1%,38.4%,8.1%,3.0%,29.6%,49.3%,24.3%,6.3,2.3,37.0,75.6,Casper Ruud[NOR],62,43.2%,156,361,0.56,2.5,5.8,1.09,2.5,61.7%,163,264,0.41,1.8,4.3,0.71,1.6,Casper Ruud[NOR],62,1.11,8092,51.9%,18,9-9,50.0%,12.6%,143,88-55,61.5%,1293,706-587,54.6%,1:32,39.9,42.3
8,Alex De Minaur[AUS],51,33-18,64.7%,64.4%,64.4%,207,6.2%,113,3.4%,7.7%,55.7%,73.2%,53.4%,57.8%,80.3%,6.1,2.2,Alex De Minaur[AUS],51,40.5%,41.1%,6.3%,3.5%,30.8%,55.9%,28.6%,6.5,2.6,26.0,73.0,Alex De Minaur[AUS],51,45.8%,160,349,0.62,2.9,6.8,1.34,3.1,57.3%,145,253,0.46,2.1,5.0,0.91,2.1,Alex De Minaur[AUS],51,1.14,6974,52.0%,9,5-4,55.6%,7.6%,119,73-46,61.3%,1108,600-508,54.2%,1:45,44.9,46.0
9,Lorenzo Musetti[ITA],54,30-24,55.6%,63.6%,63.4%,154,4.1%,77,2.0%,5.9%,65.2%,70.0%,51.5%,54.7%,78.0%,6.4,2.3,Lorenzo Musetti[ITA],54,37.3%,38.0%,7.1%,3.3%,28.8%,52.0%,21.8%,6.7,2.5,46.0,54.0,Lorenzo Musetti[ITA],54,35.5%,128,361,0.61,2.9,6.7,1.02,2.4,57.1%,173,303,0.51,2.4,5.6,1.04,2.4,Lorenzo Musetti[ITA],54,1.03,7721,50.1%,22,10-12,45.5%,17.6%,125,64-61,51.2%,1178,588-590,49.9%,1:39,42.7,41.5
10,Holger Rune[DEN],57,38-19,66.7%,66.5%,65.9%,354,8.5%,145,3.5%,8.9%,61.2%,73.8%,55.1%,60.5%,84.8%,6.3,2.1,Holger Rune[DEN],57,35.3%,35.7%,7.5%,3.6%,26.9%,49.0%,19.4%,6.3,2.2,42.0,72.2,Holger Rune[DEN],57,39.8%,127,319,0.49,2.3,5.6,0.93,2.2,64.9%,185,285,0.43,2.1,5.0,0.74,1.8,Holger Rune[DEN],57,1.06,8305,51.0%,24,16-8,66.7%,17.6%,136,83-53,61.0%,1314,686-628,52.2%,1:48,45.1,44.3
