Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],13,11-2,84.6%,71.0%,70.0%,103,9.7%,29,2.7%,6.8%,60.1%,81.3%,55.5%,59.6%,90.9%,6.1,1.8,Jannik Sinner[ITA],13,38.7%,39.2%,7.4%,4.0%,27.9%,55.8%,22.4%,7.0,2.7,9.0,40.4,Jannik Sinner[ITA],13,31.7%,39,123,0.71,3.4,9.5,1.08,3.0,69.8%,37,53,0.30,1.5,4.1,0.44,1.2,Jannik Sinner[ITA],13,1.34,2282,53.8%,9,6-3,66.7%,25.0%,36,27-9,75.0%,350,199-151,56.9%,1:59,43.0,40.7
2,Alexander Zverev[GER],16,10-6,62.5%,67.9%,67.8%,102,8.2%,46,3.7%,13.1%,71.7%,74.4%,51.6%,59.3%,90.3%,6.4,2.0,Alexander Zverev[GER],16,35.4%,36.2%,6.5%,2.5%,27.0%,49.4%,20.3%,6.1,2.2,15.0,28.7,Alexander Zverev[GER],16,44.0%,40,91,0.46,2.2,5.7,0.98,2.5,75.3%,58,77,0.39,1.9,4.8,0.46,1.2,Alexander Zverev[GER],16,1.10,2443,51.9%,8,2-6,25.0%,19.5%,41,25-16,61.0%,392,216-176,55.1%,1:50,43.0,43.3
3,Carlos Alcaraz[ESP],10,6-4,60.0%,66.3%,66.0%,39,5.1%,16,2.1%,6.7%,68.8%,69.1%,60.3%,64.6%,81.7%,6.1,2.0,Carlos Alcaraz[ESP],10,38.5%,39.0%,4.1%,1.7%,32.5%,50.9%,23.0%,6.8,2.6,12.5,27.9,Carlos Alcaraz[ESP],10,32.6%,29,89,0.71,3.4,8.9,1.12,2.9,58.2%,32,55,0.44,2.1,5.5,0.88,2.3,Carlos Alcaraz[ESP],10,1.14,1624,51.6%,5,4-1,80.0%,19.2%,26,16-10,61.5%,252,132-120,52.4%,1:39,37.9,36.4
4,Taylor Fritz[USA],10,6-4,60.0%,67.6%,64.6%,105,11.8%,16,1.8%,5.1%,64.7%,75.4%,53.3%,56.2%,85.3%,6.2,2.0,Taylor Fritz[USA],10,32.7%,33.9%,9.1%,2.9%,25.4%,46.9%,12.9%,6.3,2.1,34.0,40.0,Taylor Fritz[USA],10,34.6%,18,52,0.37,1.8,5.2,0.62,1.8,70.0%,49,70,0.49,2.4,7.0,0.72,2.1,Taylor Fritz[USA],10,1.01,1765,50.4%,7,5-2,71.4%,24.1%,29,16-13,55.2%,282,140-142,49.6%,2:11,45.2,44.6
5,Jack Draper[GBR],9,5-4,55.6%,69.2%,67.4%,82,12.9%,22,3.5%,8.7%,60.1%,81.2%,51.2%,56.0%,86.9%,6.0,1.8,Jack Draper[GBR],9,37.5%,39.2%,8.2%,2.4%,30.3%,49.8%,21.1%,6.5,2.4,16.0,21.6,Jack Draper[GBR],9,33.8%,23,68,0.62,3.0,7.6,1.00,2.6,61.1%,22,36,0.34,1.6,4.0,0.61,1.6,Jack Draper[GBR],9,1.22,1344,52.5%,2,1-1,50.0%,8.7%,23,13-10,56.5%,216,116-100,53.7%,1:45,41.2,42.3
6,Novak Djokovic[SRB],6,5-1,83.3%,68.2%,66.2%,43,9.3%,8,1.7%,5.1%,65.8%,75.3%,54.4%,57.3%,86.8%,6.1,1.9,Novak Djokovic[SRB],6,39.9%,41.4%,9.8%,4.3%,28.5%,55.9%,27.0%,6.9,2.7,11.5,19.3,Novak Djokovic[SRB],6,35.7%,20,56,0.76,3.7,9.3,1.33,3.3,68.8%,22,32,0.42,2.1,5.3,0.67,1.7,Novak Djokovic[SRB],6,1.25,971,53.3%,3,2-1,66.7%,20.0%,15,11-4,73.3%,150,86-64,57.3%,1:50,43.9,40.7
7,Casper Ruud[NOR],10,7-3,70.0%,67.0%,65.9%,48,6.4%,12,1.6%,4.9%,67.7%,70.7%,59.3%,62.3%,86.6%,6.3,2.1,Casper Ruud[NOR],10,38.4%,39.9%,7.8%,2.6%,31.5%,51.6%,25.0%,6.2,2.4,20.0,29.1,Casper Ruud[NOR],10,54.7%,29,53,0.46,2.1,5.3,1.16,2.9,70.9%,39,55,0.46,2.2,5.5,0.64,1.6,Casper Ruud[NOR],10,1.16,1469,53.0%,3,1-2,33.3%,12.0%,25,16-9,64.0%,235,132-103,56.2%,1:36,38.2,39.0
8,Alex De Minaur[AUS],10,5-5,50.0%,62.9%,63.1%,51,6.1%,33,4.0%,8.6%,54.0%,73.8%,50.0%,54.7%,78.7%,6.1,2.3,Alex De Minaur[AUS],10,37.4%,38.2%,7.5%,3.3%,28.3%,53.0%,19.9%,6.4,2.4,12.0,35.3,Alex De Minaur[AUS],10,43.5%,27,62,0.46,2.3,6.2,1.00,2.7,59.2%,42,71,0.52,2.6,7.1,1.07,2.9,Alex De Minaur[AUS],10,1.01,1703,49.9%,3,1-2,33.3%,11.1%,27,12-15,44.4%,272,134-138,49.3%,1:54,42.1,40.0
9,Lorenzo Musetti[ITA],8,7-1,87.5%,65.4%,65.0%,29,4.4%,12,1.8%,5.1%,64.2%,70.8%,55.7%,58.7%,83.0%,6.6,2.3,Lorenzo Musetti[ITA],8,38.7%,39.8%,9.2%,4.2%,31.1%,52.9%,26.5%,6.3,2.4,24.0,41.0,Lorenzo Musetti[ITA],8,40.9%,27,66,0.65,2.8,8.3,1.13,3.4,65.3%,32,49,0.49,2.0,6.1,0.71,2.1,Lorenzo Musetti[ITA],8,1.12,1300,52.2%,3,3-0,100.0%,12.5%,24,16-8,66.7%,202,110-92,54.5%,2:01,40.5,44.8
10,Holger Rune[DEN],11,8-3,72.7%,67.2%,66.3%,66,8.1%,23,2.8%,7.3%,61.0%,76.0%,53.5%,57.7%,85.7%,6.4,2.1,Holger Rune[DEN],11,35.3%,35.1%,6.1%,3.6%,28.2%,46.2%,18.9%,6.3,2.2,54.0,77.7,Holger Rune[DEN],11,36.9%,24,65,0.51,2.6,5.9,0.96,2.2,65.4%,34,52,0.41,2.1,4.7,0.72,1.6,Holger Rune[DEN],11,1.08,1612,51.4%,6,6-0,100.0%,24.0%,25,17-8,68.0%,253,132-121,52.2%,1:52,49.2,45.7
