Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],6,6-0,100.0%,73.0%,72.5%,38,8.3%,11,2.4%,7.0%,65.7%,78.8%,62.0%,66.7%,90.9%,6.0,1.6,Jannik Sinner[ITA],6,42.4%,42.8%,7.1%,4.6%,33.6%,58.0%,29.9%,6.8,2.9,18.5,28.5,Jannik Sinner[ITA],6,48.9%,23,47,0.61,2.9,7.8,1.44,3.8,70.8%,17,24,0.31,1.5,4.0,0.44,1.2,Jannik Sinner[ITA],6,1.57,981,56.8%,4,4-0,100.0%,25.0%,16,15-1,93.8%,154,93-61,60.4%,1:36,36.1,35.4
2,Alexander Zverev[GER],15,15-0,100.0%,72.2%,70.7%,155,12.4%,38,3.0%,10.4%,70.6%,78.9%,56.0%,62.5%,91.8%,6.0,1.7,Alexander Zverev[GER],15,39.6%,40.6%,6.2%,2.7%,32.3%,52.6%,24.8%,6.6,2.6,81.0,96.7,Alexander Zverev[GER],15,36.6%,52,142,0.68,3.3,9.5,1.21,3.5,77.3%,58,75,0.36,1.7,5.0,0.40,1.1,Alexander Zverev[GER],15,1.42,2636,55.0%,8,7-1,87.5%,18.6%,43,35-8,81.4%,417,242-175,58.0%,2:03,43.1,42.2
3,Carlos Alcaraz[ESP],8,5-3,62.5%,68.0%,67.5%,39,8.1%,15,3.1%,8.9%,64.9%,75.1%,55.0%,60.4%,87.3%,6.1,1.9,Carlos Alcaraz[ESP],8,39.8%,40.9%,6.8%,2.8%,33.7%,49.5%,29.1%,6.3,2.5,24.5,51.0,Carlos Alcaraz[ESP],8,45.1%,23,51,0.65,2.8,6.4,1.28,2.9,72.2%,26,36,0.46,2.0,4.5,0.56,1.3,Carlos Alcaraz[ESP],8,1.25,982,53.7%,1,0-1,0.0%,5.6%,18,13-5,72.2%,158,92-66,58.2%,1:35,42.1,46.3
4,Taylor Fritz[USA],10,9-1,90.0%,72.6%,69.0%,135,15.2%,14,1.6%,4.8%,67.5%,78.0%,61.4%,64.5%,93.0%,6.2,1.7,Taylor Fritz[USA],10,34.8%,35.9%,8.7%,3.1%,27.9%,47.2%,19.3%,6.5,2.3,42.5,61.6,Taylor Fritz[USA],10,36.5%,27,74,0.53,2.6,7.4,0.96,2.7,81.1%,43,53,0.37,1.9,5.3,0.36,1.0,Taylor Fritz[USA],10,1.27,1797,53.5%,10,8-2,80.0%,35.7%,28,22-6,78.6%,283,160-123,56.5%,1:53,40.3,37.7
5,Jack Draper[GBR],5,3-2,60.0%,68.8%,68.1%,45,13.5%,18,5.4%,13.1%,58.9%,84.7%,46.0%,52.9%,88.9%,6.2,1.9,Jack Draper[GBR],5,40.5%,41.7%,6.7%,2.6%,34.7%,50.4%,29.6%,6.3,2.6,64.0,61.8,Jack Draper[GBR],5,53.3%,16,30,0.56,2.5,6.0,1.33,3.2,68.4%,13,19,0.35,1.6,3.8,0.50,1.2,Jack Draper[GBR],5,1.30,674,54.5%,2,0-2,0.0%,16.7%,12,7-5,58.3%,108,64-44,59.3%,1:38,40.9,43.7
6,Novak Djokovic[SRB],5,4-1,80.0%,73.0%,72.3%,36,13.5%,11,4.1%,10.9%,62.2%,78.3%,64.4%,72.2%,81.3%,5.6,1.5,Novak Djokovic[SRB],5,44.6%,45.9%,4.7%,1.4%,43.2%,47.7%,47.7%,6.3,2.8,70.0,73.0,Novak Djokovic[SRB],5,58.3%,21,36,0.82,3.3,7.2,1.91,4.2,59.1%,13,22,0.46,2.0,4.4,0.82,1.8,Novak Djokovic[SRB],5,1.65,543,58.6%,0,0-0,-,0.0%,11,9-2,81.8%,92,60-32,65.2%,0:51,23.2,28.2
7,Casper Ruud[NOR],10,8-2,80.0%,68.3%,67.0%,97,11.7%,31,3.7%,10.4%,64.1%,75.9%,54.7%,61.0%,88.1%,6.1,1.9,Casper Ruud[NOR],10,40.9%,41.8%,5.8%,2.7%,36.1%,49.8%,28.6%,6.6,2.7,37.5,62.7,Casper Ruud[NOR],10,38.4%,38,99,0.74,3.4,9.9,1.31,3.8,71.4%,40,56,0.41,1.9,5.6,0.55,1.6,Casper Ruud[NOR],10,1.29,1707,54.2%,4,2-2,50.0%,13.8%,29,20-9,69.0%,268,157-111,58.6%,2:07,43.8,44.6
8,Alex De Minaur[AUS],8,4-4,50.0%,64.0%,63.8%,38,6.5%,19,3.3%,7.6%,57.2%,73.4%,51.6%,55.8%,77.8%,5.9,2.1,Alex De Minaur[AUS],8,39.3%,40.1%,6.2%,2.8%,28.4%,56.6%,25.7%,6.4,2.5,37.5,169.6,Alex De Minaur[AUS],8,50.0%,26,52,0.51,2.5,6.5,1.24,3.3,56.0%,28,50,0.51,2.4,6.3,1.05,2.8,Alex De Minaur[AUS],8,1.09,1228,51.1%,3,1-2,33.3%,14.3%,21,10-11,47.6%,200,103-97,51.5%,2:01,46.0,47.2
9,Lorenzo Musetti[ITA],8,5-3,62.5%,63.9%,63.6%,23,4.0%,10,1.7%,4.9%,65.1%,70.2%,52.2%,54.9%,80.0%,6.5,2.3,Lorenzo Musetti[ITA],8,38.5%,37.6%,6.1%,5.2%,29.2%,54.0%,22.0%,7.2,2.8,66.0,72.5,Lorenzo Musetti[ITA],8,29.4%,20,68,0.75,3.6,8.5,1.05,2.5,58.1%,25,43,0.48,2.3,5.4,0.95,2.3,Lorenzo Musetti[ITA],8,1.07,1241,50.4%,4,2-2,50.0%,21.1%,19,10-9,52.6%,181,92-89,50.8%,1:57,49.3,45.3
10,Holger Rune[DEN],7,7-0,100.0%,70.3%,68.7%,59,10.6%,14,2.5%,7.1%,64.9%,79.3%,53.6%,57.7%,90.8%,6.4,1.9,Holger Rune[DEN],7,38.3%,38.9%,6.4%,3.2%,32.2%,48.3%,23.3%,6.2,2.4,59.0,101.1,Holger Rune[DEN],7,45.5%,20,44,0.51,2.6,6.3,1.18,2.9,70.4%,19,27,0.31,1.6,3.9,0.47,1.1,Holger Rune[DEN],7,1.29,1090,54.7%,5,5-0,100.0%,29.4%,17,15-2,88.2%,173,99-74,57.2%,1:53,46.5,43.5
