Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,54,92.6,71.9,10.5,2.2,5.9,62.3,79.9,58.8,62.4,92.7,40.0,8.0,2.6,31.0,54.4,26.7,39.4,393,0.68,3.2,7.3,1.26,2.9,76.1,0.31,1.5,3.4,0.36,0.8,55.2,71.4,83.7,60.2
2,Alexander Zverev,67,74.6,70.8,11.3,2.5,8.6,70.8,76.6,56.8,62.1,91.3,37.5,7.1,2.6,28.7,52.2,21.3,36.2,439,0.59,2.9,6.6,1.03,2.4,71.0,0.3,1.5,3.3,0.42,1.0,53.5,56.7,70.8,56.3
3,Carlos Alcaraz,46,76.1,69.2,6.3,2.5,7.2,65.5,75.0,58.1,62.6,89.3,40.9,5.9,3.6,33.2,54.5,29.0,40.2,331,0.72,3.4,7.2,1.37,2.9,70.3,0.36,1.7,3.6,0.51,1.1,54.2,45.0,74.2,59.3
4,Taylor Fritz,55,65.5,70.3,13.7,2.2,6.0,63.6,78.7,55.5,59.0,89.1,34.0,8.3,3.5,26.8,46.7,17.7,37.1,283,0.48,2.3,5.1,0.86,1.9,71.7,0.39,1.9,4.3,0.55,1.2,52.3,69.6,63.9,53.9
5,Jack Draper,50,64.0,68.1,11.2,3.8,9.9,61.2,78.8,51.1,56.7,85.0,37.0,8.5,3.3,29.2,49.7,21.9,39.7,330,0.55,2.7,6.6,1.07,2.6,59.4,0.37,1.8,4.4,0.73,1.8,51.9,60.0,60.7,53.3
6,Novak Djokovic,27,77.8,68.7,6.9,2.2,6.2,65.0,74.8,57.2,61.0,84.7,42.5,6.3,3.4,34.1,56.8,33.5,43.6,204,0.77,3.4,7.6,1.48,3.3,66.9,0.46,2.1,4.7,0.7,1.6,55.2,66.7,75.0,59.4
7,Casper Ruud,62,66.1,66.6,6.7,2.3,6.8,65.8,72.6,55.1,59.1,84.5,37.1,8.1,3.0,29.6,49.3,24.3,43.2,361,0.56,2.5,5.8,1.09,2.5,61.7,0.41,1.8,4.3,0.71,1.6,51.9,50.0,61.5,54.6
8,Alex De Minaur,51,64.7,64.4,6.2,3.4,7.7,55.7,73.2,53.4,57.8,80.3,40.5,6.3,3.5,30.8,55.9,28.6,45.8,349,0.62,2.9,6.8,1.34,3.1,57.3,0.46,2.1,5.0,0.91,2.1,52.0,55.6,61.3,54.2
9,Lorenzo Musetti,54,55.6,63.6,4.1,2.0,5.9,65.2,70.0,51.5,54.7,78.0,37.3,7.1,3.3,28.8,52.0,21.8,35.5,361,0.61,2.9,6.7,1.02,2.4,57.1,0.51,2.4,5.6,1.04,2.4,50.1,45.5,51.2,49.9
10,Holger Rune,57,66.7,66.5,8.5,3.5,8.9,61.2,73.8,55.1,60.5,84.8,35.3,7.5,3.6,26.9,49.0,19.4,39.8,319,0.49,2.3,5.6,0.93,2.2,64.9,0.43,2.1,5.0,0.74,1.8,51.0,66.7,61.0,52.2
11,Daniil Medvedev,43,65.1,63.5,6.9,5.7,14.5,61.1,72.6,49.3,57.7,78.6,40.2,5.9,2.9,33.0,53.4,28.4,44.4,295,0.64,3.1,6.9,1.38,3.0,61.1,0.55,2.6,5.7,1.01,2.2,51.7,64.3,62.1,53.1
12,Tommy Paul,49,69.4,65.4,6.9,2.1,5.6,62.6,71.5,55.1,58.3,82.3,40.3,5.0,2.9,33.3,52.6,26.4,38.0,368,0.69,3.3,7.5,1.24,2.9,65.1,0.51,2.4,5.6,0.85,2.0,52.6,70.6,67.3,54.7
13,Ben Shelton,54,59.3,69.5,10.9,4.0,12.8,69.0,76.2,54.8,62.8,89.7,31.3,7.7,3.6,23.5,44.9,13.6,33.5,275,0.41,2.1,5.1,0.7,1.7,74.2,0.4,2.1,5.0,0.53,1.3,50.6,43.6,55.7,51.9
14,Arthur Fils,54,59.3,65.7,8.1,4.3,11.0,61.2,75.8,49.6,55.7,84.0,36.4,7.8,2.6,29.1,49.2,20.0,40.1,297,0.5,2.4,5.5,0.98,2.2,65.8,0.47,2.3,5.1,0.78,1.8,51.0,54.2,56.6,52.1
15,Grigor Dimitrov,47,70.2,69.7,11.4,4.6,12.0,62.0,79.5,53.6,60.9,87.9,36.6,9.9,3.1,27.3,51.7,19.8,36.4,297,0.54,2.7,6.3,0.96,2.3,68.2,0.38,1.9,4.5,0.6,1.4,52.5,70.8,66.1,54.1
16,Frances Tiafoe,44,52.3,66.1,10.5,2.7,6.5,58.9,74.8,53.6,57.4,84.1,34.8,13.3,4.1,26.7,48.6,16.6,34.4,253,0.48,2.5,5.8,0.84,2.0,66.0,0.47,2.3,5.5,0.8,1.9,50.2,55.2,51.5,50.2
