Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,8,100.0,74.4,73.7,9.2,2.3,7.0,67.2,83.0,57.0,61.3,92.6,45.2,48.1,9.3,3.1,35.8,61.2,37.4,47.9,71,0.78,3.4,8.9,1.62,4.3,53.3,0.16,0.7,1.9,0.33,0.9,58.7,100.0,95.2,65.6
2,Alexander Zverev,10,100.0,74.0,72.3,12.8,2.4,7.9,69.3,81.2,57.9,62.9,95.9,41.9,43.0,5.5,2.3,34.0,54.8,30.6,38.5,96,0.79,3.7,9.6,1.42,3.7,79.2,0.2,0.9,2.4,0.19,0.5,56.2,100.0,92.3,63.2
3,Carlos Alcaraz,9,88.9,68.6,67.9,6.4,2.0,5.8,65.0,74.4,57.8,61.3,84.5,45.9,45.4,3.0,3.4,39.5,56.7,40.2,48.4,93,0.83,3.7,10.3,1.8,5.0,60.5,0.39,1.7,4.8,0.68,1.9,56.3,50.0,76.0,62.2
4,Taylor Fritz,13,76.9,73.9,71.7,13.1,2.1,5.4,60.9,81.1,62.8,66.4,92.5,35.8,36.7,8.9,3.6,25.3,52.1,20.4,40.0,80,0.51,2.4,6.2,0.97,2.5,66.7,0.22,1.1,2.8,0.36,0.9,54.1,83.3,75.8,56.9
5,Jack Draper,11,36.4,63.8,63.4,9.1,4.6,11.1,58.6,75.0,48.1,54.1,78.8,35.2,36.0,8.3,3.4,26.2,49.9,21.6,50.8,63,0.43,2.2,5.7,1.1,2.9,62.2,0.56,2.8,7.5,1.07,2.8,49.8,16.7,41.4,50.0
6,Novak Djokovic,8,100.0,70.5,70.1,8.9,3.2,8.5,62.4,78.3,57.6,63.0,87.7,43.6,46.3,9.2,2.8,35.6,57.9,34.9,46.8,79,0.75,3.4,9.9,1.61,4.6,69.0,0.4,1.8,5.3,0.57,1.6,56.6,100.0,87.0,61.3
7,Casper Ruud,10,70.0,66.2,64.4,9.1,2.4,6.7,65.0,72.4,54.5,58.5,82.6,37.1,37.4,7.7,4.2,29.0,50.5,20.8,38.1,84,0.55,2.6,8.4,1.0,3.2,62.5,0.46,2.3,7.2,0.84,2.7,51.5,85.7,59.4,51.8
8,Alex De Minaur,10,90.0,67.2,67.2,6.9,3.4,7.7,55.3,70.3,63.3,68.6,85.8,50.4,48.2,3.0,6.9,41.6,62.4,49.1,49.5,109,0.99,4.5,10.9,2.25,5.4,61.5,0.37,1.6,3.9,0.63,1.5,58.3,50.0,91.7,67.1
9,Lorenzo Musetti,13,61.5,65.0,64.6,5.8,2.7,7.6,64.4,73.4,49.8,53.8,78.7,37.9,37.4,6.3,4.6,27.9,52.6,22.2,36.6,112,0.61,2.9,8.6,1.05,3.2,55.1,0.47,2.3,6.8,1.03,3.1,51.0,60.0,56.4,50.7
10,Holger Rune,10,80.0,65.6,65.8,6.3,3.5,8.5,58.7,71.5,57.3,62.6,84.1,35.6,36.1,7.8,3.6,28.1,47.0,20.0,37.2,78,0.54,2.5,7.8,0.94,2.9,63.5,0.43,2.0,6.3,0.74,2.3,50.8,66.7,61.3,52.1
11,Daniil Medvedev,10,100.0,66.0,66.1,8.9,4.7,11.9,60.7,75.6,51.3,58.2,84.6,45.0,45.1,3.0,2.3,37.9,57.0,37.7,49.5,99,0.76,3.7,9.9,1.81,4.9,63.0,0.42,2.0,5.4,0.74,2.0,55.2,60.0,85.2,61.2
12,Tommy Paul,13,76.9,68.7,68.2,6.8,2.4,6.1,60.6,74.9,59.3,63.1,88.1,40.9,40.8,5.2,3.8,35.5,48.9,30.8,43.2,111,0.71,3.2,8.5,1.37,3.7,71.6,0.42,1.9,5.2,0.54,1.5,54.4,50.0,74.3,59.7
