Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,13,84.6,69.5,69.7,5.7,2.8,7.4,62.0,78.8,54.3,58.7,88.1,5.9,42.9,42.3,4.1,4.0,35.6,53.8,6.5,31.0,40.4,47.5,120,0.69,3.2,9.2,1.5,4.4,69.1,0.39,1.8,5.2,0.55,1.6,55.5,50.0,78.9
2,Alexander Zverev,29,79.3,68.4,67.0,10.1,2.8,10.3,72.6,75.0,51.0,56.8,86.7,6.0,41.0,40.8,3.4,2.6,33.3,53.5,6.8,39.0,57.2,35.2,270,0.79,3.6,9.3,1.27,3.3,61.5,0.35,1.6,4.0,0.6,1.6,53.8,80.0,73.3
3,Carlos Alcaraz,21,81.0,64.9,65.4,3.5,2.7,8.4,68.3,69.1,55.7,60.8,83.7,6.4,44.2,43.3,3.3,4.1,35.6,59.3,6.8,28.0,63.2,43.4,205,0.84,3.8,9.8,1.65,4.2,67.2,0.5,2.3,5.8,0.74,1.9,54.3,60.0,77.8
4,Taylor Fritz,22,68.2,68.9,66.1,11.9,1.9,5.2,63.9,77.6,53.3,56.2,86.3,6.0,35.5,35.7,6.0,3.1,30.1,46.6,6.0,27.0,48.5,42.3,142,0.52,2.4,6.5,1.03,2.7,68.0,0.43,2.1,5.5,0.67,1.8,52.6,42.9,60.3
5,Jack Draper,12,41.7,67.0,66.5,8.0,3.3,8.9,62.6,75.9,52.2,57.3,80.0,5.8,33.9,35.6,8.6,2.1,26.0,48.3,6.2,49.5,107.9,38.6,88,0.55,2.7,7.3,1.03,2.8,43.9,0.36,1.7,4.8,0.97,2.7,49.8,40.0,45.5
6,Novak Djokovic,19,84.2,66.8,66.2,5.3,1.9,5.6,66.3,71.9,56.6,60.0,81.8,6.2,44.4,44.2,3.4,3.1,39.7,52.5,6.5,30.0,46.7,48.0,175,0.8,3.6,9.2,1.75,4.4,64.3,0.51,2.4,6.1,0.85,2.2,55.5,80.0,79.2
7,Casper Ruud,31,77.4,65.2,64.9,5.6,2.5,7.5,66.0,70.5,55.1,59.6,80.4,6.3,40.9,41.7,5.7,2.8,34.9,51.3,6.5,34.0,48.3,43.9,253,0.7,3.1,8.2,1.37,3.6,61.9,0.51,2.3,6.1,0.89,2.3,53.0,100.0,69.1
8,Alex De Minaur,15,66.7,62.8,64.1,3.6,4.0,9.0,55.4,66.6,58.1,63.8,76.3,6.0,43.8,42.3,3.1,4.9,38.2,53.3,6.5,41.0,107.2,50.0,138,0.76,3.5,9.2,1.77,4.6,53.8,0.51,2.3,6.1,1.08,2.8,52.8,0.0,61.5
9,Lorenzo Musetti,20,60.0,63.2,63.1,3.0,1.6,4.6,64.2,70.4,50.3,52.7,78.6,6.1,40.4,40.5,3.6,2.2,34.3,52.0,6.5,37.0,47.0,44.7,141,0.64,2.9,7.1,1.31,3.2,52.0,0.45,2.0,4.9,0.98,2.4,51.5,40.0,60.4
10,Holger Rune,17,64.7,63.7,64.0,5.0,3.2,8.1,60.1,70.8,53.1,57.8,81.1,6.5,35.8,35.2,4.7,3.5,29.6,45.9,6.3,45.0,64.8,39.5,114,0.49,2.4,6.7,0.94,2.6,65.4,0.55,2.6,7.5,0.92,2.6,50.1,87.5,62.5
11,Daniil Medvedev,16,68.8,62.8,63.7,5.2,4.4,11.6,62.6,71.7,47.9,54.2,76.5,6.7,40.8,41.4,4.4,2.2,35.4,50.4,6.6,35.0,41.6,48.6,109,0.58,2.7,6.8,1.33,3.3,58.3,0.56,2.6,6.4,1.08,2.7,51.7,80.0,62.5
12,Tommy Paul,14,71.4,63.9,63.4,4.5,1.8,5.0,65.0,67.5,57.3,60.3,79.6,6.5,43.8,43.8,3.9,3.0,37.7,55.5,6.9,43.0,51.1,40.9,137,0.84,3.8,9.8,1.56,4.0,65.7,0.59,2.8,7.1,0.94,2.4,53.6,60.0,69.4
13,Ben Shelton,12,66.7,66.8,68.0,7.3,5.2,15.3,65.8,73.8,53.2,62.8,85.9,6.2,34.9,33.8,4.2,3.9,29.2,45.5,6.4,56.0,79.7,32.1,84,0.53,2.5,7.0,0.82,2.3,65.7,0.41,2.0,5.6,0.7,1.9,50.8,40.0,57.6
14,Arthur Fils,20,50.0,61.2,61.5,5.6,4.0,10.3,61.8,69.2,48.3,53.8,75.6,6.5,39.3,39.6,3.8,2.0,35.5,46.0,6.2,59.0,94.9,50.5,111,0.5,2.3,5.6,1.17,2.8,60.9,0.62,2.9,6.9,1.13,2.7,50.5,75.0,50.0
15,Grigor Dimitrov,12,66.7,67.0,68.4,6.0,4.9,12.1,59.0,76.4,53.4,60.8,84.9,6.2,37.3,38.7,8.1,2.8,30.8,48.2,6.8,70.0,63.3,37.2,94,0.57,2.8,7.8,1.06,2.9,63.2,0.41,2.1,5.7,0.76,2.1,51.6,66.7,69.7
16,Frances Tiafoe,10,50.0,66.0,64.7,7.4,2.1,5.4,60.3,69.1,61.2,64.7,86.1,6.5,34.3,34.2,10.1,5.4,26.8,46.9,6.8,72.5,79.6,25.0,80,0.56,2.9,8.0,0.71,2.0,64.9,0.4,2.0,5.7,0.71,2.0,49.8,50.0,50.0
17,Andrey Rublev,17,64.7,66.1,66.2,7.6,4.1,10.5,60.5,74.8,52.7,58.8,85.1,6.5,39.6,40.1,6.6,3.5,32.3,51.4,6.8,48.0,58.6,37.4,139,0.63,3.2,8.2,1.18,3.1,69.2,0.48,2.4,6.3,0.75,1.9,52.5,16.7,59.1
18,Francisco Cerundolo,34,61.8,61.7,62.6,3.1,3.3,10.2,68.1,65.8,53.0,59.0,75.8,6.6,41.7,41.8,2.7,1.7,36.4,51.7,6.7,56.0,84.3,44.6,285,0.71,3.3,8.4,1.46,3.7,58.2,0.58,2.7,6.8,1.11,2.9,51.7,54.5,60.9
19,Stefanos Tsitsipas,28,78.6,66.4,67.2,5.8,3.9,10.7,63.3,72.1,56.6,63.4,85.7,6.4,38.5,39.2,5.4,2.2,32.2,51.0,6.4,38.0,43.8,43.9,214,0.65,3.1,7.6,1.36,3.4,66.0,0.42,2.0,5.0,0.7,1.7,52.6,58.3,71.0
20,Tomas Machac,14,64.3,60.7,60.8,4.6,3.2,10.8,70.1,62.5,56.4,63.2,74.0,6.5,41.5,41.9,5.3,3.3,36.5,52.7,6.6,35.0,45.5,50.9,108,0.6,2.8,7.7,1.41,3.9,54.5,0.57,2.6,7.2,1.18,3.3,51.0,75.0,56.4
21,Jakub Mensik,10,60.0,59.5,59.1,7.6,4.7,12.1,61.6,67.5,46.6,53.0,75.3,6.9,37.5,38.3,5.8,2.3,31.1,53.3,6.1,40.5,48.6,47.9,48,0.55,2.3,4.8,1.1,2.3,64.1,0.69,3.0,6.4,1.1,2.3,49.5,50.0,57.1
22,Ugo Humbert,12,41.7,63.4,63.2,4.8,2.5,6.9,63.6,70.7,50.6,54.3,80.4,6.2,36.8,36.2,6.0,4.3,30.9,47.0,6.1,53.0,64.2,39.7,78,0.52,2.4,6.5,0.97,2.6,58.3,0.47,2.3,6.0,0.94,2.5,50.3,100.0,46.9
23,Sebastian Korda,10,50.0,61.8,59.9,7.3,1.6,4.0,58.8,67.9,53.0,55.2,77.4,6.4,37.5,38.3,4.8,1.6,33.5,44.7,6.5,43.0,93.2,37.3,75,0.6,2.9,7.5,1.08,2.8,57.6,0.53,2.5,6.6,1.08,2.8,49.5,50.0,50.0
24,Karen Khachanov,12,66.7,64.8,63.4,7.2,1.9,5.4,64.0,72.4,51.3,54.2,82.1,6.3,39.4,39.0,5.0,3.8,33.6,49.1,6.6,31.0,47.8,44.3,88,0.57,2.8,7.3,1.26,3.3,61.1,0.46,2.3,6.0,0.9,2.3,51.8,50.0,64.5
25,Alexei Popyrin,12,33.3,62.8,61.8,8.7,3.7,10.1,63.3,70.1,50.3,56.0,77.4,6.3,32.9,33.3,7.3,3.0,26.3,42.9,6.1,73.5,72.1,37.3,59,0.44,2.0,4.9,0.76,1.8,55.2,0.5,2.3,5.6,1.03,2.5,48.0,25.0,37.9
