Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,4,100.0,66.2,65.0,10.1,3.5,8.4,57.9,75.7,53.3,58.2,87.7,6.1,44.7,45.1,6.8,4.9,36.9,57.9,6.6,84.5,88.8,48.9,45,0.73,3.2,11.3,1.57,5.5,78.9,0.58,2.7,9.5,0.57,2.0,55.3,-,85.7
2,Alexander Zverev,4,100.0,71.8,69.0,16.2,3.2,10.6,69.9,78.2,56.9,63.6,93.9,6.2,41.6,42.3,5.3,2.6,39.5,45.6,6.8,82.0,125.3,33.9,56,0.84,4.0,14.0,1.36,4.8,87.5,0.48,2.3,8.0,0.29,1.0,55.9,66.7,85.7
3,Carlos Alcaraz,4,100.0,71.6,71.9,7.6,3.5,10.0,64.8,76.5,62.5,69.4,89.7,5.9,48.6,48.6,2.9,2.9,43.1,58.5,7.1,158.5,173.3,41.7,60,1.05,4.6,15.0,1.92,6.3,68.4,0.33,1.5,4.8,0.46,1.5,59.1,100.0,92.3
4,Taylor Fritz,4,100.0,66.7,63.7,11.7,2.1,5.3,60.7,75.5,53.0,55.9,84.6,5.9,46.7,45.2,2.2,4.6,37.4,59.5,6.5,84.5,83.3,58.7,46,0.73,3.1,11.5,1.8,6.8,63.0,0.42,1.8,6.8,0.67,2.5,56.4,-,80.0
5,Jack Draper,8,75.0,66.1,65.0,9.9,3.6,8.6,58.0,76.5,51.7,56.5,81.0,5.7,41.4,42.7,7.4,3.3,32.1,53.8,6.2,72.0,97.5,47.1,87,0.71,3.1,10.9,1.46,5.1,52.0,0.4,1.8,6.3,0.86,3.0,53.3,100.0,64.3
6,Novak Djokovic,4,100.0,71.3,71.7,9.4,4.3,10.7,60.2,76.9,62.9,70.4,90.2,5.8,45.2,44.5,4.8,5.1,37.1,60.6,7.0,140.0,147.5,41.8,55,0.93,4.2,13.8,1.77,5.8,53.8,0.21,1.0,3.3,0.46,1.5,57.2,50.0,92.3
7,Casper Ruud,4,100.0,74.8,75.1,13.5,4.9,13.8,64.3,83.7,58.6,68.0,94.7,5.7,45.0,47.7,7.7,1.9,37.1,57.0,7.0,130.0,144.8,42.2,45,0.83,3.8,11.3,1.58,4.8,83.3,0.32,1.5,4.5,0.25,0.8,58.7,100.0,100.0
8,Alex De Minaur,4,100.0,66.7,67.7,9.1,5.9,11.3,47.7,76.7,57.5,64.9,86.9,6.6,44.4,45.1,5.0,2.8,38.7,52.3,7.7,70.5,126.5,38.8,49,0.82,3.8,12.3,1.46,4.8,70.4,0.44,2.1,6.8,0.62,2.0,54.8,75.0,84.6
9,Lorenzo Musetti,4,100.0,65.4,64.8,6.2,2.5,6.2,60.0,72.0,55.4,59.1,82.4,6.5,41.0,41.9,7.4,3.8,30.6,56.2,6.7,106.0,157.0,45.8,48,0.65,3.2,12.0,1.47,5.5,59.4,0.43,2.1,8.0,0.87,3.3,53.0,100.0,80.0
10,Holger Rune,4,75.0,67.9,66.6,11.2,3.7,8.5,56.9,78.9,53.3,58.3,88.5,6.3,37.0,36.6,4.8,3.3,28.6,49.1,6.5,61.5,135.0,26.8,41,0.67,3.2,10.3,0.85,2.8,70.8,0.39,1.8,6.0,0.54,1.8,52.2,100.0,69.2
