Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,6,100.0,73.0,72.5,8.3,2.4,7.0,65.7,78.8,62.0,66.7,90.9,6.0,42.4,42.8,7.1,4.6,33.6,58.0,6.8,18.5,28.5,48.9,47,0.61,2.9,7.8,1.44,3.8,70.8,0.31,1.5,4.0,0.44,1.2,56.8,100.0,93.8
2,Alexander Zverev,15,100.0,72.2,70.7,12.4,3.0,10.4,70.6,78.9,56.0,62.5,91.8,6.0,39.6,40.6,6.2,2.7,32.3,52.6,6.6,81.0,96.7,36.6,142,0.68,3.3,9.5,1.21,3.5,77.3,0.36,1.7,5.0,0.4,1.1,55.0,87.5,81.4
3,Carlos Alcaraz,8,62.5,68.0,67.5,8.1,3.1,8.9,64.9,75.1,55.0,60.4,87.3,6.1,39.8,40.9,6.8,2.8,33.7,49.5,6.3,24.5,51.0,45.1,51,0.65,2.8,6.4,1.28,2.9,72.2,0.46,2.0,4.5,0.56,1.3,53.7,0.0,72.2
4,Taylor Fritz,10,90.0,72.6,69.0,15.2,1.6,4.8,67.5,78.0,61.4,64.5,93.0,6.2,34.8,35.9,8.7,3.1,27.9,47.2,6.5,42.5,61.6,36.5,74,0.53,2.6,7.4,0.96,2.7,81.1,0.37,1.9,5.3,0.36,1.0,53.5,80.0,78.6
5,Jack Draper,5,60.0,68.8,68.1,13.5,5.4,13.1,58.9,84.7,46.0,52.9,88.9,6.2,40.5,41.7,6.7,2.6,34.7,50.4,6.3,64.0,61.8,53.3,30,0.56,2.5,6.0,1.33,3.2,68.4,0.35,1.6,3.8,0.5,1.2,54.5,0.0,58.3
6,Novak Djokovic,5,80.0,73.0,72.3,13.5,4.1,10.9,62.2,78.3,64.4,72.2,81.3,5.6,44.6,45.9,4.7,1.4,43.2,47.7,6.3,70.0,73.0,58.3,36,0.82,3.3,7.2,1.91,4.2,59.1,0.46,2.0,4.4,0.82,1.8,58.6,-,81.8
7,Casper Ruud,10,80.0,68.3,67.0,11.7,3.7,10.4,64.1,75.9,54.7,61.0,88.1,6.1,40.9,41.8,5.8,2.7,36.1,49.8,6.6,37.5,62.7,38.4,99,0.74,3.4,9.9,1.31,3.8,71.4,0.41,1.9,5.6,0.55,1.6,54.2,50.0,69.0
8,Alex De Minaur,8,50.0,64.0,63.8,6.5,3.3,7.6,57.2,73.4,51.6,55.8,77.8,5.9,39.3,40.1,6.2,2.8,28.4,56.6,6.4,37.5,169.6,50.0,52,0.51,2.5,6.5,1.24,3.3,56.0,0.51,2.4,6.3,1.05,2.8,51.1,33.3,47.6
9,Lorenzo Musetti,8,62.5,63.9,63.6,4.0,1.7,4.9,65.1,70.2,52.2,54.9,80.0,6.5,38.5,37.6,6.1,5.2,29.2,54.0,7.2,66.0,72.5,29.4,68,0.75,3.6,8.5,1.05,2.5,58.1,0.48,2.3,5.4,0.95,2.3,50.4,50.0,52.6
10,Holger Rune,7,100.0,70.3,68.7,10.6,2.5,7.1,64.9,79.3,53.6,57.7,90.8,6.4,38.3,38.9,6.4,3.2,32.2,48.3,6.2,59.0,101.1,45.5,44,0.51,2.6,6.3,1.18,2.9,70.4,0.31,1.6,3.9,0.47,1.1,54.7,100.0,88.2
11,Daniil Medvedev,7,85.7,64.2,64.5,7.7,4.6,12.1,61.7,74.5,47.7,54.3,78.8,6.1,44.9,45.2,5.0,3.6,38.8,55.4,7.0,44.0,56.0,45.2,73,0.85,4.1,10.4,1.83,4.7,57.1,0.49,2.3,6.0,1.0,2.6,53.9,100.0,77.8
