Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],7,7-0,100.0%,73.4%,72.7%,59,9.3%,16,2.5%,6.2%,59.3%,81.1%,62.3%,66.4%,95.3%,5.9,1.6,7,42.1%,43.1%,7.5%,4.0%,32.8%,57.3%,28.8%,6.9,2.9,20.0,42.6,7,43.5%,30,69,0.66,3.0,9.9,1.30,4.3,78.3%,18,23,0.21,1.0,3.3,0.22,0.7,7,1.59,1351,56.8%,4,4-0,100.0%,17.4%,23,21-2,91.3%,211,132-79,62.6%,2:32,46.3,47.3
2,Alexander Zverev[GER],29,21-8,72.4%,68.6%,67.4%,217,10.2%,69,3.2%,10.5%,69.2%,74.4%,55.3%,61.8%,86.0%,6.0,1.9,29,38.9%,39.2%,5.3%,2.9%,31.4%,52.1%,24.0%,6.6,2.6,43.0,50.6,29,40.4%,86,213,0.59,2.9,7.3,1.16,3.0,60.9%,78,128,0.36,1.7,4.4,0.68,1.7,29,1.24,4491,53.0%,15,10-5,66.7%,20.3%,74,51-23,68.9%,716,394-322,55.0%,2:02,47.6,47.1
3,Carlos Alcaraz[ESP],29,24-5,82.8%,66.4%,67.0%,122,6.0%,78,3.8%,10.9%,65.0%,72.2%,55.5%,62.3%,84.5%,6.1,2.1,29,44.3%,43.3%,3.3%,4.2%,37.0%,56.5%,36.2%,6.8,3.0,28.0,54.9,29,44.3%,121,273,0.82,3.7,9.4,1.64,4.2,66.2%,102,154,0.46,2.1,5.3,0.70,1.8,29,1.32,4316,54.8%,7,4-3,57.1%,9.5%,74,55-19,74.3%,670,405-265,60.4%,1:48,42.5,43.7
4,Taylor Fritz[USA],23,16-7,69.6%,70.4%,67.2%,224,13.4%,30,1.8%,5.4%,66.5%,78.2%,54.7%,57.8%,91.2%,5.9,1.7,23,36.4%,38.4%,10.4%,3.2%,27.9%,52.7%,21.4%,6.4,2.3,49.5,59.3,23,42.0%,60,143,0.51,2.6,6.2,1.07,2.6,66.7%,50,75,0.26,1.3,3.3,0.45,1.1,23,1.23,3455,52.8%,11,3-8,27.3%,19.6%,56,36-20,64.3%,566,320-246,56.5%,1:49,44.8,43.6
5,Jack Draper[GBR],24,19-5,79.2%,67.3%,65.8%,188,10.2%,56,3.0%,8.1%,62.4%,74.3%,55.6%,60.5%,85.3%,6.2,2.0,24,39.3%,40.7%,7.1%,2.6%,31.3%,53.6%,26.0%,6.7,2.6,32.5,71.0,24,41.3%,78,189,0.63,3.0,7.9,1.26,3.3,65.1%,82,126,0.42,2.0,5.3,0.71,1.8,24,1.20,3841,52.7%,10,7-3,70.0%,16.1%,62,43-19,69.4%,599,333-266,55.6%,1:57,45.3,43.9
6,Novak Djokovic[SRB],19,12-7,63.2%,68.8%,66.7%,149,11.2%,33,2.5%,7.7%,67.7%,75.7%,54.3%,58.8%,87.3%,6.1,1.9,19,38.3%,39.9%,9.5%,3.7%,30.1%,53.1%,24.5%,6.5,2.5,44.0,61.5,19,41.7%,53,127,0.59,2.8,6.7,1.15,2.8,61.6%,45,73,0.33,1.6,3.8,0.61,1.5,19,1.23,2732,53.2%,10,4-6,40.0%,21.7%,46,30-16,65.2%,436,245-191,56.2%,1:53,46.7,47.2
7,Casper Ruud[NOR],27,21-6,77.8%,65.4%,65.3%,130,6.7%,66,3.4%,10.2%,67.0%,71.4%,53.1%,59.2%,84.6%,6.4,2.2,27,38.0%,39.1%,7.2%,2.8%,31.0%,51.0%,22.0%,6.6,2.5,48.0,68.8,27,36.9%,65,176,0.59,2.7,6.5,0.98,2.4,71.0%,115,162,0.53,2.5,6.0,0.71,1.7,27,1.10,3896,51.7%,5,3-2,60.0%,7.6%,66,46-20,69.7%,602,324-278,53.8%,1:46,43.5,44.2
8,Alex De Minaur[AUS],33,24-9,72.7%,66.5%,67.3%,104,4.9%,76,3.6%,7.8%,54.2%,74.6%,56.8%,61.6%,84.0%,6.1,2.0,33,42.3%,42.5%,4.8%,3.2%,34.3%,53.8%,33.0%,6.5,2.8,42.5,51.2,33,49.1%,113,230,0.67,2.9,7.0,1.45,3.4,60.0%,84,140,0.40,1.8,4.2,0.72,1.7,33,1.26,4350,54.1%,6,3-3,50.0%,7.7%,78,56-22,71.8%,691,406-285,58.8%,1:41,42.8,46.0
9,Lorenzo Musetti[ITA],22,16-6,72.7%,63.9%,64.1%,70,3.8%,44,2.4%,7.3%,67.4%,68.8%,53.7%,58.0%,79.9%,6.4,2.3,22,39.8%,38.6%,4.8%,5.0%,30.2%,55.2%,25.7%,6.8,2.7,34.0,37.0,22,35.6%,74,208,0.72,3.5,9.5,1.25,3.4,58.9%,83,141,0.49,2.4,6.4,0.98,2.6,22,1.10,3791,51.5%,12,8-4,66.7%,20.3%,59,38-21,64.4%,576,304-272,52.8%,2:12,49.3,46.0
10,Holger Rune[DEN],26,16-10,61.5%,64.0%,64.3%,77,4.4%,51,2.9%,7.9%,62.9%,70.2%,53.5%,58.1%,79.9%,6.2,2.2,26,37.9%,39.2%,7.3%,2.6%,31.5%,49.2%,22.9%,6.3,2.4,39.0,46.2,26,39.9%,65,163,0.57,2.5,6.3,1.00,2.5,53.3%,65,122,0.43,1.9,4.7,0.88,2.2,26,1.05,3533,50.8%,8,5-3,62.5%,12.3%,65,38-27,58.5%,567,291-276,51.3%,1:42,40.6,44.8
