Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,75.8%,75.9%,6,6.3%,2,2.1%,5.3%,60.0%,84.2%,63.2%,66.7%,100.0%,6.3,1.5,Jannik Sinner[ITA],1,36.8%,40.7%,12.6%,2.1%,30.8%,50.0%,13.3%,6.3,2.3,2.0,2.0,Jannik Sinner[ITA],1,20.0%,2,10,0.67,3.3,10.0,0.67,2.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Jannik Sinner[ITA],1,1.52,190,56.3%,1,1-0,100.0%,33.3%,3,3-0,100.0%,30,17-13,56.7%,2:42,54.0,51.2
2,Alexander Zverev[GER],2,1-1,50.0%,67.8%,67.5%,16,11.2%,7,4.9%,17.1%,71.3%,76.5%,46.3%,55.9%,91.7%,6.0,1.9,Alexander Zverev[GER],2,29.7%,29.0%,6.2%,3.4%,20.2%,44.6%,12.5%,6.0,1.8,8.0,8.0,Alexander Zverev[GER],2,75.0%,3,4,0.17,0.8,2.0,0.60,1.5,80.0%,8,10,0.42,2.0,5.0,0.40,1.0,Alexander Zverev[GER],2,0.92,288,48.6%,1,0-1,0.0%,20.0%,5,2-3,40.0%,48,25-23,52.1%,1:57,46.6,48.5
3,Carlos Alcaraz[ESP],3,2-1,66.7%,64.0%,64.2%,6,2.8%,4,1.9%,6.3%,69.7%,67.3%,56.3%,60.0%,79.4%,6.2,2.2,Carlos Alcaraz[ESP],3,40.4%,39.4%,1.8%,2.8%,35.7%,49.3%,31.4%,6.2,2.5,13.0,12.3,Carlos Alcaraz[ESP],3,52.4%,11,21,0.60,2.6,7.0,1.38,3.7,63.2%,12,19,0.56,2.4,6.3,0.88,2.3,Carlos Alcaraz[ESP],3,1.12,429,52.0%,1,0-1,0.0%,12.5%,8,4-4,50.0%,69,38-31,55.1%,1:47,40.1,44.9
4,Taylor Fritz[USA],1,1-0,100.0%,74.0%,72.5%,13,13.5%,3,3.1%,8.8%,64.6%,82.3%,58.8%,64.5%,94.1%,5.6,1.5,Taylor Fritz[USA],1,26.0%,31.6%,17.7%,0.0%,20.3%,37.5%,5.9%,5.6,1.5,16.0,16.0,Taylor Fritz[USA],1,50.0%,1,2,0.12,0.7,2.0,0.33,1.0,0.0%,0,1,0.06,0.3,1.0,0.33,1.0,Taylor Fritz[USA],1,1.00,192,50.0%,1,1-0,100.0%,33.3%,3,2-1,66.7%,34,17-17,50.0%,2:18,46.0,43.1
5,Jack Draper[GBR],3,1-2,33.3%,65.5%,62.4%,28,11.8%,5,2.1%,5.7%,63.0%,74.7%,50.0%,53.0%,84.2%,6.3,2.2,Jack Draper[GBR],3,34.8%,35.3%,8.6%,3.9%,25.0%,51.8%,20.0%,5.8,2.0,13.0,12.7,Jack Draper[GBR],3,47.1%,8,17,0.43,2.1,5.7,1.00,2.7,64.7%,11,17,0.45,2.1,5.7,0.75,2.0,Jack Draper[GBR],3,1.01,471,50.3%,0,0-0,-,0.0%,8,4-4,50.0%,78,40-38,51.3%,1:54,42.8,43.6
6,Novak Djokovic[SRB],1,0-1,0.0%,70.3%,68.2%,7,9.5%,1,1.4%,5.6%,75.7%,76.8%,50.0%,52.9%,91.7%,6.2,1.8,Novak Djokovic[SRB],1,30.8%,36.5%,17.9%,1.3%,23.1%,46.2%,8.3%,6.5,2.0,54.0,54.0,Novak Djokovic[SRB],1,100.0%,1,1,0.08,0.5,1.0,0.50,1.0,66.7%,2,3,0.25,1.5,3.0,0.50,1.0,Novak Djokovic[SRB],1,1.03,152,50.0%,2,0-2,0.0%,100.0%,2,0-2,0.0%,24,12-12,50.0%,2:03,61.5,48.6
7,Casper Ruud[NOR],2,1-1,50.0%,63.9%,63.9%,14,8.3%,8,4.7%,14.0%,66.3%,72.3%,47.4%,55.1%,84.6%,6.5,2.3,Casper Ruud[NOR],2,34.3%,36.4%,10.9%,2.9%,27.8%,46.7%,11.5%,6.7,2.3,30.0,30.0,Casper Ruud[NOR],2,27.3%,3,11,0.42,2.2,5.5,0.60,1.5,66.7%,8,12,0.46,2.4,6.0,0.80,2.0,Casper Ruud[NOR],2,0.95,344,48.8%,1,0-1,0.0%,20.0%,5,2-3,40.0%,52,25-27,48.1%,2:05,49.8,43.4
8,Alex De Minaur[AUS],1,0-1,0.0%,62.8%,65.8%,1,1.3%,4,5.1%,13.3%,61.5%,72.9%,46.7%,53.8%,71.4%,5.6,2.1,Alex De Minaur[AUS],1,34.2%,34.2%,2.6%,1.3%,33.3%,36.0%,15.4%,5.8,2.0,3.0,3.0,Alex De Minaur[AUS],1,40.0%,2,5,0.38,1.7,5.0,0.67,2.0,50.0%,4,8,0.57,2.7,8.0,1.33,4.0,Alex De Minaur[AUS],1,0.92,154,48.7%,0,0-0,-,0.0%,3,1-2,33.3%,27,12-15,44.4%,1:54,38.0,44.4
9,Lorenzo Musetti[ITA],1,0-1,0.0%,50.0%,48.4%,3,4.4%,1,1.5%,4.0%,63.2%,48.8%,52.0%,54.2%,45.5%,6.2,3.1,Lorenzo Musetti[ITA],1,35.9%,34.7%,3.8%,3.8%,30.4%,50.0%,18.2%,7.1,2.5,3.0,3.0,Lorenzo Musetti[ITA],1,22.2%,2,9,0.82,3.0,9.0,0.67,2.0,25.0%,2,8,0.73,2.7,8.0,2.00,6.0,Lorenzo Musetti[ITA],1,0.72,146,42.5%,0,0-0,-,0.0%,3,1-2,33.3%,22,7-15,31.8%,1:47,35.7,44.0
10,Holger Rune[DEN],2,1-1,50.0%,59.7%,60.8%,1,0.8%,3,2.4%,7.9%,69.4%,65.1%,47.4%,51.4%,72.2%,6.9,2.8,Holger Rune[DEN],2,33.0%,37.0%,10.7%,0.0%,24.2%,48.6%,16.7%,5.7,1.9,8.0,8.0,Holger Rune[DEN],2,60.0%,3,5,0.28,1.3,2.5,0.75,1.5,58.3%,7,12,0.67,3.0,6.0,1.25,2.5,Holger Rune[DEN],2,0.82,227,47.6%,1,1-0,100.0%,25.0%,4,2-2,50.0%,36,16-20,44.4%,1:25,42.3,44.7
13,Ben Shelton[USA],1,0-1,0.0%,60.0%,61.4%,3,6.0%,3,6.0%,16.7%,64.0%,71.9%,38.9%,46.7%,66.7%,5.6,2.2,Ben Shelton[USA],1,22.9%,15.4%,8.3%,10.4%,10.8%,63.6%,0.0%,5.3,1.2,3.0,3.0,Ben Shelton[USA],1,-,0,0,0.00,0.0,0.0,0.00,0.0,25.0%,1,4,0.44,2.0,4.0,1.50,3.0,Ben Shelton[USA],1,0.57,98,41.8%,0,0-0,-,0.0%,2,0-2,0.0%,18,6-12,33.3%,1:11,35.5,43.5
16,Frances Tiafoe[USA],1,0-1,0.0%,47.3%,49.1%,0,0.0%,2,3.6%,7.4%,50.9%,60.7%,33.3%,36.0%,44.4%,6.1,3.2,Frances Tiafoe[USA],1,34.5%,36.5%,8.6%,1.7%,36.6%,29.4%,22.2%,6.4,2.2,507.0,507.0,Frances Tiafoe[USA],1,33.3%,2,6,0.67,3.0,6.0,1.00,2.0,16.7%,1,6,0.67,3.0,6.0,2.50,5.0,Frances Tiafoe[USA],1,0.65,113,40.7%,0,0-0,-,0.0%,2,0-2,0.0%,18,6-12,33.3%,1:27,43.5,46.2
17,Andrey Rublev[RUS],1,1-0,100.0%,75.3%,72.0%,10,11.8%,0,0.0%,0.0%,67.1%,78.9%,67.9%,67.9%,93.8%,5.3,1.3,Andrey Rublev[RUS],1,35.6%,39.5%,13.3%,2.2%,30.5%,45.2%,20.0%,6.0,2.1,16.0,16.0,Andrey Rublev[RUS],1,42.9%,3,7,0.47,2.3,7.0,1.00,3.0,66.7%,2,3,0.19,1.0,3.0,0.33,1.0,Andrey Rublev[RUS],1,1.44,175,54.9%,0,0-0,-,0.0%,3,2-1,66.7%,31,18-13,58.1%,2:04,41.3,42.5
18,Francisco Cerundolo[ARG],1,0-1,0.0%,57.4%,56.3%,3,4.4%,1,1.5%,4.0%,63.2%,53.5%,64.0%,66.7%,63.6%,6.2,2.6,Francisco Cerundolo[ARG],1,37.3%,37.7%,5.3%,2.7%,27.1%,55.6%,27.3%,6.8,2.5,99.0,99.0,Francisco Cerundolo[ARG],1,75.0%,3,4,0.36,2.0,4.0,1.50,3.0,55.6%,5,9,0.82,4.5,9.0,2.00,4.0,Francisco Cerundolo[ARG],1,0.88,143,46.9%,1,0-1,0.0%,50.0%,2,0-2,0.0%,22,10-12,45.5%,1:45,52.5,44.1
19,Stefanos Tsitsipas[GRE],1,1-0,100.0%,66.7%,69.0%,4,6.1%,4,6.1%,16.7%,63.6%,83.3%,37.5%,45.0%,100.0%,7.3,2.4,Stefanos Tsitsipas[GRE],1,40.4%,41.3%,7.7%,3.8%,29.4%,61.1%,33.3%,5.8,2.3,21.0,21.0,Stefanos Tsitsipas[GRE],1,50.0%,3,6,0.67,3.0,6.0,1.50,3.0,100.0%,7,7,0.78,3.5,7.0,0.00,0.0,Stefanos Tsitsipas[GRE],1,1.21,118,55.1%,0,0-0,-,0.0%,2,2-0,100.0%,18,12-6,66.7%,1:28,44.0,44.7
20,Tomas Machac[CZE],1,1-0,100.0%,80.3%,79.2%,11,18.0%,2,3.3%,9.1%,63.9%,94.9%,54.5%,60.0%,100.0%,6.1,1.2,Tomas Machac[CZE],1,38.0%,38.5%,5.6%,2.8%,38.1%,37.9%,20.0%,7.1,2.7,48.0,48.0,Tomas Machac[CZE],1,66.7%,2,3,0.30,1.5,3.0,1.00,2.0,100.0%,1,1,0.10,0.5,1.0,0.00,0.0,Tomas Machac[CZE],1,1.93,132,57.6%,1,1-0,100.0%,50.0%,2,2-0,100.0%,20,12-8,60.0%,1:37,48.5,44.1
