Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,69.9%,68.5%,8,9.6%,2,2.4%,6.1%,60.2%,82.0%,51.5%,54.8%,92.9%,5.9,1.8,Jannik Sinner[ITA],1,46.3%,46.2%,2.4%,2.4%,33.3%,64.7%,38.5%,6.3,2.9,46.0,46.0,Jannik Sinner[ITA],1,50.0%,5,10,0.77,3.3,10.0,1.67,5.0,85.7%,6,7,0.50,2.3,7.0,0.33,1.0,Jannik Sinner[ITA],1,1.54,165,58.2%,0,0-0,-,0.0%,3,3-0,100.0%,27,18-9,66.7%,2:01,40.3,44.0
2,Alexander Zverev[GER],7,6-1,85.7%,68.8%,68.5%,45,8.5%,19,3.6%,10.8%,66.7%,73.3%,59.7%,66.9%,85.7%,5.8,1.8,Alexander Zverev[GER],7,38.1%,39.6%,6.2%,1.6%,31.0%,52.1%,25.3%,6.2,2.4,37.0,47.7,Alexander Zverev[GER],7,42.6%,23,54,0.59,3.0,7.7,1.28,3.3,55.2%,16,29,0.32,1.6,4.1,0.72,1.9,Alexander Zverev[GER],7,1.22,1092,52.9%,4,3-1,75.0%,22.2%,18,14-4,77.8%,182,101-81,55.5%,2:07,49.4,48.8
3,Carlos Alcaraz[ESP],6,6-0,100.0%,65.4%,66.6%,19,4.1%,18,3.8%,10.1%,61.8%,71.6%,55.3%,61.5%,86.3%,6.4,2.2,Carlos Alcaraz[ESP],6,45.0%,43.0%,3.1%,5.9%,37.1%,58.5%,37.0%,7.0,3.1,58.5,80.8,Carlos Alcaraz[ESP],6,45.0%,27,60,0.82,3.8,10.0,1.69,4.5,71.4%,25,35,0.48,2.2,5.8,0.63,1.7,Carlos Alcaraz[ESP],6,1.30,977,54.8%,3,2-1,66.7%,18.8%,16,13-3,81.3%,146,90-56,61.6%,1:59,44.7,43.9
4,Taylor Fritz[USA],5,4-1,80.0%,70.6%,67.2%,50,13.1%,5,1.3%,3.8%,65.1%,79.4%,54.1%,56.3%,90.8%,5.9,1.7,Taylor Fritz[USA],5,34.7%,35.6%,10.1%,4.1%,29.7%,43.8%,20.0%,5.9,2.1,41.0,44.4,Taylor Fritz[USA],5,41.9%,13,31,0.48,2.4,6.2,1.00,2.6,68.4%,13,19,0.29,1.5,3.8,0.46,1.2,Taylor Fritz[USA],5,1.18,767,52.5%,1,0-1,0.0%,7.7%,13,8-5,61.5%,130,72-58,55.4%,1:50,42.3,43.0
5,Jack Draper[GBR],5,5-0,100.0%,70.6%,68.0%,49,13.4%,9,2.5%,7.3%,66.5%,77.5%,56.9%,61.4%,86.9%,6.0,1.8,Jack Draper[GBR],5,39.7%,40.8%,6.9%,2.9%,28.6%,57.1%,24.6%,6.9,2.7,45.0,221.6,Jack Draper[GBR],5,34.9%,15,43,0.70,3.6,8.6,1.25,3.0,65.2%,15,23,0.38,1.9,4.6,0.67,1.6,Jack Draper[GBR],5,1.35,785,54.1%,4,4-0,100.0%,33.3%,12,10-2,83.3%,122,68-54,55.7%,1:48,45.2,41.4
6,Novak Djokovic[SRB],5,3-2,60.0%,68.8%,66.0%,43,13.8%,9,2.9%,8.6%,66.2%,79.1%,48.6%,53.1%,86.5%,6.0,1.9,Novak Djokovic[SRB],5,37.6%,39.0%,8.9%,3.4%,27.9%,54.6%,23.5%,6.4,2.4,35.0,46.0,Novak Djokovic[SRB],5,36.4%,12,33,0.65,3.0,6.6,1.09,2.4,61.1%,11,18,0.35,1.6,3.6,0.64,1.4,Novak Djokovic[SRB],5,1.21,638,52.8%,2,1-1,50.0%,18.2%,11,7-4,63.6%,103,57-46,55.3%,1:40,45.5,47.1
7,Casper Ruud[NOR],6,6-0,100.0%,74.4%,74.0%,37,10.3%,11,3.1%,9.4%,67.4%,79.3%,64.1%,70.8%,95.2%,5.7,1.5,Casper Ruud[NOR],6,40.6%,42.3%,7.5%,2.5%,35.9%,50.8%,28.3%,6.7,2.7,56.5,61.8,Casper Ruud[NOR],6,40.5%,17,42,0.70,3.2,7.0,1.31,2.8,86.4%,19,22,0.35,1.7,3.7,0.23,0.5,Casper Ruud[NOR],6,1.58,758,56.6%,1,1-0,100.0%,7.7%,13,12-1,92.3%,123,77-46,62.6%,1:33,42.9,44.2
8,Alex De Minaur[AUS],9,8-1,88.9%,67.0%,68.2%,27,4.0%,25,3.7%,7.8%,52.7%,74.4%,58.7%,63.6%,87.3%,6.2,2.0,Alex De Minaur[AUS],9,40.7%,41.4%,5.4%,2.7%,33.2%,51.6%,29.4%,6.4,2.6,46.0,58.2,Alex De Minaur[AUS],9,53.3%,32,60,0.55,2.6,6.7,1.39,3.6,61.1%,22,36,0.33,1.6,4.0,0.61,1.6,Alex De Minaur[AUS],9,1.23,1383,53.7%,2,2-0,100.0%,8.7%,23,18-5,78.3%,219,128-91,58.4%,1:59,46.5,46.4
9,Lorenzo Musetti[ITA],5,3-2,60.0%,65.7%,65.5%,16,3.5%,7,1.5%,4.4%,65.3%,70.0%,57.6%,60.3%,82.4%,6.1,2.1,Lorenzo Musetti[ITA],5,37.7%,37.1%,6.7%,4.8%,28.2%,55.5%,21.6%,6.7,2.5,20.0,21.2,Lorenzo Musetti[ITA],5,30.2%,16,53,0.72,3.5,10.6,1.07,3.2,58.1%,18,31,0.42,2.1,6.2,0.87,2.6,Lorenzo Musetti[ITA],5,1.10,951,51.1%,3,1-2,33.3%,20.0%,15,8-7,53.3%,148,77-71,52.0%,2:24,48.1,45.6
10,Holger Rune[DEN],6,5-1,83.3%,63.7%,63.3%,35,6.5%,17,3.1%,7.7%,59.0%,73.1%,50.0%,54.1%,80.5%,6.2,2.3,Holger Rune[DEN],6,39.8%,39.5%,4.3%,3.3%,32.1%,52.1%,25.0%,6.6,2.6,42.0,69.3,Holger Rune[DEN],6,35.0%,21,60,0.71,3.8,10.0,1.31,3.5,50.0%,17,34,0.39,2.1,5.7,1.06,2.8,Holger Rune[DEN],6,1.09,1095,51.6%,3,2-1,66.7%,18.8%,16,11-5,68.8%,171,91-80,53.2%,2:13,49.7,43.6
