Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
2,Alexander Zverev[GER],2,2-0,100.0%,67.2%,67.9%,6,5.0%,4,3.4%,11.4%,70.6%,79.8%,37.1%,41.9%,89.5%,6.3,2.1,Alexander Zverev[GER],2,45.5%,46.8%,4.5%,1.5%,37.0%,65.0%,38.9%,7.3,3.3,74.5,74.5,Alexander Zverev[GER],2,53.8%,7,13,0.72,3.3,6.5,1.75,3.5,66.7%,4,6,0.32,1.5,3.0,0.50,1.0,Alexander Zverev[GER],2,1.39,251,55.8%,0,0-0,-,0.0%,4,4-0,100.0%,37,24-13,64.9%,1:28,44.0,42.1
3,Carlos Alcaraz[ESP],5,5-0,100.0%,67.4%,69.0%,12,4.3%,12,4.3%,14.3%,69.6%,70.8%,59.5%,69.4%,90.5%,6.6,2.1,Carlos Alcaraz[ESP],5,51.2%,49.6%,3.3%,6.3%,45.2%,58.6%,58.1%,7.0,3.6,28.0,92.0,Carlos Alcaraz[ESP],5,55.6%,25,45,1.05,4.1,9.0,2.27,5.0,85.2%,23,27,0.64,2.5,5.4,0.36,0.8,Carlos Alcaraz[ESP],5,1.57,577,58.9%,0,0-0,-,0.0%,11,10-1,90.9%,85,63-22,74.1%,1:23,37.5,42.9
4,Taylor Fritz[USA],3,2-1,66.7%,70.3%,67.9%,23,11.8%,4,2.1%,5.9%,65.1%,81.9%,48.5%,51.6%,91.2%,5.7,1.7,Taylor Fritz[USA],3,38.7%,38.6%,11.3%,7.4%,30.0%,51.2%,27.3%,6.2,2.4,54.0,56.3,Taylor Fritz[USA],3,42.9%,9,21,0.64,3.0,7.0,1.29,3.0,70.0%,7,10,0.29,1.4,3.3,0.43,1.0,Taylor Fritz[USA],3,1.30,399,54.1%,1,0-1,0.0%,14.3%,7,5-2,71.4%,67,40-27,59.7%,1:35,40.6,42.7
5,Jack Draper[GBR],2,2-0,100.0%,75.5%,75.0%,8,7.5%,2,1.9%,5.1%,63.2%,79.1%,69.2%,73.0%,94.4%,5.9,1.4,Jack Draper[GBR],2,43.8%,45.8%,6.3%,1.6%,38.5%,56.8%,38.9%,7.1,3.1,46.5,46.5,Jack Draper[GBR],2,46.7%,7,15,0.83,3.8,7.5,1.75,3.5,66.7%,2,3,0.17,0.8,1.5,0.25,0.5,Jack Draper[GBR],2,1.78,234,58.1%,1,1-0,100.0%,25.0%,4,4-0,100.0%,36,24-12,66.7%,1:28,43.8,44.9
6,Novak Djokovic[SRB],2,2-0,100.0%,71.4%,71.1%,6,6.6%,2,2.2%,10.0%,78.0%,77.5%,50.0%,55.6%,88.2%,5.4,1.5,Novak Djokovic[SRB],2,51.5%,50.6%,4.0%,6.1%,41.9%,67.6%,56.3%,6.2,3.2,15.5,15.5,Novak Djokovic[SRB],2,50.0%,9,18,1.13,4.5,9.0,2.25,4.5,33.3%,1,3,0.18,0.8,1.5,0.50,1.0,Novak Djokovic[SRB],2,1.80,190,61.1%,0,0-0,-,0.0%,4,4-0,100.0%,33,24-9,72.7%,1:17,38.3,48.3
7,Casper Ruud[NOR],1,0-1,0.0%,64.4%,62.7%,5,6.8%,1,1.4%,5.6%,75.3%,63.6%,66.7%,70.6%,90.0%,7.3,2.6,Casper Ruud[NOR],1,30.1%,34.5%,17.8%,2.7%,28.0%,34.8%,0.0%,6.6,2.0,54.0,54.0,Casper Ruud[NOR],1,0.0%,0,1,0.09,0.5,1.0,0.00,0.0,80.0%,4,5,0.50,2.5,5.0,0.50,1.0,Casper Ruud[NOR],1,0.85,146,47.3%,1,0-1,0.0%,50.0%,2,0-2,0.0%,21,9-12,42.9%,1:40,50.0,41.1
8,Alex De Minaur[AUS],5,3-2,60.0%,66.2%,67.2%,3,1.0%,6,2.0%,4.3%,53.5%,75.0%,56.1%,58.6%,81.3%,6.2,2.1,Alex De Minaur[AUS],5,43.6%,44.0%,4.7%,3.0%,36.2%,55.8%,38.8%,6.1,2.7,18.0,33.6,Alex De Minaur[AUS],5,61.3%,19,31,0.63,2.8,6.2,1.73,3.8,64.0%,16,25,0.52,2.3,5.0,0.82,1.8,Alex De Minaur[AUS],5,1.29,597,54.9%,2,1-1,50.0%,18.2%,11,7-4,63.6%,97,58-39,59.8%,1:32,41.9,46.3
9,Lorenzo Musetti[ITA],3,3-0,100.0%,66.2%,66.4%,8,2.7%,5,1.7%,6.2%,72.4%,71.7%,51.9%,55.3%,87.8%,7.1,2.4,Lorenzo Musetti[ITA],3,39.5%,33.6%,2.5%,10.1%,28.3%,53.2%,19.5%,6.7,2.7,18.0,27.3,Lorenzo Musetti[ITA],3,32.0%,8,25,0.61,3.1,8.3,1.00,2.7,81.5%,22,27,0.66,3.4,9.0,0.63,1.7,Lorenzo Musetti[ITA],3,1.17,569,53.3%,3,3-0,100.0%,37.5%,8,7-1,87.5%,82,44-38,53.7%,2:19,52.1,44.0
10,Holger Rune[DEN],1,1-0,100.0%,70.7%,69.1%,3,5.2%,0,0.0%,0.0%,70.7%,73.2%,64.7%,64.7%,90.0%,5.8,1.7,Holger Rune[DEN],1,42.6%,43.1%,3.3%,1.6%,40.5%,45.8%,30.0%,6.1,2.6,9.0,9.0,Holger Rune[DEN],1,60.0%,3,5,0.50,2.5,5.0,1.50,3.0,83.3%,5,6,0.60,3.0,6.0,0.50,1.0,Holger Rune[DEN],1,1.45,119,56.3%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:28,44.0,44.4
11,Daniil Medvedev[RUS],2,2-0,100.0%,71.3%,72.4%,13,9.6%,7,5.1%,12.7%,59.6%,80.2%,58.2%,66.7%,91.7%,5.7,1.6,Daniil Medvedev[RUS],2,43.9%,42.3%,3.9%,5.6%,30.8%,61.8%,32.0%,7.2,3.2,92.0,92.0,Daniil Medvedev[RUS],2,38.1%,8,21,0.84,4.2,10.5,1.60,4.0,71.4%,5,7,0.29,1.4,3.5,0.40,1.0,Daniil Medvedev[RUS],2,1.53,316,55.7%,1,0-1,0.0%,20.0%,5,4-1,80.0%,49,30-19,61.2%,1:55,45.8,43.5
