Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],2,2-0,100.0%,78.6%,78.5%,8,5.2%,2,1.3%,3.4%,61.7%,84.2%,69.5%,71.9%,100.0%,5.7,1.2,Jannik Sinner[ITA],2,41.6%,44.2%,8.1%,1.7%,32.4%,55.9%,29.6%,6.4,2.7,5.0,5.0,Jannik Sinner[ITA],2,40.0%,8,20,0.74,3.3,10.0,1.33,4.0,100.0%,1,1,0.04,0.2,0.5,0.00,0.0,Jannik Sinner[ITA],2,1.94,327,59.0%,1,1-0,100.0%,16.7%,6,6-0,100.0%,54,35-19,64.8%,2:15,45.0,49.5
2,Alexander Zverev[GER],2,1-1,50.0%,68.4%,64.5%,20,15.0%,3,2.3%,7.7%,70.7%,73.4%,56.4%,61.1%,90.5%,6.3,2.0,Alexander Zverev[GER],2,27.5%,28.7%,7.4%,1.3%,19.8%,38.1%,0.0%,7.1,2.0,4.0,4.0,Alexander Zverev[GER],2,0.0%,0,5,0.24,1.3,2.5,0.00,0.0,84.6%,11,13,0.62,3.3,6.5,0.50,1.0,Alexander Zverev[GER],2,0.87,282,46.8%,2,1-1,50.0%,50.0%,4,1-3,25.0%,42,19-23,45.2%,2:02,60.8,51.7
3,Carlos Alcaraz[ESP],3,2-1,66.7%,62.0%,62.1%,12,4.6%,8,3.0%,10.4%,70.7%,68.3%,46.8%,52.2%,76.7%,6.1,2.3,Carlos Alcaraz[ESP],3,40.2%,38.4%,2.4%,4.5%,35.6%,47.0%,27.3%,6.6,2.7,7.0,7.3,Carlos Alcaraz[ESP],3,44.4%,12,27,0.61,3.0,9.0,1.33,4.0,52.4%,11,21,0.49,2.3,7.0,1.11,3.3,Carlos Alcaraz[ESP],3,1.06,554,50.5%,0,0-0,-,0.0%,9,5-4,55.6%,87,45-42,51.7%,2:23,47.8,46.6
5,Jack Draper[GBR],4,2-2,50.0%,61.6%,59.1%,29,10.2%,8,2.8%,7.8%,63.7%,69.1%,48.5%,52.6%,74.5%,6.0,2.3,Jack Draper[GBR],4,33.2%,34.2%,9.2%,3.3%,24.4%,49.5%,18.8%,5.6,1.9,3.5,5.0,Jack Draper[GBR],4,60.0%,9,15,0.31,1.5,3.8,0.90,2.3,58.6%,17,29,0.62,2.9,7.3,1.20,3.0,Jack Draper[GBR],4,0.87,555,47.7%,0,0-0,-,0.0%,10,5-5,50.0%,95,44-51,46.3%,1:40,40.1,43.4
6,Novak Djokovic[SRB],2,1-1,50.0%,62.6%,61.6%,10,5.3%,3,1.6%,4.0%,60.5%,65.2%,58.7%,61.1%,84.6%,7.3,2.7,Novak Djokovic[SRB],2,36.2%,38.1%,11.0%,3.7%,28.9%,57.1%,24.0%,6.5,2.4,2.5,2.5,Novak Djokovic[SRB],2,37.5%,6,16,0.64,3.2,8.0,1.20,3.0,75.0%,12,16,0.62,3.2,8.0,0.80,2.0,Novak Djokovic[SRB],2,0.97,353,50.4%,1,0-1,0.0%,20.0%,5,3-2,60.0%,51,28-23,54.9%,2:29,59.6,50.7
7,Casper Ruud[NOR],3,3-0,100.0%,67.0%,68.3%,14,6.1%,11,4.8%,12.6%,62.2%,76.9%,50.6%,57.9%,89.5%,6.1,2.0,Casper Ruud[NOR],3,38.0%,38.3%,5.4%,2.9%,30.9%,50.0%,22.2%,6.7,2.6,6.0,6.7,Casper Ruud[NOR],3,32.0%,8,25,0.69,3.6,8.3,1.14,2.7,66.7%,8,12,0.32,1.7,4.0,0.57,1.3,Casper Ruud[NOR],3,1.15,472,52.1%,0,0-0,-,0.0%,7,6-1,85.7%,74,42-32,56.8%,1:55,49.3,43.9
8,Alex De Minaur[AUS],4,0-4,0.0%,57.1%,58.5%,8,2.3%,14,4.0%,9.2%,56.2%,65.1%,46.7%,51.4%,66.0%,6.9,3.0,Alex De Minaur[AUS],4,31.4%,31.8%,4.1%,1.4%,29.6%,35.2%,12.0%,5.8,1.8,2.5,4.0,Alex De Minaur[AUS],4,46.2%,6,13,0.26,1.2,3.3,0.55,1.5,54.1%,20,37,0.74,3.4,9.3,1.55,4.3,Alex De Minaur[AUS],4,0.73,637,45.4%,1,0-1,0.0%,9.1%,11,2-9,18.2%,100,39-61,39.0%,2:00,43.6,45.2
9,Lorenzo Musetti[ITA],6,3-3,50.0%,58.0%,57.9%,13,3.0%,9,2.0%,6.7%,69.3%,61.6%,49.6%,53.2%,65.2%,6.7,2.8,Lorenzo Musetti[ITA],6,37.1%,35.5%,2.3%,3.7%,27.8%,51.5%,22.7%,6.6,2.4,6.5,6.5,Lorenzo Musetti[ITA],6,39.5%,15,38,0.58,2.5,6.3,1.00,2.5,58.2%,32,55,0.83,3.7,9.2,1.53,3.8,Lorenzo Musetti[ITA],6,0.88,874,47.6%,2,1-1,50.0%,13.3%,15,7-8,46.7%,132,58-74,43.9%,1:55,45.9,47.3
10,Holger Rune[DEN],5,4-1,80.0%,65.2%,66.0%,9,2.5%,9,2.5%,7.0%,64.9%,70.9%,54.7%,58.8%,86.0%,6.4,2.2,Holger Rune[DEN],5,37.5%,38.1%,6.2%,2.9%,31.1%,46.2%,24.1%,5.9,2.2,6.0,5.6,Holger Rune[DEN],5,53.8%,14,26,0.45,2.2,5.2,1.17,2.8,68.0%,17,25,0.44,2.1,5.0,0.67,1.6,Holger Rune[DEN],5,1.08,706,51.8%,1,1-0,100.0%,8.3%,12,9-3,75.0%,115,63-52,54.8%,1:53,47.3,48.2
11,Daniil Medvedev[RUS],1,0-1,0.0%,36.5%,34.8%,3,5.8%,3,5.8%,13.0%,55.8%,44.8%,26.1%,30.0%,12.5%,6.5,4.1,Daniil Medvedev[RUS],1,43.5%,42.5%,6.5%,6.5%,41.7%,45.5%,37.5%,5.8,2.5,10.0,10.0,Daniil Medvedev[RUS],1,75.0%,3,4,0.50,2.0,4.0,1.50,3.0,41.7%,5,12,1.50,6.0,12.0,3.50,7.0,Daniil Medvedev[RUS],1,0.69,98,39.8%,0,0-0,-,0.0%,2,0-2,0.0%,16,4-12,25.0%,1:12,36.0,44.1
