Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],40,38-2,95.0%,71.3%,69.5%,341,11.3%,73,2.4%,6.0%,59.7%,79.4%,59.2%,63.0%,91.8%,6.0,1.7,1,Jannik Sinner[ITA],40,41.7%,42.7%,7.0%,3.4%,31.4%,57.0%,29.0%,6.8,2.8,21.0,34.3,1,Jannik Sinner[ITA],40,40.5%,142,351,0.72,3.3,8.8,1.35,3.6,73.9%,116,157,0.31,1.5,3.9,0.39,1.0,1,Jannik Sinner[ITA],40,1.45,6323,55.8%,18,16-2,88.9%,17.1%,105,92-13,87.6%,991,603-388,60.8%,2:01,46.1,45.9
2,Alexander Zverev[GER],43,32-11,74.4%,70.4%,68.7%,415,12.5%,107,3.2%,10.3%,68.6%,77.1%,55.6%,62.0%,89.7%,6.0,1.8,2,Alexander Zverev[GER],43,38.2%,39.3%,7.4%,3.0%,29.6%,53.1%,23.6%,6.6,2.5,30.0,54.9,2,Alexander Zverev[GER],43,39.2%,130,332,0.60,2.9,7.7,1.15,3.0,71.6%,144,201,0.36,1.8,4.7,0.50,1.3,2,Alexander Zverev[GER],43,1.29,6932,53.6%,25,13-12,52.0%,22.1%,113,79-34,69.9%,1106,629-477,56.9%,2:04,47.3,46.2
3,Carlos Alcaraz[ESP],41,31-10,75.6%,69.2%,68.9%,230,8.2%,93,3.3%,9.2%,63.8%,75.6%,57.9%,63.7%,87.4%,5.9,1.8,3,Carlos Alcaraz[ESP],41,40.9%,40.9%,5.7%,3.9%,33.4%,53.4%,28.7%,6.8,2.8,33.0,60.5,3,Carlos Alcaraz[ESP],41,40.4%,137,339,0.71,3.4,8.3,1.36,3.3,65.3%,113,173,0.36,1.7,4.2,0.59,1.5,3,Carlos Alcaraz[ESP],41,1.33,6040,54.0%,13,6-7,46.2%,12.9%,101,71-30,70.3%,955,555-400,58.1%,1:49,44.2,44.3
4,Taylor Fritz[USA],45,30-15,66.7%,70.0%,67.6%,453,12.9%,93,2.7%,7.3%,63.6%,78.3%,55.4%,59.8%,90.1%,6.0,1.8,4,Taylor Fritz[USA],45,35.5%,37.0%,10.3%,3.7%,26.0%,51.9%,19.8%,6.2,2.2,29.5,49.4,4,Taylor Fritz[USA],45,40.9%,113,276,0.48,2.4,6.1,0.97,2.5,69.1%,130,188,0.32,1.6,4.2,0.50,1.3,4,Taylor Fritz[USA],45,1.18,7068,52.6%,21,9-12,42.9%,18.1%,116,74-42,63.8%,1157,641-516,55.4%,1:54,44.3,43.6
5,Jack Draper[GBR],40,30-10,75.0%,66.8%,65.4%,353,11.2%,119,3.8%,9.7%,60.9%,76.0%,52.5%,58.1%,85.1%,6.2,2.1,5,Jack Draper[GBR],40,38.8%,39.8%,7.8%,3.5%,31.2%,51.0%,25.2%,6.5,2.5,27.0,58.6,5,Jack Draper[GBR],40,43.0%,129,300,0.59,2.9,7.5,1.23,3.2,64.5%,138,214,0.42,2.0,5.4,0.72,1.9,5,Jack Draper[GBR],40,1.17,6466,52.4%,13,7-6,53.8%,12.4%,105,70-35,66.7%,1020,562-458,55.1%,1:58,44.9,43.7
6,Novak Djokovic[SRB],27,20-7,74.1%,69.4%,68.5%,201,10.5%,67,3.5%,10.2%,65.4%,76.7%,55.7%,62.0%,89.4%,6.2,1.9,6,Novak Djokovic[SRB],27,39.4%,41.3%,10.0%,3.7%,30.7%,54.8%,26.2%,6.6,2.6,54.0,86.9,6,Novak Djokovic[SRB],27,39.5%,79,200,0.66,3.0,7.4,1.18,2.9,66.3%,65,98,0.32,1.5,3.6,0.49,1.2,6,Novak Djokovic[SRB],27,1.29,3907,54.1%,15,7-8,46.7%,22.4%,67,49-18,73.1%,612,356-256,58.2%,1:52,45.1,46.5
7,Casper Ruud[NOR],36,20-16,55.6%,65.7%,65.0%,208,8.2%,87,3.4%,10.5%,67.5%,72.1%,52.2%,58.4%,82.9%,6.2,2.1,7,Casper Ruud[NOR],36,35.4%,37.5%,11.2%,3.4%,27.3%,49.3%,17.6%,6.3,2.2,48.0,69.4,7,Casper Ruud[NOR],36,38.1%,72,189,0.46,2.0,5.3,0.77,2.0,61.7%,113,183,0.45,1.9,5.1,0.74,1.9,7,Casper Ruud[NOR],36,1.03,5122,50.4%,15,7-8,46.7%,16.0%,94,49-45,52.1%,819,412-407,50.3%,1:46,40.5,44.6
8,Alex De Minaur[AUS],43,28-15,65.1%,65.0%,65.6%,198,6.3%,131,4.2%,8.9%,53.4%,74.2%,54.5%,59.9%,82.0%,6.1,2.1,8,Alex De Minaur[AUS],43,40.1%,40.8%,6.4%,3.3%,30.9%,53.0%,27.5%,6.5,2.6,43.5,52.4,8,Alex De Minaur[AUS],43,46.2%,140,303,0.60,2.7,7.0,1.26,3.3,59.5%,135,227,0.44,2.0,5.3,0.83,2.1,8,Alex De Minaur[AUS],43,1.15,6433,52.3%,9,5-4,55.6%,8.1%,111,70-41,63.1%,1021,560-461,54.8%,1:53,43.9,45.4
9,Lorenzo Musetti[ITA],27,15-12,55.6%,63.1%,63.3%,121,5.0%,79,3.3%,9.0%,64.0%,69.3%,51.9%,57.1%,77.0%,6.4,2.4,9,Lorenzo Musetti[ITA],27,37.5%,37.6%,7.9%,4.5%,28.0%,53.3%,21.8%,6.7,2.5,51.0,63.7,9,Lorenzo Musetti[ITA],27,33.6%,82,244,0.65,3.2,9.0,1.06,3.0,56.9%,115,202,0.53,2.6,7.5,1.13,3.2,9,Lorenzo Musetti[ITA],27,1.01,4956,50.0%,17,10-7,58.8%,22.1%,77,39-38,50.6%,755,373-382,49.4%,2:17,48.1,44.8
10,Holger Rune[DEN],44,29-15,65.9%,66.0%,66.0%,231,7.3%,121,3.8%,9.7%,60.7%,73.2%,54.7%,60.6%,83.2%,6.2,2.1,10,Holger Rune[DEN],44,36.0%,37.4%,9.5%,3.4%,27.5%,49.4%,20.7%,6.3,2.3,42.0,67.9,10,Holger Rune[DEN],44,40.6%,106,261,0.51,2.4,5.9,0.95,2.4,57.4%,116,202,0.39,1.8,4.6,0.77,2.0,10,Holger Rune[DEN],44,1.06,6397,50.9%,15,7-8,46.7%,13.5%,111,65-46,58.6%,1026,533-493,51.9%,1:47,42.2,44.0
