Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],31,29-2,93.5%,71.6%,69.1%,281,12.8%,48,2.2%,5.8%,62.0%,79.4%,58.8%,62.3%,93.1%,6.1,1.7,1,Jannik Sinner[ITA],31,39.0%,41.2%,8.3%,2.1%,28.9%,55.3%,23.4%,6.8,2.7,26.0,29.3,1,Jannik Sinner[ITA],31,35.7%,82,230,0.66,3.2,7.4,1.14,2.6,76.0%,79,104,0.29,1.4,3.4,0.35,0.8,1,Jannik Sinner[ITA],31,1.37,4592,54.6%,18,13-5,72.2%,25.0%,72,60-12,83.3%,712,418-294,58.7%,1:50,47.4,44.6
2,Alexander Zverev[GER],58,42-16,72.4%,70.0%,68.8%,437,11.1%,126,3.2%,10.3%,68.9%,76.3%,56.1%,62.5%,88.9%,6.0,1.8,2,Alexander Zverev[GER],58,38.2%,38.9%,6.2%,2.8%,30.2%,52.3%,22.7%,6.7,2.5,37.0,62.6,2,Alexander Zverev[GER],58,38.6%,149,386,0.59,2.8,6.7,1.10,2.6,63.1%,125,198,0.30,1.5,3.4,0.54,1.3,2,Alexander Zverev[GER],58,1.27,8297,53.2%,30,17-13,56.7%,22.1%,136,94-42,69.1%,1311,732-579,55.8%,1:47,45.6,44.8
3,Carlos Alcaraz[ESP],52,41-11,78.8%,68.3%,68.2%,219,6.5%,99,3.0%,8.4%,64.7%,74.2%,57.5%,62.7%,87.9%,6.1,1.9,3,Carlos Alcaraz[ESP],52,41.4%,41.1%,5.3%,4.2%,33.9%,54.3%,29.9%,6.8,2.8,27.5,55.8,3,Carlos Alcaraz[ESP],52,41.3%,164,397,0.72,3.4,7.6,1.40,3.2,70.1%,157,224,0.41,1.9,4.3,0.57,1.3,3,Carlos Alcaraz[ESP],52,1.31,7097,54.1%,20,10-10,50.0%,17.1%,117,86-31,73.5%,1100,649-451,59.0%,1:30,39.9,39.5
4,Taylor Fritz[USA],49,32-17,65.3%,70.2%,67.2%,487,13.9%,81,2.3%,6.7%,65.5%,78.6%,54.3%,58.2%,90.1%,6.1,1.8,4,Taylor Fritz[USA],49,33.7%,35.5%,10.5%,3.1%,26.2%,48.4%,16.7%,6.2,2.1,36.0,54.4,4,Taylor Fritz[USA],49,37.3%,94,252,0.45,2.3,5.1,0.85,1.9,72.3%,149,206,0.36,1.9,4.2,0.51,1.2,4,Taylor Fritz[USA],49,1.13,6991,52.0%,24,12-12,50.0%,21.6%,111,69-42,62.2%,1140,614-526,53.9%,1:36,42.4,40.4
5,Jack Draper[GBR],49,36-13,73.5%,69.4%,68.3%,388,11.7%,126,3.8%,10.2%,62.9%,78.6%,53.9%,60.0%,86.7%,5.9,1.8,5,Jack Draper[GBR],49,37.6%,38.9%,8.0%,3.1%,30.5%,49.4%,22.1%,6.6,2.5,28.0,64.1,5,Jack Draper[GBR],49,38.5%,125,325,0.58,2.9,6.6,1.10,2.6,60.8%,115,189,0.34,1.7,3.9,0.65,1.5,5,Jack Draper[GBR],49,1.23,7049,52.6%,19,14-5,73.7%,16.7%,114,77-37,67.5%,1123,609-514,54.2%,1:38,42.2,40.9
6,Novak Djokovic[SRB],29,21-8,72.4%,69.9%,68.4%,151,8.8%,33,1.9%,6.3%,69.3%,76.4%,55.0%,58.7%,87.1%,6.1,1.8,6,Novak Djokovic[SRB],29,39.7%,41.2%,8.2%,3.1%,33.1%,52.1%,27.5%,6.6,2.6,44.0,81.1,6,Novak Djokovic[SRB],29,42.0%,76,181,0.66,3.0,6.2,1.25,2.6,66.4%,71,107,0.38,1.8,3.7,0.59,1.2,6,Novak Djokovic[SRB],29,1.32,3534,54.3%,15,9-6,60.0%,24.6%,61,44-17,72.1%,556,320-236,57.6%,1:12,34.2,35.4
7,Casper Ruud[NOR],50,32-18,64.0%,65.9%,65.5%,237,7.1%,102,3.1%,9.3%,67.1%,71.6%,54.3%,59.9%,84.3%,6.4,2.2,7,Casper Ruud[NOR],50,36.0%,37.3%,8.1%,2.8%,28.8%,48.8%,19.9%,6.4,2.3,44.5,58.3,7,Casper Ruud[NOR],50,39.5%,102,258,0.50,2.2,5.2,0.88,2.0,65.1%,153,235,0.45,2.0,4.7,0.71,1.6,7,Casper Ruud[NOR],50,1.06,6619,51.0%,14,7-7,50.0%,12.1%,116,69-47,59.5%,1035,542-493,52.4%,1:29,38.2,40.2
8,Alex De Minaur[AUS],48,31-17,64.6%,65.3%,65.9%,156,5.1%,111,3.6%,8.2%,55.6%,74.8%,53.4%,58.2%,82.0%,6.1,2.1,8,Alex De Minaur[AUS],48,40.3%,41.2%,6.4%,3.1%,30.8%,54.3%,29.0%,6.4,2.6,31.0,45.0,8,Alex De Minaur[AUS],48,48.8%,145,297,0.59,2.7,6.2,1.32,3.0,58.7%,128,218,0.44,2.0,4.5,0.82,1.9,8,Alex De Minaur[AUS],48,1.16,6242,52.6%,8,4-4,50.0%,7.3%,110,70-40,63.6%,1001,556-445,55.5%,1:38,42.7,45.2
9,Lorenzo Musetti[ITA],52,36-16,69.2%,63.9%,63.7%,163,4.2%,84,2.2%,6.6%,67.2%,69.6%,52.2%,55.9%,79.5%,6.4,2.3,9,Lorenzo Musetti[ITA],52,38.6%,38.8%,6.1%,3.5%,30.1%,53.5%,24.0%,6.7,2.6,39.5,48.2,9,Lorenzo Musetti[ITA],52,36.5%,143,392,0.66,3.1,7.5,1.12,2.8,58.4%,173,296,0.49,2.3,5.7,0.96,2.4,9,Lorenzo Musetti[ITA],52,1.07,7866,51.0%,21,12-9,57.1%,16.4%,128,77-51,60.2%,1197,620-577,51.8%,1:45,42.6,41.6
10,Holger Rune[DEN],51,33-18,64.7%,66.0%,66.0%,222,6.8%,113,3.5%,9.1%,61.9%,72.8%,55.0%,60.5%,84.2%,6.2,2.1,10,Holger Rune[DEN],51,36.5%,37.4%,8.2%,3.4%,28.6%,48.9%,22.2%,6.2,2.3,42.0,68.7,10,Holger Rune[DEN],51,42.9%,117,273,0.52,2.4,5.4,1.02,2.3,59.1%,120,203,0.39,1.8,4.0,0.72,1.6,10,Holger Rune[DEN],51,1.07,6534,51.2%,15,6-9,40.0%,13.0%,115,70-45,60.9%,1051,559-492,53.2%,1:34,41.5,43.8
