Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],9,7-2,77.8%,71.1%,69.7%,81,10.5%,20,2.6%,6.5%,59.8%,81.8%,55.2%,59.0%,89.3%,5.9,1.7,1,Jannik Sinner[ITA],9,39.9%,40.0%,6.3%,4.0%,29.2%,55.7%,25.2%,7.0,2.8,8.0,13.9,1,Jannik Sinner[ITA],9,34.7%,33,95,0.73,3.4,10.6,1.18,3.7,63.2%,24,38,0.29,1.4,4.2,0.50,1.6,1,Jannik Sinner[ITA],9,1.38,1690,54.1%,6,4-2,66.7%,21.4%,28,20-8,71.4%,262,150-112,57.3%,2:02,39.2,39.0
2,Alexander Zverev[GER],13,7-6,53.8%,67.5%,68.1%,93,8.1%,53,4.6%,14.6%,68.5%,74.6%,52.1%,61.0%,86.9%,6.3,2.0,2,Alexander Zverev[GER],13,35.8%,36.0%,5.8%,2.9%,28.7%,47.5%,18.5%,6.3,2.3,17.0,25.5,2,Alexander Zverev[GER],13,41.0%,34,83,0.45,2.2,6.4,0.89,2.6,67.6%,50,74,0.40,1.9,5.7,0.63,1.8,2,Alexander Zverev[GER],13,1.10,2308,51.6%,11,5-6,45.5%,28.9%,38,21-17,55.3%,367,193-174,52.6%,2:07,43.5,42.9
3,Carlos Alcaraz[ESP],11,8-3,72.7%,66.4%,66.6%,58,6.6%,32,3.7%,11.4%,67.8%,72.0%,54.4%,61.4%,82.1%,6.0,2.0,3,Carlos Alcaraz[ESP],11,41.9%,41.2%,2.8%,3.2%,34.9%,53.7%,29.2%,7.1,3.0,15.0,19.9,3,Carlos Alcaraz[ESP],11,37.8%,42,111,0.77,3.8,10.1,1.45,3.8,61.2%,41,67,0.46,2.3,6.1,0.90,2.4,3,Carlos Alcaraz[ESP],11,1.25,1893,53.2%,4,3-1,75.0%,13.8%,29,20-9,69.0%,289,161-128,55.7%,1:46,40.1,36.8
4,Taylor Fritz[USA],8,5-3,62.5%,70.3%,67.6%,96,14.0%,19,2.8%,8.3%,66.8%,76.9%,57.0%,62.2%,86.2%,5.9,1.8,4,Taylor Fritz[USA],8,34.2%,36.2%,8.8%,1.8%,26.6%,51.7%,14.9%,6.8,2.3,44.0,47.1,4,Taylor Fritz[USA],8,27.4%,17,62,0.54,2.8,7.8,0.77,2.1,62.8%,27,43,0.37,2.0,5.4,0.73,2.0,4,Taylor Fritz[USA],8,1.15,1461,51.1%,8,4-4,50.0%,36.4%,22,13-9,59.1%,230,117-113,50.9%,2:14,48.5,43.9
5,Jack Draper[GBR],9,6-3,66.7%,69.5%,67.7%,79,12.3%,21,3.3%,9.1%,64.0%,78.1%,54.1%,59.5%,86.4%,5.8,1.8,5,Jack Draper[GBR],9,38.9%,40.6%,8.1%,2.6%,31.6%,50.2%,21.1%,6.8,2.6,18.0,22.6,5,Jack Draper[GBR],9,31.9%,23,72,0.66,3.1,8.0,1.00,2.6,59.5%,22,37,0.34,1.6,4.1,0.65,1.7,5,Jack Draper[GBR],9,1.27,1383,53.1%,1,1-0,100.0%,4.3%,23,14-9,60.9%,219,118-101,53.9%,1:48,42.1,42.0
6,Novak Djokovic[SRB],6,5-1,83.3%,68.3%,66.4%,41,8.5%,7,1.4%,4.7%,69.4%,73.4%,56.8%,59.6%,88.2%,6.4,2.0,6,Novak Djokovic[SRB],6,37.5%,39.7%,11.9%,4.2%,28.9%,55.1%,25.7%,6.5,2.4,18.0,55.0,6,Novak Djokovic[SRB],6,47.5%,19,40,0.54,2.7,6.7,1.27,3.2,71.0%,22,31,0.41,2.1,5.2,0.60,1.5,6,Novak Djokovic[SRB],6,1.18,963,53.0%,4,2-2,50.0%,26.7%,15,11-4,73.3%,150,86-64,57.3%,1:43,41.0,38.3
7,Casper Ruud[NOR],6,3-3,50.0%,65.4%,64.9%,25,5.7%,10,2.3%,6.6%,65.8%,68.7%,58.9%,63.1%,82.9%,6.3,2.2,7,Casper Ruud[NOR],6,34.5%,34.9%,6.9%,3.1%,26.7%,50.3%,14.5%,6.6,2.3,19.0,23.9,7,Casper Ruud[NOR],6,35.7%,10,28,0.41,2.0,4.7,0.71,1.7,62.5%,20,32,0.46,2.3,5.3,0.86,2.0,7,Casper Ruud[NOR],6,1.00,894,49.8%,2,1-1,50.0%,14.3%,14,7-7,50.0%,139,68-71,48.9%,1:25,36.2,34.0
8,Alex De Minaur[AUS],11,4-7,36.4%,61.8%,62.7%,36,4.1%,34,3.8%,8.4%,54.1%,70.3%,51.7%,56.5%,76.8%,6.4,2.4,8,Alex De Minaur[AUS],11,36.8%,38.1%,7.1%,2.4%,28.0%,52.4%,21.0%,6.2,2.3,15.5,41.1,8,Alex De Minaur[AUS],11,49.2%,29,59,0.43,2.0,5.4,1.00,2.6,60.5%,49,81,0.59,2.8,7.4,1.10,2.9,8,Alex De Minaur[AUS],11,0.96,1734,49.5%,3,0-3,0.0%,10.3%,29,11-18,37.9%,276,135-141,48.9%,1:44,39.3,39.4
9,Lorenzo Musetti[ITA],10,9-1,90.0%,65.8%,65.3%,40,5.0%,15,1.9%,5.5%,65.8%,72.3%,53.3%,56.4%,84.4%,6.6,2.2,9,Lorenzo Musetti[ITA],10,39.9%,40.1%,5.7%,3.5%,33.9%,51.1%,28.2%,6.4,2.5,41.0,44.2,9,Lorenzo Musetti[ITA],10,43.2%,35,81,0.65,2.8,8.1,1.21,3.5,70.3%,45,64,0.52,2.2,6.4,0.66,1.9,9,Lorenzo Musetti[ITA],10,1.17,1593,53.0%,3,2-1,66.7%,10.3%,29,20-9,69.0%,246,138-108,56.1%,1:60,41.3,45.2
10,Holger Rune[DEN],7,6-1,85.7%,66.9%,66.7%,26,5.6%,12,2.6%,6.9%,62.8%,74.8%,53.4%,57.4%,84.8%,5.9,2.0,10,Holger Rune[DEN],7,40.7%,40.3%,4.3%,3.7%,30.2%,54.8%,30.8%,6.2,2.5,28.0,53.1,10,Holger Rune[DEN],7,44.4%,24,54,0.69,3.2,7.7,1.41,3.4,57.1%,16,28,0.35,1.6,4.0,0.71,1.7,10,Holger Rune[DEN],7,1.23,954,53.6%,0,0-0,-,0.0%,17,12-5,70.6%,157,91-66,58.0%,1:43,42.2,45.2
11,Daniil Medvedev[RUS],9,4-5,44.4%,63.2%,63.8%,57,7.4%,40,5.2%,13.9%,62.5%,71.7%,49.0%,56.9%,80.5%,6.8,2.5,11,Daniil Medvedev[RUS],9,34.3%,34.4%,6.7%,3.4%,25.7%,48.5%,16.7%,6.3,2.1,21.0,20.8,11,Daniil Medvedev[RUS],9,30.2%,19,63,0.55,2.6,7.0,0.79,2.1,67.2%,45,67,0.59,2.8,7.4,0.92,2.4,11,Daniil Medvedev[RUS],9,0.93,1482,49.3%,4,2-2,50.0%,16.7%,24,11-13,45.8%,227,110-117,48.5%,2:00,45.0,43.8
12,Tommy Paul[USA],9,5-4,55.6%,64.6%,64.1%,46,6.3%,20,2.7%,6.8%,60.1%,72.4%,52.7%,56.6%,80.4%,6.5,2.3,12,Tommy Paul[USA],9,35.6%,36.2%,6.1%,2.6%,29.9%,46.6%,21.2%,6.5,2.3,31.0,60.4,12,Tommy Paul[USA],9,40.0%,24,60,0.53,2.6,6.7,1.04,2.7,64.5%,40,62,0.55,2.7,6.9,0.96,2.4,12,Tommy Paul[USA],9,1.00,1464,50.1%,6,3-3,50.0%,26.1%,23,12-11,52.2%,225,114-111,50.7%,1:45,41.1,38.8
13,Ben Shelton[USA],8,4-4,50.0%,65.5%,64.4%,76,8.9%,27,3.2%,10.0%,68.4%,70.9%,53.7%,59.7%,87.7%,7.0,2.4,13,Ben Shelton[USA],8,31.0%,29.8%,5.5%,4.1%,23.4%,46.1%,14.2%,6.3,2.0,35.5,72.4,13,Ben Shelton[USA],8,37.8%,17,45,0.38,2.1,5.6,0.81,2.1,78.9%,56,71,0.58,3.4,8.9,0.71,1.9,13,Ben Shelton[USA],8,0.90,1613,49.3%,7,3-4,42.9%,33.3%,21,11-10,52.4%,242,124-118,51.2%,2:09,49.0,38.3
14,Arthur Fils[FRA],9,4-5,44.4%,65.7%,67.9%,32,5.0%,36,5.6%,14.0%,59.9%,77.7%,47.7%,55.4%,78.8%,6.2,2.1,14,Arthur Fils[FRA],9,35.6%,36.7%,8.1%,3.0%,27.9%,50.0%,19.8%,6.6,2.3,16.0,21.7,14,Arthur Fils[FRA],9,31.8%,21,66,0.62,3.0,7.3,0.95,2.3,55.1%,27,49,0.47,2.2,5.4,1.00,2.4,14,Arthur Fils[FRA],9,1.04,1344,50.0%,6,3-3,50.0%,27.3%,22,11-11,50.0%,210,103-107,49.0%,1:48,44.0,43.3
