Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],7,6-1,85.7%,72.4%,70.9%,63,11.2%,14,2.5%,6.1%,59.1%,81.0%,60.0%,63.9%,94.4%,6.2,1.7,1,Jannik Sinner[ITA],7,35.7%,38.1%,9.7%,2.0%,27.8%,50.0%,16.7%,6.7,2.4,5.0,8.7,1,Jannik Sinner[ITA],7,31.9%,15,47,0.52,2.8,6.7,0.88,2.1,81.5%,22,27,0.30,1.6,3.9,0.29,0.7,1,Jannik Sinner[ITA],7,1.29,1162,53.4%,7,6-1,85.7%,41.2%,17,15-2,88.2%,180,100-80,55.6%,2:06,52.1,45.7
2,Alexander Zverev[GER],5,2-3,40.0%,63.9%,63.0%,36,8.5%,15,3.5%,11.7%,69.8%,70.6%,48.4%,54.9%,82.6%,6.1,2.2,2,Alexander Zverev[GER],5,38.2%,37.2%,3.0%,3.4%,29.8%,51.5%,20.3%,7.3,2.8,15.0,13.0,2,Alexander Zverev[GER],5,25.5%,14,55,0.80,3.7,11.0,0.93,2.8,60.0%,18,30,0.43,2.0,6.0,0.80,2.4,2,Alexander Zverev[GER],5,1.06,927,49.9%,2,0-2,0.0%,13.3%,15,7-8,46.7%,138,71-67,51.4%,1:44,34.7,33.7
3,Carlos Alcaraz[ESP],7,5-2,71.4%,64.0%,64.7%,21,3.1%,19,2.8%,7.7%,63.8%,70.5%,52.4%,56.8%,83.8%,6.9,2.5,3,Carlos Alcaraz[ESP],7,39.8%,39.4%,4.0%,3.3%,33.3%,52.9%,28.0%,6.7,2.7,4.0,6.6,3,Carlos Alcaraz[ESP],7,37.8%,28,74,0.74,3.5,10.6,1.33,4.0,71.9%,41,57,0.58,2.7,8.1,0.76,2.3,3,Carlos Alcaraz[ESP],7,1.10,1360,52.0%,6,2-4,33.3%,28.6%,21,12-9,57.1%,199,111-88,55.8%,1:36,31.9,29.5
4,Taylor Fritz[USA],4,2-2,50.0%,69.0%,66.5%,40,13.3%,9,3.0%,8.7%,65.3%,76.5%,54.8%,60.0%,83.0%,5.7,1.8,4,Taylor Fritz[USA],4,29.3%,32.1%,13.9%,2.4%,18.6%,46.4%,9.8%,5.6,1.6,8.5,28.0,4,Taylor Fritz[USA],4,33.3%,5,15,0.29,1.5,3.8,0.50,1.3,52.6%,10,19,0.36,1.9,4.8,0.90,2.3,4,Taylor Fritz[USA],4,0.94,587,49.6%,1,1-0,100.0%,10.0%,10,4-6,40.0%,104,49-55,47.1%,1:47,42.8,43.7
5,Jack Draper[GBR],5,3-2,60.0%,68.2%,65.6%,46,12.1%,9,2.4%,6.6%,64.0%,78.3%,50.4%,53.9%,85.9%,6.0,1.9,5,Jack Draper[GBR],5,34.3%,35.4%,10.1%,3.8%,24.7%,52.2%,19.4%,5.9,2.0,15.0,31.4,5,Jack Draper[GBR],5,46.4%,13,28,0.42,2.2,5.6,1.00,2.6,65.4%,17,26,0.41,2.0,5.2,0.69,1.8,5,Jack Draper[GBR],5,1.08,778,50.9%,1,1-0,100.0%,7.7%,13,8-5,61.5%,131,68-63,51.9%,1:52,43.2,43.3
6,Novak Djokovic[SRB],4,1-3,25.0%,66.9%,66.2%,20,6.1%,7,2.1%,7.6%,71.8%,73.9%,48.9%,52.9%,85.4%,6.8,2.3,6,Novak Djokovic[SRB],4,31.4%,32.5%,8.3%,2.4%,22.9%,46.0%,4.1%,6.9,2.2,3.0,15.3,6,Novak Djokovic[SRB],4,20.0%,2,10,0.20,1.1,2.5,0.22,0.5,74.1%,20,27,0.56,3.0,6.8,0.78,1.8,6,Novak Djokovic[SRB],4,0.95,664,48.8%,6,2-4,33.3%,66.7%,9,2-7,22.2%,97,43-54,44.3%,1:32,40.8,33.2
7,Casper Ruud[NOR],3,2-1,66.7%,63.8%,63.5%,16,6.6%,8,3.3%,9.6%,65.8%,71.3%,49.4%,54.7%,86.5%,6.6,2.4,7,Casper Ruud[NOR],3,36.6%,38.0%,8.9%,3.3%,30.7%,46.2%,16.7%,6.8,2.5,44.0,34.7,7,Casper Ruud[NOR],3,40.0%,6,15,0.42,2.1,5.0,0.86,2.0,61.5%,8,13,0.35,1.9,4.3,0.71,1.7,7,Casper Ruud[NOR],3,1.01,489,50.1%,1,0-1,0.0%,14.3%,7,4-3,57.1%,73,38-35,52.1%,1:59,50.9,43.7
8,Alex De Minaur[AUS],2,1-1,50.0%,60.7%,63.2%,3,2.2%,7,5.2%,12.3%,57.8%,74.4%,42.1%,48.0%,73.9%,5.9,2.3,8,Alex De Minaur[AUS],2,43.2%,42.8%,3.4%,3.4%,38.9%,50.9%,31.8%,6.7,2.9,14.5,14.5,8,Alex De Minaur[AUS],2,36.8%,7,19,0.86,3.8,9.5,1.40,3.5,57.1%,8,14,0.61,2.8,7.0,1.20,3.0,8,Alex De Minaur[AUS],2,1.10,283,51.6%,0,0-0,-,0.0%,5,3-2,60.0%,45,24-21,53.3%,1:44,41.6,44.1
9,Lorenzo Musetti[ITA],4,0-4,0.0%,58.3%,57.2%,10,3.5%,2,0.7%,2.2%,68.6%,60.8%,52.8%,54.0%,65.9%,6.4,2.7,9,Lorenzo Musetti[ITA],4,36.2%,36.3%,4.3%,2.3%,30.9%,49.0%,17.4%,7.5,2.7,25.0,30.0,9,Lorenzo Musetti[ITA],4,30.8%,8,26,0.57,2.6,6.5,0.80,2.0,31.8%,7,22,0.50,2.2,5.5,1.50,3.8,9,Lorenzo Musetti[ITA],4,0.87,628,46.2%,3,0-3,0.0%,30.0%,10,2-8,20.0%,90,37-53,41.1%,1:59,47.4,45.3
10,Holger Rune[DEN],2,1-1,50.0%,59.7%,60.8%,1,0.8%,3,2.4%,7.9%,69.4%,65.1%,47.4%,51.4%,72.2%,6.9,2.8,10,Holger Rune[DEN],2,33.0%,37.0%,10.7%,0.0%,24.2%,48.6%,16.7%,5.7,1.9,8.0,8.0,10,Holger Rune[DEN],2,60.0%,3,5,0.28,1.3,2.5,0.75,1.5,58.3%,7,12,0.67,3.0,6.0,1.25,2.5,10,Holger Rune[DEN],2,0.82,227,47.6%,1,1-0,100.0%,25.0%,4,2-2,50.0%,36,16-20,44.4%,1:25,42.3,44.7
