Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],5,5-0,100.0%,71.3%,70.1%,47,11.1%,13,3.1%,9.2%,66.6%,80.6%,52.8%,58.1%,89.3%,5.7,1.6,1,Jannik Sinner[ITA],5,43.9%,45.9%,9.3%,4.2%,32.0%,63.6%,31.1%,7.1,3.1,93.0,99.6,1,Jannik Sinner[ITA],5,41.8%,23,55,0.74,3.4,11.0,1.44,4.6,46.7%,7,15,0.20,0.9,3.0,0.50,1.6,1,Jannik Sinner[ITA],5,1.53,954,56.1%,3,3-0,100.0%,18.8%,16,14-2,87.5%,149,90-59,60.4%,1:53,35.3,35.5
2,Alexander Zverev[GER],9,8-1,88.9%,73.3%,71.1%,82,13.8%,15,2.5%,8.2%,69.1%,78.9%,60.9%,66.3%,95.2%,5.7,1.5,2,Alexander Zverev[GER],9,44.6%,44.4%,4.4%,3.9%,36.9%,57.9%,37.5%,7.2,3.2,72.0,70.7,2,Alexander Zverev[GER],9,43.3%,39,90,0.87,3.9,10.0,1.70,4.3,78.3%,18,23,0.22,1.0,2.6,0.22,0.6,2,Alexander Zverev[GER],9,1.67,1341,57.3%,4,2-2,50.0%,17.4%,23,21-2,91.3%,208,138-70,66.3%,1:27,34.0,34.9
3,Carlos Alcaraz[ESP],8,6-2,75.0%,67.8%,66.5%,52,9.3%,15,2.7%,7.2%,62.6%,73.1%,58.9%,63.4%,82.7%,5.7,1.8,3,Carlos Alcaraz[ESP],8,44.3%,43.0%,2.6%,4.2%,37.1%,55.6%,35.7%,6.3,2.8,67.0,102.9,3,Carlos Alcaraz[ESP],8,47.3%,35,74,0.76,3.4,9.3,1.59,4.4,54.1%,20,37,0.38,1.7,4.6,0.77,2.1,3,Carlos Alcaraz[ESP],8,1.37,1178,55.4%,1,1-0,100.0%,4.5%,22,16-6,72.7%,196,116-80,59.2%,1:16,27.7,31.0
4,Taylor Fritz[USA],11,10-1,90.9%,74.6%,72.6%,102,12.9%,16,2.0%,5.3%,62.1%,82.3%,62.0%,65.5%,95.1%,5.6,1.4,4,Taylor Fritz[USA],11,38.0%,39.7%,9.2%,3.3%,27.5%,54.8%,23.9%,6.4,2.4,61.0,85.8,4,Taylor Fritz[USA],11,43.2%,32,74,0.55,2.6,6.7,1.10,2.9,77.4%,24,31,0.22,1.1,2.8,0.24,0.6,4,Taylor Fritz[USA],11,1.50,1650,55.6%,5,4-1,80.0%,17.2%,29,25-4,86.2%,276,167-109,60.5%,1:27,32.8,34.6
5,Jack Draper[GBR],10,7-3,70.0%,67.8%,67.7%,85,10.3%,40,4.9%,12.5%,60.9%,77.0%,53.3%,60.9%,87.8%,6.3,2.0,5,Jack Draper[GBR],10,36.3%,37.3%,8.0%,3.1%,27.7%,52.1%,24.0%,6.2,2.2,59.0,107.5,5,Jack Draper[GBR],10,52.5%,31,59,0.46,2.3,5.9,1.19,3.1,69.2%,36,52,0.40,2.0,5.2,0.62,1.6,5,Jack Draper[GBR],10,1.13,1618,52.3%,6,1-5,16.7%,23.1%,26,16-10,61.5%,260,146-114,56.2%,1:53,43.5,41.9
6,Novak Djokovic[SRB],9,7-2,77.8%,68.2%,67.7%,60,8.8%,24,3.5%,10.1%,65.1%,76.0%,53.6%,59.6%,84.8%,6.1,1.9,6,Novak Djokovic[SRB],9,43.1%,45.1%,8.3%,3.1%,36.6%,55.0%,32.1%,6.5,2.8,85.5,104.0,6,Novak Djokovic[SRB],9,46.8%,36,77,0.69,3.1,8.6,1.44,4.0,59.5%,25,42,0.38,1.7,4.7,0.68,1.9,6,Novak Djokovic[SRB],9,1.35,1410,55.2%,4,3-1,75.0%,16.0%,25,19-6,76.0%,224,131-93,58.5%,1:41,36.5,38.8
7,Casper Ruud[NOR],9,5-4,55.6%,64.3%,63.4%,67,7.6%,26,3.0%,8.5%,65.2%,71.7%,50.5%,55.2%,79.9%,6.3,2.3,7,Casper Ruud[NOR],9,36.8%,37.0%,7.0%,3.8%,29.5%,48.5%,18.0%,6.6,2.4,48.0,63.6,7,Casper Ruud[NOR],9,34.2%,25,73,0.53,2.5,8.1,0.86,2.8,55.6%,35,63,0.45,2.2,7.0,0.97,3.1,7,Casper Ruud[NOR],9,1.03,1799,50.2%,4,3-1,75.0%,13.8%,29,15-14,51.7%,278,136-142,48.9%,1:48,33.5,32.4
8,Alex De Minaur[AUS],8,8-0,100.0%,73.2%,73.4%,35,6.9%,14,2.8%,6.4%,56.6%,75.3%,70.5%,75.2%,90.4%,5.4,1.4,8,Alex De Minaur[AUS],8,47.2%,45.4%,4.2%,6.8%,36.3%,60.6%,43.0%,6.7,3.2,63.5,75.1,8,Alex De Minaur[AUS],8,46.0%,40,87,0.94,4.4,10.9,2.00,5.0,62.5%,15,24,0.26,1.2,3.0,0.45,1.1,8,Alex De Minaur[AUS],8,1.76,1128,58.9%,1,1-0,100.0%,5.0%,20,20-0,100.0%,187,125-62,66.8%,1:27,34.7,36.9
9,Lorenzo Musetti[ITA],12,10-2,83.3%,66.5%,66.7%,62,5.3%,35,3.0%,9.1%,67.1%,72.5%,54.1%,59.5%,83.1%,6.2,2.1,9,Lorenzo Musetti[ITA],12,39.6%,38.9%,6.5%,5.3%,30.3%,54.0%,23.2%,6.8,2.7,52.5,49.3,9,Lorenzo Musetti[ITA],12,35.8%,43,120,0.65,3.2,10.0,1.16,3.6,54.9%,39,71,0.38,1.9,5.9,0.86,2.7,9,Lorenzo Musetti[ITA],12,1.18,2434,52.5%,8,6-2,75.0%,21.6%,37,25-12,67.6%,374,200-174,53.5%,2:12,42.7,39.0
10,Holger Rune[DEN],11,8-3,72.7%,67.2%,68.1%,56,6.3%,37,4.2%,10.4%,59.5%,73.7%,57.7%,64.4%,84.8%,6.1,2.0,10,Holger Rune[DEN],11,36.4%,38.0%,9.8%,3.5%,30.2%,46.8%,20.7%,6.6,2.4,44.0,57.2,10,Holger Rune[DEN],11,35.7%,30,84,0.58,2.6,7.6,0.94,2.7,60.7%,34,56,0.39,1.8,5.1,0.69,2.0,10,Holger Rune[DEN],11,1.11,1835,51.2%,4,3-1,75.0%,12.5%,32,20-12,62.5%,290,153-137,52.8%,1:39,34.1,35.7
11,Daniil Medvedev[RUS],9,7-2,77.8%,62.1%,61.9%,65,8.7%,38,5.1%,11.9%,57.4%,72.9%,47.5%,53.9%,75.0%,6.3,2.4,11,Daniil Medvedev[RUS],9,46.1%,46.0%,2.1%,1.8%,39.4%,58.5%,41.5%,7.1,3.3,71.0,72.2,11,Daniil Medvedev[RUS],9,43.6%,51,117,0.95,4.7,13.0,2.04,5.7,50.8%,31,61,0.51,2.4,6.8,1.20,3.3,11,Daniil Medvedev[RUS],9,1.21,1628,53.4%,6,3-3,50.0%,24.0%,25,18-7,72.0%,243,141-102,58.0%,2:00,43.3,39.9
12,Tommy Paul[USA],12,10-2,83.3%,68.5%,66.7%,89,9.5%,19,2.0%,5.4%,62.4%,75.5%,56.9%,60.2%,85.9%,6.0,1.9,12,Tommy Paul[USA],12,41.9%,41.6%,5.3%,4.2%,35.9%,51.0%,32.0%,6.7,2.8,78.0,75.9,12,Tommy Paul[USA],12,45.4%,49,108,0.71,3.3,9.0,1.48,4.1,63.9%,39,61,0.39,1.8,5.1,0.67,1.8,12,Tommy Paul[USA],12,1.33,1962,54.6%,4,3-1,75.0%,12.1%,33,25-8,75.8%,309,183-126,59.2%,1:36,34.9,35.3
13,Ben Shelton[USA],12,10-2,83.3%,72.0%,71.1%,122,11.4%,36,3.4%,10.3%,67.3%,78.6%,58.3%,65.0%,92.0%,6.1,1.7,13,Ben Shelton[USA],12,34.4%,34.9%,6.6%,2.8%,28.2%,47.1%,17.4%,6.5,2.2,93.5,134.0,13,Ben Shelton[USA],12,40.5%,30,74,0.43,2.2,6.2,0.88,2.5,72.5%,37,51,0.29,1.5,4.3,0.41,1.2,13,Ben Shelton[USA],12,1.23,2180,52.8%,13,8-5,61.5%,38.2%,34,25-9,73.5%,348,192-156,55.2%,1:57,41.1,38.5
