Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],4,4-0,100.0%,72.4%,71.1%,37,11.5%,9,2.8%,8.0%,65.0%,80.0%,58.4%,63.5%,94.6%,5.8,1.6,1,Jannik Sinner[ITA],4,45.8%,44.2%,3.8%,5.9%,37.1%,57.6%,34.5%,6.7,3.1,66.5,66.8,1,Jannik Sinner[ITA],4,51.4%,19,37,0.67,3.1,9.3,1.58,4.8,78.6%,11,14,0.25,1.2,3.5,0.25,0.8,1,Jannik Sinner[ITA],4,1.66,694,58.2%,1,1-0,100.0%,8.3%,12,12-0,100.0%,111,72-39,64.9%,0:28,9.4,9.8
2,Alexander Zverev[GER],5,3-2,60.0%,68.1%,67.9%,25,9.0%,11,3.9%,13.3%,70.3%,76.5%,48.2%,55.6%,88.9%,6.2,2.0,2,Alexander Zverev[GER],5,41.3%,41.8%,3.6%,1.7%,35.0%,52.8%,29.5%,6.9,2.8,17.0,38.6,2,Alexander Zverev[GER],5,40.6%,13,32,0.73,2.9,6.4,1.18,2.6,68.8%,11,16,0.36,1.5,3.2,0.45,1.0,2,Alexander Zverev[GER],5,1.29,582,54.1%,1,0-1,0.0%,9.1%,11,7-4,63.6%,89,53-36,59.6%,1:27,39.5,44.7
3,Carlos Alcaraz[ESP],8,8-0,100.0%,70.8%,71.7%,28,5.5%,18,3.6%,11.0%,67.6%,73.1%,65.9%,74.0%,91.7%,6.0,1.8,3,Carlos Alcaraz[ESP],8,46.8%,45.1%,3.7%,6.1%,40.1%,55.1%,44.2%,6.7,3.1,39.5,88.3,3,Carlos Alcaraz[ESP],8,52.8%,38,72,0.84,3.6,9.0,1.90,4.8,81.6%,31,38,0.45,1.9,4.8,0.35,0.9,3,Carlos Alcaraz[ESP],8,1.60,1081,58.0%,1,1-0,100.0%,5.0%,20,18-2,90.0%,170,115-55,67.6%,1:22,32.8,36.4
4,Taylor Fritz[USA],7,4-3,57.1%,69.2%,66.3%,67,11.8%,9,1.6%,4.7%,66.6%,76.3%,55.3%,58.0%,86.0%,5.7,1.8,4,Taylor Fritz[USA],7,37.5%,37.7%,6.5%,3.6%,30.2%,51.2%,24.0%,6.1,2.3,54.0,50.0,4,Taylor Fritz[USA],7,47.9%,23,48,0.50,2.3,6.9,1.10,3.3,60.0%,21,35,0.35,1.7,5.0,0.67,2.0,4,Taylor Fritz[USA],7,1.22,1158,53.1%,2,0-2,0.0%,9.5%,21,13-8,61.9%,196,109-87,55.6%,1:23,27.7,30.2
5,Jack Draper[GBR],4,4-0,100.0%,67.1%,68.1%,21,7.3%,14,4.8%,12.5%,61.2%,77.4%,50.9%,58.2%,88.1%,6.9,2.3,5,Jack Draper[GBR],4,44.1%,44.3%,5.2%,3.8%,36.6%,57.8%,34.9%,6.7,3.0,14.0,30.3,5,Jack Draper[GBR],4,48.4%,15,31,0.72,3.4,7.8,1.67,3.8,73.7%,14,19,0.45,2.1,4.8,0.56,1.3,5,Jack Draper[GBR],4,1.34,577,55.6%,1,1-0,100.0%,11.1%,9,8-1,88.9%,85,52-33,61.2%,1:46,47.0,44.0
6,Novak Djokovic[SRB],6,6-0,100.0%,64.7%,64.0%,26,5.6%,9,1.9%,6.3%,69.4%,70.8%,51.0%,54.5%,82.9%,6.2,2.2,6,Novak Djokovic[SRB],6,46.6%,46.0%,2.0%,2.9%,40.2%,58.3%,40.0%,6.5,3.1,16.0,18.8,6,Novak Djokovic[SRB],6,46.2%,30,65,0.87,4.1,10.8,1.88,5.0,40.9%,9,22,0.29,1.4,3.7,0.81,2.2,6,Novak Djokovic[SRB],6,1.32,959,55.5%,3,2-1,66.7%,18.8%,16,14-2,87.5%,151,93-58,61.6%,0:54,20.1,20.1
7,Casper Ruud[NOR],2,1-1,50.0%,70.9%,69.9%,7,4.6%,1,0.7%,3.0%,78.1%,71.2%,69.7%,71.9%,92.0%,6.0,1.8,7,Casper Ruud[NOR],2,32.7%,35.0%,10.1%,1.9%,26.7%,44.4%,8.0%,6.4,2.1,130.0,130.0,7,Casper Ruud[NOR],2,25.0%,2,8,0.32,1.6,4.0,0.40,1.0,71.4%,5,7,0.28,1.4,3.5,0.40,1.0,7,Casper Ruud[NOR],2,1.12,310,51.3%,1,0-1,0.0%,20.0%,5,2-3,40.0%,50,25-25,50.0%,0:50,20.0,19.4
8,Alex De Minaur[AUS],7,4-3,57.1%,66.4%,67.9%,14,3.0%,17,3.7%,7.7%,52.6%,77.5%,54.1%,58.6%,81.6%,6.1,2.1,8,Alex De Minaur[AUS],7,44.9%,44.8%,4.9%,4.1%,34.5%,60.9%,40.5%,6.5,2.9,30.0,54.6,8,Alex De Minaur[AUS],7,55.2%,32,58,0.73,3.2,8.3,1.78,4.6,58.8%,20,34,0.45,1.9,4.9,0.78,2.0,8,Alex De Minaur[AUS],7,1.34,976,55.1%,3,1-2,33.3%,16.7%,18,11-7,61.1%,155,94-61,60.6%,1:47,41.8,46.2
9,Lorenzo Musetti[ITA],7,7-0,100.0%,68.9%,68.8%,23,3.4%,10,1.5%,5.5%,73.0%,73.3%,56.9%,60.2%,89.1%,6.6,2.1,9,Lorenzo Musetti[ITA],7,37.6%,36.1%,6.6%,6.1%,29.7%,52.3%,22.5%,6.7,2.5,56.0,47.7,9,Lorenzo Musetti[ITA],7,30.7%,23,75,0.74,3.8,10.7,1.15,3.3,68.6%,24,35,0.35,1.8,5.0,0.55,1.6,9,Lorenzo Musetti[ITA],7,1.21,1354,53.1%,7,6-1,85.7%,35.0%,20,16-4,80.0%,203,113-90,55.7%,2:16,47.8,42.3
10,Holger Rune[DEN],3,2-1,66.7%,71.8%,71.0%,16,7.5%,4,1.9%,4.8%,60.6%,76.0%,65.5%,68.8%,91.7%,5.9,1.7,10,Holger Rune[DEN],3,34.7%,35.7%,9.3%,3.6%,28.2%,42.6%,19.4%,6.3,2.2,50.0,40.3,10,Holger Rune[DEN],3,43.8%,7,16,0.44,2.3,5.3,1.00,2.3,75.0%,9,12,0.33,1.7,4.0,0.43,1.0,10,Holger Rune[DEN],3,1.23,438,52.7%,1,0-1,0.0%,14.3%,7,5-2,71.4%,72,40-32,55.6%,0:55,23.7,22.7
11,Daniil Medvedev[RUS],6,6-0,100.0%,69.6%,69.7%,59,13.8%,26,6.1%,15.5%,60.7%,78.5%,56.0%,66.2%,91.4%,6.1,1.9,11,Daniil Medvedev[RUS],6,42.6%,42.1%,4.6%,4.2%,31.7%,59.7%,31.9%,6.9,3.0,47.5,60.0,11,Daniil Medvedev[RUS],6,40.7%,22,54,0.78,3.6,9.0,1.47,3.7,71.4%,15,21,0.30,1.4,3.5,0.40,1.0,11,Daniil Medvedev[RUS],6,1.40,907,55.3%,2,1-1,50.0%,13.3%,15,13-2,86.7%,139,86-53,61.9%,1:46,42.5,42.2
12,Tommy Paul[USA],5,4-1,80.0%,68.1%,66.3%,31,7.8%,5,1.3%,3.4%,63.3%,75.0%,56.2%,58.2%,88.9%,6.3,2.0,12,Tommy Paul[USA],5,40.9%,42.3%,6.7%,2.6%,32.1%,56.9%,26.2%,7.0,2.9,54.0,76.2,12,Tommy Paul[USA],5,38.1%,16,42,0.69,3.2,8.4,1.23,3.2,66.7%,14,21,0.33,1.6,4.2,0.54,1.4,12,Tommy Paul[USA],5,1.28,828,54.0%,2,1-1,50.0%,15.4%,13,9-4,69.2%,124,72-52,58.1%,1:57,45.2,42.5
13,Ben Shelton[USA],8,6-2,75.0%,73.9%,73.0%,68,10.1%,17,2.5%,8.6%,70.4%,79.9%,59.6%,65.2%,94.7%,5.9,1.5,13,Ben Shelton[USA],8,32.3%,30.4%,8.4%,6.4%,23.3%,46.1%,15.0%,6.1,2.0,111.5,109.1,13,Ben Shelton[USA],8,37.8%,17,45,0.40,2.1,5.6,0.81,2.1,77.8%,21,27,0.24,1.3,3.4,0.29,0.8,13,Ben Shelton[USA],8,1.24,1361,52.8%,6,3-3,50.0%,28.6%,21,14-7,66.7%,226,124-102,54.9%,1:40,37.9,35.1
14,Arthur Fils[FRA],5,4-1,80.0%,65.2%,64.7%,29,8.3%,13,3.7%,9.5%,61.0%,72.0%,54.7%,60.5%,83.3%,6.5,2.3,14,Arthur Fils[FRA],5,37.2%,39.3%,10.2%,3.1%,25.8%,54.3%,21.6%,6.3,2.4,16.0,43.6,14,Arthur Fils[FRA],5,50.0%,11,22,0.43,2.0,4.4,1.00,2.2,65.4%,17,26,0.48,2.4,5.2,0.82,1.8,14,Arthur Fils[FRA],5,1.07,674,51.8%,3,3-0,100.0%,27.3%,11,8-3,72.7%,105,56-49,53.3%,1:39,45.1,44.2
15,Grigor Dimitrov[BUL],3,2-1,66.7%,69.8%,67.8%,24,13.2%,6,3.3%,7.9%,58.2%,82.1%,52.6%,57.1%,82.4%,5.4,1.6,15,Grigor Dimitrov[BUL],3,40.1%,42.2%,7.1%,1.6%,30.4%,55.7%,28.1%,5.7,2.3,75.0,72.7,15,Grigor Dimitrov[BUL],3,81.8%,9,11,0.34,1.6,3.7,1.29,3.0,57.1%,8,14,0.41,2.0,4.7,0.86,2.0,15,Grigor Dimitrov[BUL],3,1.33,364,54.9%,0,0-0,-,0.0%,7,6-1,85.7%,66,37-29,56.1%,0:43,18.6,21.4
16,Frances Tiafoe[USA],8,5-3,62.5%,69.4%,68.0%,77,9.8%,20,2.6%,6.8%,62.5%,71.6%,65.6%,70.4%,89.6%,6.3,1.9,16,Frances Tiafoe[USA],8,36.9%,38.6%,15.1%,6.7%,26.0%,53.1%,15.9%,7.0,2.6,53.5,68.1,16,Frances Tiafoe[USA],8,24.7%,20,81,0.64,3.2,10.1,0.80,2.5,65.8%,25,38,0.30,1.5,4.8,0.52,1.6,16,Frances Tiafoe[USA],8,1.21,1665,52.2%,8,4-4,50.0%,32.0%,25,14-11,56.0%,251,132-119,52.6%,2:01,38.7,34.9
17,Andrey Rublev[RUS],4,1-3,25.0%,68.6%,67.1%,43,13.8%,14,4.5%,10.9%,58.7%,79.2%,53.5%,60.0%,87.0%,5.8,1.8,17,Andrey Rublev[RUS],4,35.6%,37.7%,12.2%,4.1%,23.4%,53.8%,17.5%,6.9,2.5,106.5,109.8,17,Andrey Rublev[RUS],4,30.3%,10,33,0.58,3.0,8.3,0.91,2.5,66.7%,14,21,0.39,1.9,5.3,0.64,1.8,17,Andrey Rublev[RUS],4,1.13,705,50.2%,3,0-3,0.0%,27.3%,11,4-7,36.4%,111,57-54,51.4%,2:03,44.5,41.7
18,Francisco Cerundolo[ARG],6,2-4,33.3%,60.9%,60.8%,23,4.1%,14,2.5%,6.9%,63.7%,65.5%,52.7%,56.6%,76.8%,6.8,2.7,18,Francisco Cerundolo[ARG],6,36.5%,37.0%,5.6%,2.5%,26.0%,52.5%,18.1%,6.7,2.4,16.0,28.5,18,Francisco Cerundolo[ARG],6,38.5%,15,39,0.47,2.4,6.5,0.94,2.5,67.8%,40,59,0.72,3.7,9.8,1.19,3.2,18,Francisco Cerundolo[ARG],6,0.93,1113,48.8%,6,4-2,66.7%,37.5%,16,7-9,43.8%,165,78-87,47.3%,2:18,51.7,44.6
