Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],19,15-4,78.9%,70.3%,68.6%,154,10.0%,31,2.0%,5.0%,59.9%,78.7%,57.8%,60.8%,88.8%,6.0,1.8,1,Jannik Sinner[ITA],19,38.9%,39.9%,7.4%,3.3%,29.1%,55.6%,23.2%,6.7,2.6,5.0,5.8,1,Jannik Sinner[ITA],19,40.7%,59,145,0.57,2.7,7.6,1.11,3.1,62.8%,49,78,0.30,1.5,4.1,0.55,1.5,1,Jannik Sinner[ITA],19,1.31,3252,53.8%,11,9-2,81.8%,20.8%,53,40-13,75.5%,512,288-224,56.3%,1:50,39.6,38.7
2,Alexander Zverev[GER],11,5-6,45.5%,68.6%,66.3%,109,12.4%,24,2.7%,9.7%,71.8%,74.4%,53.8%,59.6%,86.4%,6.0,1.9,2,Alexander Zverev[GER],11,33.3%,35.3%,8.5%,1.5%,25.5%,47.7%,13.7%,6.6,2.2,7.0,5.3,2,Alexander Zverev[GER],11,27.8%,20,72,0.49,2.5,6.5,0.69,1.8,61.5%,32,52,0.35,1.8,4.7,0.69,1.8,2,Alexander Zverev[GER],11,1.06,1847,50.1%,8,3-5,37.5%,27.6%,29,14-15,48.3%,293,147-146,50.2%,1:36,36.5,34.4
3,Carlos Alcaraz[ESP],15,11-4,73.3%,64.7%,64.9%,68,4.9%,40,2.9%,8.3%,65.4%,71.2%,52.5%,57.2%,82.9%,6.4,2.3,3,Carlos Alcaraz[ESP],15,38.7%,38.4%,5.1%,3.8%,32.8%,49.8%,25.9%,6.6,2.6,5.0,5.1,3,Carlos Alcaraz[ESP],15,39.6%,57,144,0.65,3.3,9.6,1.30,3.8,59.8%,55,92,0.42,2.1,6.1,0.84,2.5,3,Carlos Alcaraz[ESP],15,1.10,2857,51.4%,9,4-5,44.4%,20.5%,44,28-16,63.6%,437,237-200,54.2%,1:35,32.4,30.0
4,Taylor Fritz[USA],14,8-6,57.1%,67.5%,65.1%,156,12.1%,36,2.8%,7.4%,62.6%,78.4%,49.4%,53.3%,85.4%,6.3,2.0,4,Taylor Fritz[USA],14,32.0%,32.7%,9.9%,3.8%,22.5%,50.6%,13.5%,6.1,2.0,4.0,4.2,4,Taylor Fritz[USA],14,31.4%,27,86,0.43,2.2,6.1,0.68,1.9,70.9%,73,103,0.50,2.6,7.4,0.75,2.1,4,Taylor Fritz[USA],14,0.99,2515,50.3%,7,4-3,57.1%,17.5%,40,20-20,50.0%,405,202-203,49.9%,1:57,41.0,39.1
5,Jack Draper[GBR],10,6-4,60.0%,63.7%,61.9%,91,11.2%,33,4.1%,9.7%,58.1%,72.8%,51.0%,56.5%,80.0%,6.2,2.3,5,Jack Draper[GBR],10,34.7%,36.1%,9.2%,3.0%,26.2%,47.5%,18.8%,6.2,2.2,5.0,5.7,5,Jack Draper[GBR],10,37.5%,24,64,0.50,2.5,6.4,0.92,2.4,58.1%,36,62,0.48,2.4,6.2,1.00,2.6,5,Jack Draper[GBR],10,0.96,1604,49.3%,3,2-1,66.7%,11.5%,26,15-11,57.7%,258,128-130,49.6%,1:56,44.7,43.4
6,Novak Djokovic[SRB],6,3-3,50.0%,65.7%,64.8%,30,5.8%,9,1.8%,5.3%,66.9%,71.1%,54.7%,57.8%,86.3%,7.0,2.4,6,Novak Djokovic[SRB],6,33.7%,33.9%,7.5%,3.6%,25.9%,48.6%,11.0%,6.9,2.3,3.0,4.4,6,Novak Djokovic[SRB],6,23.5%,8,34,0.47,2.4,5.7,0.57,1.3,76.2%,32,42,0.58,3.0,7.0,0.71,1.7,6,Novak Djokovic[SRB],6,0.98,1020,49.8%,6,3-3,50.0%,42.9%,14,7-7,50.0%,146,71-75,48.6%,1:50,47.0,38.7
7,Casper Ruud[NOR],8,5-3,62.5%,64.7%,63.4%,42,7.1%,12,2.0%,6.2%,66.9%,73.7%,46.7%,49.7%,83.5%,6.1,2.1,7,Casper Ruud[NOR],8,32.7%,34.8%,12.0%,3.1%,24.9%,46.7%,17.7%,5.7,1.9,4.0,4.3,7,Casper Ruud[NOR],8,44.7%,17,38,0.40,1.9,4.8,0.85,2.1,61.9%,26,42,0.43,2.1,5.3,0.80,2.0,7,Casper Ruud[NOR],8,0.93,1141,49.3%,1,0-1,0.0%,5.0%,20,11-9,55.0%,193,98-95,50.8%,1:26,34.5,36.2
8,Alex De Minaur[AUS],11,1-10,9.1%,60.0%,60.1%,45,5.3%,31,3.7%,8.5%,56.8%,67.9%,49.6%,54.2%,70.9%,6.3,2.5,8,Alex De Minaur[AUS],11,32.6%,33.4%,6.3%,1.9%,26.4%,44.1%,15.2%,6.0,1.9,3.5,3.5,8,Alex De Minaur[AUS],11,44.7%,21,47,0.34,1.6,4.3,0.72,1.9,54.1%,46,85,0.63,2.9,7.7,1.34,3.5,8,Alex De Minaur[AUS],11,0.81,1668,46.5%,2,0-2,0.0%,6.9%,29,6-23,20.7%,272,116-156,42.6%,1:24,32.0,33.4
9,Lorenzo Musetti[ITA],12,6-6,50.0%,56.7%,56.7%,25,2.6%,18,1.9%,5.6%,66.8%,62.4%,45.3%,48.0%,65.7%,6.7,2.9,9,Lorenzo Musetti[ITA],12,36.9%,36.2%,3.8%,3.2%,28.0%,52.0%,22.0%,6.3,2.3,4.5,4.8,9,Lorenzo Musetti[ITA],12,48.4%,31,64,0.45,1.9,5.3,0.94,2.6,59.2%,71,120,0.84,3.6,10.0,1.48,4.1,9,Lorenzo Musetti[ITA],12,0.85,1859,47.2%,5,3-2,60.0%,15.2%,33,15-18,45.5%,284,125-159,44.0%,1:35,34.5,36.7
10,Holger Rune[DEN],11,5-6,45.5%,62.4%,62.8%,40,4.5%,30,3.4%,8.8%,61.6%,70.4%,49.6%,54.3%,77.5%,6.4,2.4,10,Holger Rune[DEN],11,33.1%,34.1%,8.8%,3.0%,25.3%,45.3%,17.6%,5.8,1.9,4.0,5.3,10,Holger Rune[DEN],11,46.3%,25,54,0.38,1.9,4.9,0.86,2.3,62.2%,51,82,0.59,2.8,7.5,1.07,2.8,10,Holger Rune[DEN],11,0.88,1714,48.2%,4,1-3,25.0%,13.8%,29,13-16,44.8%,280,132-148,47.1%,1:40,37.9,38.5
