Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],31,90.3,72.0,9.9,2.5,6.4,61.4,80.0,59.2,63.3,91.8,41.1,6.8,3.0,31.8,55.4,28.8,40.4,235,0.71,3.3,7.6,1.34,3.1,74.3,0.32,1.5,3.5,0.39,0.9,55.6,75.0,83.1,60.8
2,Alexander Zverev[GER],35,80.0,70.3,11.6,3.3,10.7,69.5,76.8,55.7,62.3,89.6,37.9,7.8,3.3,28.5,53.1,23.5,38.4,237,0.61,3.0,6.8,1.17,2.6,66.9,0.31,1.6,3.5,0.51,1.1,53.5,75.0,75.6,56.5
3,Carlos Alcaraz[ESP],21,76.2,68.8,6.1,2.6,7.2,64.7,74.4,58.6,63.2,88.7,41.5,6.0,3.7,32.5,56.3,29.9,43.7,151,0.68,3.1,7.2,1.38,3.1,69.9,0.37,1.7,4.0,0.52,1.2,54.4,42.9,72.9,59.4
4,Taylor Fritz[USA],23,60.9,70.4,11.8,2.2,5.5,60.4,77.9,59.1,62.5,90.8,34.4,8.0,3.8,27.7,45.6,18.4,37.5,120,0.49,2.4,5.2,0.88,2.0,72.9,0.34,1.7,3.7,0.45,1.0,52.5,45.5,60.8,55.2
5,Jack Draper[GBR],16,50.0,65.4,9.8,4.8,11.2,57.3,77.2,49.7,56.0,80.0,35.8,8.0,4.1,25.1,49.7,19.4,40.0,100,0.49,2.4,6.3,0.98,2.5,54.4,0.44,2.2,5.6,1.0,2.6,50.2,40.0,48.8,49.6
6,Novak Djokovic[SRB],14,71.4,68.9,7.3,2.6,7.1,63.2,75.6,57.4,61.7,83.7,42.1,7.3,3.5,31.9,57.1,30.7,43.4,106,0.71,3.3,7.6,1.44,3.3,60.9,0.42,2.0,4.6,0.78,1.8,54.6,60.0,68.8,57.4
7,Casper Ruud[NOR],20,60.0,64.5,6.4,2.5,7.2,65.0,69.8,54.5,58.8,80.3,37.4,8.1,2.7,29.6,49.3,25.1,41.8,134,0.6,2.8,6.7,1.17,2.8,61.1,0.51,2.4,5.7,0.92,2.2,50.9,50.0,56.3,52.7
8,Alex De Minaur[AUS],18,66.7,63.9,5.6,3.4,7.3,52.7,71.0,55.9,60.3,78.1,42.8,4.8,5.0,34.3,56.7,34.0,47.2,144,0.72,3.4,8.0,1.62,3.8,54.3,0.48,2.2,5.1,1.0,2.3,52.8,50.0,64.3,55.6
9,Lorenzo Musetti[ITA],14,42.9,62.9,4.2,2.7,7.0,62.0,71.3,49.3,53.0,74.8,35.6,6.5,4.6,26.1,51.1,18.8,35.4,79,0.53,2.5,5.6,0.9,2.0,54.2,0.55,2.7,5.9,1.23,2.7,49.0,60.0,41.9,47.0
10,Holger Rune[DEN],27,66.7,64.9,5.8,4.0,9.8,59.2,71.6,55.2,61.2,83.1,34.7,7.2,4.0,26.7,46.9,18.8,41.2,148,0.46,2.2,5.5,0.9,2.3,62.3,0.45,2.1,5.4,0.81,2.0,50.0,70.0,58.8,51.0
11,Daniil Medvedev[RUS],27,66.7,62.8,6.6,5.7,14.2,60.0,72.2,48.6,56.7,77.1,40.3,5.6,2.9,32.1,54.5,27.4,41.5,200,0.66,3.3,7.4,1.36,3.1,57.0,0.53,2.6,5.9,1.11,2.5,51.3,70.0,62.3,52.0
12,Tommy Paul[USA],20,60.0,63.0,5.5,2.3,5.9,61.3,69.6,52.7,56.0,78.7,40.8,5.6,3.2,33.1,53.8,27.5,40.5,158,0.68,3.2,7.9,1.28,3.2,65.3,0.61,2.9,7.2,1.0,2.5,51.7,62.5,62.0,53.2
13,Ben Shelton[USA],20,60.0,70.9,9.5,4.1,12.6,67.7,76.6,58.8,67.2,91.3,31.6,7.2,4.0,24.1,45.0,13.6,28.8,111,0.47,2.4,5.6,0.68,1.6,70.8,0.3,1.5,3.6,0.45,1.1,51.0,40.0,55.3,52.9
14,Arthur Fils[FRA],15,40.0,63.5,8.1,5.2,12.7,59.4,76.5,44.6,51.1,79.3,34.5,9.0,2.8,25.5,48.1,18.1,42.2,64,0.43,2.1,4.3,0.87,1.8,62.2,0.55,2.6,5.5,1.0,2.1,49.5,40.0,41.9,48.8
15,Grigor Dimitrov[BUL],25,64.0,69.2,10.1,4.8,12.2,60.8,78.4,54.8,62.4,87.6,36.4,9.5,3.6,28.1,50.4,19.7,36.6,161,0.54,2.6,6.4,0.95,2.4,65.7,0.36,1.7,4.3,0.6,1.5,51.9,53.8,61.3,53.6
16,Frances Tiafoe[USA],15,46.7,65.4,8.7,3.4,7.8,56.2,74.5,53.7,58.3,83.0,36.1,13.1,4.6,27.2,49.7,18.5,33.7,95,0.55,2.8,6.3,0.94,2.1,62.3,0.45,2.3,5.1,0.85,1.9,50.3,40.0,47.1,50.6
17,Andrey Rublev[RUS],22,63.6,65.4,8.0,3.3,8.9,62.3,74.1,51.1,56.1,82.1,38.7,8.2,3.5,29.5,53.0,24.1,39.1,151,0.62,3.0,6.9,1.16,2.7,69.4,0.58,2.9,6.7,0.88,2.0,52.1,71.4,60.8,53.5
18,Francisco Cerundolo[ARG],17,52.9,63.0,4.2,3.4,10.0,65.6,69.6,50.5,56.1,80.6,36.8,5.9,2.2,28.1,52.5,21.3,42.4,99,0.5,2.4,5.8,1.02,2.5,63.9,0.54,2.6,6.4,0.95,2.3,50.4,53.8,56.1,51.3
19,Stefanos Tsitsipas[GRE],25,68.0,65.8,9.1,4.3,10.6,59.5,73.7,54.2,60.6,85.4,37.0,6.4,3.0,29.2,50.6,24.9,37.8,180,0.66,3.2,7.2,1.19,2.7,71.8,0.52,2.5,5.7,0.7,1.6,51.7,50.0,63.2,55.2
20,Tomas Machac[CZE],17,58.8,61.6,5.2,4.2,10.6,60.3,70.0,48.8,54.5,76.9,35.7,9.7,2.6,27.7,48.8,20.5,47.0,83,0.44,2.1,4.9,1.0,2.3,64.5,0.65,3.1,7.1,1.1,2.5,49.0,83.3,53.8,48.4
21,Jakub Mensik[CZE],11,63.6,62.5,10.9,4.3,10.0,56.8,73.5,48.1,53.5,79.3,37.3,7.3,3.2,29.0,51.5,24.8,41.8,79,0.59,2.7,7.2,1.14,3.0,64.1,0.58,2.7,7.1,0.97,2.5,50.6,40.0,55.2,52.2
22,Ugo Humbert[FRA],21,61.9,65.2,7.5,2.8,7.6,62.8,73.0,52.0,56.3,85.4,37.3,7.0,3.7,28.6,51.1,24.5,45.4,130,0.54,2.5,6.2,1.13,2.8,65.7,0.43,2.0,5.0,0.69,1.7,51.7,16.7,59.6,55.2
23,Sebastian Korda[USA],15,53.3,63.8,9.2,1.9,4.8,59.5,72.2,51.4,54.0,79.4,34.9,6.5,4.1,26.0,49.1,18.9,36.4,88,0.52,2.5,5.9,0.91,2.1,62.8,0.55,2.7,6.3,1.0,2.3,49.1,50.0,51.4,49.3
24,Karen Khachanov[RUS],24,62.5,65.6,8.3,2.0,5.4,63.6,73.3,52.1,55.1,81.6,37.4,9.1,3.8,28.1,52.8,21.9,43.5,138,0.5,2.5,5.8,1.09,2.5,56.9,0.43,2.1,4.8,0.91,2.1,51.1,62.5,58.2,51.6
25,Alexei Popyrin[AUS],20,65.0,65.0,9.6,3.6,9.4,61.9,74.6,49.5,54.7,82.3,35.9,8.1,4.6,28.6,47.4,19.5,33.9,127,0.58,2.9,6.4,0.98,2.2,67.2,0.54,2.7,6.0,0.89,2.0,50.7,75.0,59.1,50.9
26,Alejandro Davidovich Fokina[ESP],13,38.5,61.4,4.4,3.7,11.3,67.4,67.1,49.5,55.8,74.1,37.3,8.5,3.7,30.3,47.5,23.6,42.3,78,0.56,2.7,6.0,1.14,2.5,60.6,0.66,3.2,7.2,1.28,2.8,49.3,16.7,41.4,49.1
27,Felix Auger Aliassime[CAN],19,57.9,65.6,9.9,6.8,17.5,61.0,75.6,50.0,60.6,83.5,36.7,4.2,3.7,32.9,43.0,22.5,46.2,91,0.49,2.3,4.8,1.05,2.2,64.4,0.46,2.2,4.6,0.78,1.6,51.3,100.0,57.5,53.1
28,Denis Shapovalov[CAN],12,50.0,64.2,7.8,8.4,21.4,60.9,75.6,46.4,59.0,81.3,37.9,5.5,3.4,31.6,49.0,20.1,32.6,89,0.62,3.2,7.4,1.04,2.4,59.7,0.47,2.4,5.6,0.96,2.3,50.4,57.1,50.0,50.7
29,Brandon Nakashima[USA],13,38.5,66.4,9.0,1.5,4.2,63.5,72.0,56.5,59.0,85.5,30.7,9.1,4.2,23.8,42.3,11.5,32.1,56,0.36,1.8,4.3,0.58,1.4,69.0,0.47,2.3,5.5,0.71,1.7,48.7,42.9,41.9,48.1
30,Matteo Berrettini[ITA],6,16.7,64.0,10.7,1.3,3.6,64.2,70.4,52.4,54.3,76.4,29.9,8.8,1.3,24.7,38.4,12.0,36.0,25,0.33,1.7,4.2,0.6,1.5,66.0,0.69,3.3,8.3,1.13,2.8,47.2,66.7,33.3,43.5
31,Hubert Hurkacz[POL],21,61.9,65.7,12.6,1.6,4.0,59.7,75.0,51.9,54.1,83.3,34.5,7.0,2.8,29.7,43.1,17.4,41.7,108,0.42,2.0,5.1,0.85,2.1,69.8,0.55,2.8,7.1,0.85,2.1,50.5,64.3,56.6,51.0
32,Alex Michelsen[USA],13,38.5,62.0,5.6,3.0,8.7,65.2,70.1,46.6,51.1,76.7,36.6,8.0,3.7,30.1,47.0,21.8,38.3,81,0.57,2.7,6.2,1.03,2.4,55.3,0.52,2.5,5.8,1.13,2.6,49.8,28.6,43.3,49.7
33,Sebastian Baez[ARG],13,38.5,59.1,1.6,3.0,9.8,69.7,63.3,49.5,54.9,70.4,37.9,9.3,4.1,27.8,52.1,23.6,41.9,93,0.56,2.8,7.2,1.18,3.0,61.3,0.77,3.8,9.5,1.45,3.7,48.7,57.1,42.4,46.8
34,Flavio Cobolli[ITA],15,53.3,64.1,7.6,3.5,8.0,56.7,73.2,52.1,56.6,79.4,34.3,7.2,2.8,25.7,48.6,18.9,45.9,74,0.41,1.9,4.9,0.89,2.3,67.0,0.62,2.9,7.5,0.97,2.5,49.9,60.0,50.0,49.2
35,Tallon Griekspoor[NED],17,47.1,66.7,11.0,3.8,11.3,66.6,75.3,49.6,55.9,85.8,32.7,8.7,3.1,25.9,45.5,15.8,42.7,82,0.37,1.8,4.8,0.78,2.1,68.0,0.44,2.2,5.9,0.71,1.9,50.3,20.0,48.9,51.0
36,Giovanni Mpetshi Perricard[FRA],4,25.0,68.6,19.9,9.8,22.9,57.1,84.8,47.1,61.0,88.9,19.7,11.7,2.3,14.6,27.0,3.8,40.0,5,0.09,0.5,1.3,0.2,0.5,57.1,0.26,1.4,3.5,0.6,1.5,46.3,33.3,30.0,46.7
37,Matteo Arnaldi[ITA],20,55.0,62.0,7.6,4.2,9.4,55.9,72.1,49.1,54.2,76.4,37.5,3.9,3.4,31.4,47.6,22.3,39.3,135,0.57,2.8,6.8,1.08,2.7,57.1,0.55,2.7,6.7,1.16,2.9,49.7,75.0,55.1,49.6
