Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],13,84.6,71.0,9.7,2.7,6.8,60.1,81.3,55.5,59.6,90.9,38.7,7.4,4.0,27.9,55.8,22.4,31.7,123,0.71,3.4,9.5,1.08,3.0,69.8,0.3,1.5,4.1,0.44,1.2,53.8,66.7,75.0,56.9
2,Alexander Zverev[GER],16,62.5,67.9,8.2,3.7,13.1,71.7,74.4,51.6,59.3,90.3,35.4,6.5,2.5,27.0,49.4,20.3,44.0,91,0.46,2.2,5.7,0.98,2.5,75.3,0.39,1.9,4.8,0.46,1.2,51.9,25.0,61.0,55.1
3,Carlos Alcaraz[ESP],10,60.0,66.3,5.1,2.1,6.7,68.8,69.1,60.3,64.6,81.7,38.5,4.1,1.7,32.5,50.9,23.0,32.6,89,0.71,3.4,8.9,1.12,2.9,58.2,0.44,2.1,5.5,0.88,2.3,51.6,80.0,61.5,52.4
4,Taylor Fritz[USA],10,60.0,67.6,11.8,1.8,5.1,64.7,75.4,53.3,56.2,85.3,32.7,9.1,2.9,25.4,46.9,12.9,34.6,52,0.37,1.8,5.2,0.62,1.8,70.0,0.49,2.4,7.0,0.72,2.1,50.4,71.4,55.2,49.6
5,Jack Draper[GBR],9,55.6,69.2,12.9,3.5,8.7,60.1,81.2,51.2,56.0,86.9,37.5,8.2,2.4,30.3,49.8,21.1,33.8,68,0.62,3.0,7.6,1.0,2.6,61.1,0.34,1.6,4.0,0.61,1.6,52.5,50.0,56.5,53.7
6,Novak Djokovic[SRB],6,83.3,68.2,9.3,1.7,5.1,65.8,75.3,54.4,57.3,86.8,39.9,9.8,4.3,28.5,55.9,27.0,35.7,56,0.76,3.7,9.3,1.33,3.3,68.8,0.42,2.1,5.3,0.67,1.7,53.3,66.7,73.3,57.3
7,Casper Ruud[NOR],10,70.0,67.0,6.4,1.6,4.9,67.7,70.7,59.3,62.3,86.6,38.4,7.8,2.6,31.5,51.6,25.0,54.7,53,0.46,2.1,5.3,1.16,2.9,70.9,0.46,2.2,5.5,0.64,1.6,53.0,33.3,64.0,56.2
8,Alex De Minaur[AUS],10,50.0,62.9,6.1,4.0,8.6,54.0,73.8,50.0,54.7,78.7,37.4,7.5,3.3,28.3,53.0,19.9,43.5,62,0.46,2.3,6.2,1.0,2.7,59.2,0.52,2.6,7.1,1.07,2.9,49.9,33.3,44.4,49.3
9,Lorenzo Musetti[ITA],8,87.5,65.4,4.4,1.8,5.1,64.2,70.8,55.7,58.7,83.0,38.7,9.2,4.2,31.1,52.9,26.5,40.9,66,0.65,2.8,8.3,1.13,3.4,65.3,0.49,2.0,6.1,0.71,2.1,52.2,100.0,66.7,54.5
10,Holger Rune[DEN],11,72.7,67.2,8.1,2.8,7.3,61.0,76.0,53.5,57.7,85.7,35.3,6.1,3.6,28.2,46.2,18.9,36.9,65,0.51,2.6,5.9,0.96,2.2,65.4,0.41,2.1,4.7,0.72,1.6,51.4,100.0,68.0,52.2
