Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],13,100.0,71.0,7.5,2.5,6.7,62.1,78.8,58.3,62.5,90.0,41.5,7.2,2.6,34.0,54.4,29.1,44.4,108,0.65,3.1,8.3,1.37,3.7,68.5,0.32,1.5,4.2,0.49,1.3,55.5,83.3,85.7,60.0
2,Alexander Zverev[GER],19,78.9,69.6,12.0,2.4,8.3,71.3,76.1,53.2,58.0,86.3,38.2,5.7,3.0,28.0,53.5,24.1,40.5,148,0.59,2.8,7.8,1.15,3.2,64.2,0.38,1.8,5.0,0.65,1.8,53.3,77.8,67.3,55.1
3,Carlos Alcaraz[ESP],12,83.3,67.0,6.7,3.0,8.7,66.0,74.2,53.0,58.1,87.3,41.9,5.8,3.2,33.9,55.2,32.1,44.1,102,0.73,3.4,8.5,1.5,3.8,66.7,0.38,1.8,4.5,0.6,1.5,54.3,33.3,80.0,59.9
4,Taylor Fritz[USA],14,71.4,70.8,13.9,1.9,5.2,64.3,79.1,55.9,59.0,90.0,34.4,7.4,4.5,27.8,46.5,19.3,39.6,96,0.49,2.4,6.9,0.95,2.7,73.7,0.38,1.9,5.4,0.5,1.4,52.5,60.0,65.0,55.0
5,Jack Draper[GBR],10,90.0,68.9,13.2,4.6,11.1,59.0,79.8,53.2,59.9,90.4,39.0,8.5,4.1,31.9,48.8,25.2,44.9,69,0.56,2.7,6.9,1.19,3.1,72.1,0.34,1.7,4.3,0.46,1.2,53.6,100.0,76.9,58.1
6,Novak Djokovic[SRB],7,100.0,69.9,7.5,2.4,7.3,66.6,74.6,60.4,65.2,90.0,41.8,4.0,2.2,38.4,47.3,38.1,53.3,60,0.71,3.2,8.6,1.68,4.6,80.4,0.51,2.4,6.6,0.47,1.3,56.8,-,89.5,64.9
7,Casper Ruud[NOR],15,66.7,67.9,6.9,3.1,8.9,64.8,72.5,59.4,65.2,86.3,36.7,9.6,2.6,26.2,52.2,22.6,35.0,103,0.65,2.9,6.9,1.0,2.4,65.6,0.4,1.8,4.3,0.61,1.5,52.2,75.0,61.1,54.5
8,Alex De Minaur[AUS],16,62.5,62.3,4.2,3.2,7.1,54.5,71.7,51.1,55.0,73.7,42.4,4.6,3.1,34.6,53.8,32.0,45.8,144,0.7,3.2,9.0,1.47,4.1,50.0,0.53,2.3,6.5,1.16,3.3,51.6,100.0,60.0,52.5
9,Lorenzo Musetti[ITA],13,53.8,65.6,4.1,1.6,5.0,68.7,72.2,51.1,53.7,78.8,37.0,5.2,2.9,30.2,48.8,21.4,37.9,87,0.56,2.8,6.7,1.06,2.5,50.8,0.43,2.1,5.0,1.03,2.5,50.4,40.0,48.4,49.8
10,Holger Rune[DEN],17,64.7,65.1,8.9,3.6,9.5,61.8,72.4,53.3,58.9,82.2,35.5,8.0,2.5,27.2,49.6,18.5,41.9,93,0.44,2.1,5.5,0.89,2.3,67.2,0.54,2.6,6.8,0.86,2.2,50.7,71.4,56.8,50.5
11,Daniil Medvedev[RUS],14,64.3,64.2,8.7,5.3,13.9,62.1,72.8,50.3,58.4,77.6,40.3,6.0,3.9,31.8,55.0,28.8,44.1,102,0.65,3.0,7.3,1.32,3.2,57.5,0.53,2.4,5.7,1.0,2.4,51.9,71.4,61.8,52.9
12,Tommy Paul[USA],13,76.9,67.9,9.0,1.9,5.3,63.7,73.5,58.2,61.4,87.3,40.5,4.4,2.4,33.7,51.9,26.0,32.5,123,0.8,3.8,9.5,1.25,3.1,73.7,0.48,2.4,5.8,0.63,1.5,53.7,57.1,71.9,56.9
13,Ben Shelton[USA],15,60.0,68.1,13.3,4.9,16.3,69.8,76.8,48.2,57.5,86.9,33.3,6.5,3.0,26.5,45.3,17.6,37.8,82,0.47,2.3,5.5,0.89,2.1,66.7,0.39,2.0,4.6,0.66,1.5,50.6,40.0,57.1,52.1
14,Arthur Fils[FRA],12,66.7,64.3,7.8,4.4,10.9,59.6,75.2,48.2,54.1,81.8,40.0,7.0,3.6,33.3,51.3,28.5,42.5,87,0.67,3.2,7.3,1.37,3.1,60.0,0.45,2.2,5.0,0.89,2.0,52.0,33.3,63.0,55.3
15,Grigor Dimitrov[BUL],16,50.0,67.0,8.5,4.9,12.3,60.4,77.2,51.6,58.8,85.5,34.8,11.2,3.1,25.4,49.7,14.7,31.6,98,0.46,2.3,6.1,0.72,1.9,72.3,0.52,2.6,7.0,0.72,1.9,50.9,75.0,55.8,50.4
16,Frances Tiafoe[USA],13,76.9,66.9,13.0,2.2,5.3,57.9,77.5,52.4,55.3,86.3,36.1,13.0,4.3,27.6,50.3,16.9,31.6,98,0.54,2.8,7.5,0.89,2.4,70.9,0.47,2.5,6.6,0.71,1.9,51.1,69.2,65.7,51.6
17,Andrey Rublev[RUS],16,87.5,69.9,10.5,3.6,9.5,61.9,78.1,56.5,62.4,92.0,39.3,10.0,3.7,30.3,53.9,25.0,40.0,125,0.63,3.1,7.8,1.25,3.1,72.9,0.3,1.5,3.7,0.4,1.0,53.9,60.0,80.0,58.4
18,Francisco Cerundolo[ARG],17,41.2,61.8,4.2,3.1,8.4,63.1,67.5,52.0,56.8,75.3,38.5,3.3,2.1,32.0,50.6,24.6,36.7,120,0.67,3.0,7.1,1.1,2.6,51.6,0.51,2.3,5.5,1.13,2.6,49.8,33.3,47.5,50.1
19,Stefanos Tsitsipas[GRE],15,73.3,67.7,7.6,4.6,11.9,61.1,76.4,54.0,61.3,88.0,34.9,8.3,2.3,28.8,45.8,20.7,35.2,105,0.59,2.9,7.0,1.03,2.5,74.7,0.48,2.4,5.8,0.61,1.5,51.6,66.7,66.7,54.7
20,Tomas Machac[CZE],9,66.7,63.3,6.5,3.7,10.1,63.5,69.6,52.1,58.0,80.4,36.5,9.6,3.2,27.9,48.5,23.1,40.0,60,0.58,2.6,6.7,1.04,2.7,62.5,0.52,2.4,6.2,0.91,2.3,50.3,33.3,56.5,52.1
21,Jakub Mensik[CZE],6,83.3,64.6,14.1,3.7,9.6,61.4,74.8,48.2,53.4,85.3,37.0,6.7,4.8,30.4,46.7,21.9,40.0,40,0.55,2.7,6.7,1.07,2.7,65.6,0.43,2.1,5.3,0.73,1.8,51.0,60.0,66.7,54.1
22,Ugo Humbert[FRA],12,58.3,66.9,9.0,2.1,5.7,62.9,73.8,55.3,58.6,85.0,39.0,5.7,3.6,31.1,52.0,22.5,35.4,96,0.64,2.9,8.0,1.03,2.8,68.1,0.47,2.2,6.0,0.7,1.9,52.6,66.7,57.6,53.9
23,Sebastian Korda[USA],7,71.4,66.2,11.0,1.7,4.1,58.0,78.7,49.0,51.1,79.5,39.3,9.3,4.0,32.7,51.4,28.7,46.9,49,0.61,3.1,7.0,1.44,3.3,48.4,0.4,1.9,4.4,1.0,2.3,52.2,33.3,62.5,53.8
24,Karen Khachanov[RUS],15,46.7,66.3,10.5,1.4,4.1,65.1,74.0,52.0,54.2,80.6,35.2,9.9,3.3,25.3,51.6,18.7,39.1,92,0.48,2.5,6.1,0.97,2.4,54.9,0.43,2.2,5.5,1.0,2.5,50.2,50.0,51.4,49.5
25,Alexei Popyrin[AUS],8,25.0,65.1,11.0,3.9,10.7,63.4,76.2,45.8,51.3,83.7,30.4,11.6,3.2,24.6,40.2,12.6,31.7,41,0.4,1.9,5.1,0.59,1.6,69.1,0.53,2.5,6.9,0.77,2.1,48.8,42.9,31.8,48.3
26,Alejandro Davidovich Fokina[ESP],8,37.5,61.3,7.2,3.0,9.1,67.6,65.8,51.9,57.1,74.7,40.5,7.6,4.7,30.2,55.6,28.1,35.1,77,0.8,3.9,9.6,1.35,3.4,55.4,0.57,2.8,7.0,1.25,3.1,50.4,20.0,50.0,51.8
27,Felix Auger Aliassime[CAN],12,50.0,64.5,10.0,5.3,13.8,61.9,74.5,48.4,56.1,83.1,34.4,8.4,3.5,29.3,44.3,16.3,32.4,71,0.5,2.4,5.9,0.79,1.9,64.7,0.48,2.3,5.7,0.83,2.0,49.8,42.9,48.3,49.8
28,Denis Shapovalov[CAN],6,50.0,71.1,14.5,6.0,15.3,60.6,81.5,55.1,65.1,89.0,33.5,4.7,4.7,27.8,43.6,17.3,46.4,28,0.37,1.9,4.7,0.87,2.2,55.6,0.25,1.2,3.0,0.53,1.3,51.9,50.0,53.3,52.7
29,Brandon Nakashima[USA],12,25.0,65.3,9.9,1.3,3.6,63.6,73.1,51.8,53.8,81.1,30.0,11.2,3.4,20.3,48.2,12.8,31.6,57,0.4,1.9,4.8,0.6,1.5,68.2,0.59,2.8,7.1,0.9,2.3,48.2,14.3,33.3,47.2
30,Matteo Berrettini[ITA],8,62.5,67.1,13.1,1.7,5.2,68.0,75.3,49.7,52.5,89.1,34.7,6.1,2.7,27.8,44.8,18.7,32.7,52,0.57,2.9,6.5,0.94,2.1,73.7,0.41,2.1,4.8,0.56,1.3,51.0,60.0,66.7,54.1
31,Hubert Hurkacz[POL],14,57.1,70.5,15.9,1.5,3.9,61.4,78.9,57.2,59.6,89.1,32.5,9.4,2.4,24.8,45.6,12.7,33.8,68,0.38,1.9,4.9,0.66,1.6,67.7,0.34,1.8,4.4,0.57,1.4,51.2,53.8,54.3,51.2
32,Alex Michelsen[USA],11,72.7,63.6,4.5,3.1,10.0,69.0,68.5,52.6,58.4,82.4,40.0,6.0,4.5,29.2,53.5,25.4,41.0,78,0.62,3.0,7.1,1.23,2.9,64.6,0.5,2.5,5.9,0.88,2.1,52.1,66.7,69.2,54.5
33,Sebastian Baez[ARG],11,63.6,62.3,2.8,2.7,9.2,70.8,63.1,60.5,66.7,77.0,39.2,6.6,1.9,33.3,50.7,28.6,37.5,96,0.76,3.7,8.7,1.38,3.3,60.8,0.59,2.8,6.7,1.12,2.6,50.7,50.0,57.7,52.8
34,Flavio Cobolli[ITA],12,50.0,62.2,5.7,4.4,10.1,56.3,73.6,47.5,52.8,78.3,37.6,5.9,3.8,27.7,53.7,22.0,38.7,80,0.57,2.8,6.7,1.07,2.6,61.5,0.57,2.7,6.5,1.03,2.5,49.7,30.0,44.8,49.8
35,Tallon Griekspoor[NED],9,44.4,66.4,9.8,3.3,9.1,64.0,74.5,52.1,57.3,81.3,31.6,12.1,2.9,23.0,46.9,12.3,37.1,35,0.33,1.7,3.9,0.62,1.4,42.9,0.33,1.7,3.9,0.95,2.2,48.9,55.6,42.9,46.9
36,Giovanni Mpetshi Perricard[FRA],5,20.0,67.6,22.2,6.2,18.0,65.4,77.7,48.4,59.0,81.3,23.8,9.7,1.8,22.0,27.0,7.9,35.7,14,0.22,1.1,2.8,0.38,1.0,65.7,0.55,2.7,7.0,0.92,2.4,46.6,100.0,30.8,44.9
37,Matteo Arnaldi[ITA],9,33.3,61.8,8.3,4.4,9.9,55.4,72.3,48.8,54.1,78.5,36.2,4.8,3.0,29.2,49.1,19.2,38.3,60,0.5,2.4,6.7,0.92,2.6,67.9,0.67,3.2,9.0,1.04,2.9,49.3,28.6,40.0,49.0
38,Jiri Lehecka[CZE],9,77.8,68.7,11.8,3.7,9.6,61.7,78.5,52.8,58.4,90.4,35.5,9.2,2.5,26.3,49.7,20.2,33.8,68,0.6,3.1,7.6,1.05,2.6,78.8,0.46,2.4,5.8,0.5,1.2,52.2,50.0,68.2,55.3
39,Alexandre Muller[FRA],6,16.7,56.2,2.0,2.6,6.7,61.2,61.6,47.8,51.2,63.6,35.0,9.9,3.3,25.5,49.3,20.0,42.3,26,0.47,2.2,4.3,0.92,1.8,47.4,0.69,3.2,6.3,1.67,3.3,45.8,0.0,16.7,41.8
40,Nuno Borges[POR],11,27.3,56.8,3.4,3.3,8.9,62.9,62.9,46.6,51.1,63.1,35.1,8.5,4.4,27.3,49.1,19.5,38.7,62,0.5,2.3,5.6,0.89,2.2,48.3,0.71,3.2,7.9,1.67,4.1,46.2,50.0,29.6,41.2
41,Jordan Thompson[AUS],12,66.7,64.1,8.1,1.4,3.6,60.5,72.0,52.1,54.1,79.3,37.3,6.3,4.7,29.5,49.5,23.0,46.7,60,0.49,2.3,5.0,1.08,2.3,63.2,0.56,2.6,5.7,0.96,2.1,50.8,100.0,61.5,51.0
42,Alejandro Tabilo[CHI],11,54.5,69.3,8.8,2.8,7.5,63.1,79.4,52.0,56.2,86.7,33.7,11.1,4.0,25.2,51.8,18.0,39.2,51,0.46,2.2,4.6,0.87,1.8,63.4,0.36,1.8,3.7,0.65,1.4,51.2,40.0,56.5,52.7
43,Gael Monfils[FRA],7,28.6,67.5,11.2,3.8,9.3,59.1,77.4,53.1,58.5,86.2,30.9,4.3,2.9,27.5,36.5,10.8,33.3,30,0.32,1.6,4.3,0.53,1.4,58.1,0.33,1.6,4.4,0.68,1.9,49.1,50.0,42.1,48.7
44,Lorenzo Sonego[ITA],9,22.2,63.8,7.2,2.2,6.3,65.2,70.1,51.9,55.4,81.7,30.3,6.1,2.3,24.9,39.3,11.4,24.0,50,0.48,2.4,5.6,0.57,1.3,68.9,0.59,2.9,6.8,0.9,2.1,47.5,0.0,28.6,46.4
45,Marcos Giron[USA],10,60.0,65.2,8.3,1.6,4.1,60.3,73.5,52.5,54.8,82.4,34.4,8.7,3.3,26.3,48.7,17.6,32.8,64,0.54,2.6,6.4,0.84,2.1,58.0,0.42,2.0,5.0,0.84,2.1,49.6,75.0,56.0,50.0
46,Luciano Darderi[ITA],9,55.6,62.8,6.0,1.9,4.9,61.3,68.5,53.7,56.5,74.3,38.0,8.8,3.3,29.3,50.8,22.2,43.1,51,0.52,2.4,5.7,1.05,2.4,56.7,0.59,2.9,6.7,1.24,2.9,50.3,100.0,47.6,48.5
47,Miomir Kecmanovic[SRB],9,33.3,64.7,5.5,2.1,5.5,61.3,69.4,57.3,60.6,83.5,32.8,10.7,3.1,23.2,50.2,13.8,33.3,48,0.41,2.1,5.3,0.7,1.8,63.5,0.45,2.3,5.8,0.83,2.1,49.0,16.7,39.1,48.5
48,David Goffin[BEL],6,50.0,61.0,4.3,3.0,8.2,63.0,68.3,48.6,53.0,76.7,35.7,10.6,1.5,26.3,50.7,18.0,26.8,41,0.67,3.2,6.8,0.85,1.8,57.6,0.55,2.5,5.5,1.08,2.3,48.4,100.0,46.2,47.1
49,Pedro Martinez[ESP],8,75.0,60.7,4.4,4.4,14.1,68.9,68.1,44.5,51.8,72.9,40.0,8.4,1.9,33.9,51.1,28.4,32.9,82,0.86,4.3,10.3,1.42,3.4,60.6,0.69,3.5,8.3,1.37,3.3,50.2,66.7,63.2,50.8
50,Zizou Bergs[BEL],5,40.0,60.9,5.0,3.8,9.4,59.2,70.0,47.8,52.8,75.0,36.7,3.3,4.2,28.6,53.2,20.4,36.7,30,0.56,2.7,6.0,1.0,2.2,67.5,0.77,3.6,8.0,1.18,2.6,48.9,-,45.5,47.2
51,Tomas Martin Etcheverry[ARG],8,75.0,63.1,8.5,2.1,6.2,65.4,72.9,44.6,47.5,82.6,39.2,5.2,1.8,33.7,48.5,29.1,42.4,59,0.69,3.3,7.4,1.39,3.1,66.7,0.52,2.5,5.6,0.83,1.9,51.2,33.3,66.7,55.8
