Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],55,89.1,70.9,10.0,2.3,5.8,61.0,79.5,57.5,61.1,91.5,39.8,7.8,3.2,30.8,55.2,26.4,41.9,442,0.63,3.0,8.0,1.26,3.4,74.9,0.34,1.7,4.4,0.41,1.1,54.7,71.4,81.0,59.3
2,Alexander Zverev[GER],60,70.0,70.1,10.7,2.7,9.7,72.2,76.1,54.7,60.6,89.0,36.6,7.0,2.4,28.2,51.2,20.7,37.2,460,0.56,2.7,7.7,1.02,2.9,64.2,0.31,1.5,4.2,0.54,1.5,52.7,51.4,64.9,54.9
3,Carlos Alcaraz[ESP],46,76.1,67.7,6.0,2.7,7.7,65.5,73.1,57.4,62.2,86.4,39.3,5.9,3.3,32.2,52.2,26.2,39.8,384,0.66,3.1,8.3,1.25,3.3,65.4,0.39,1.9,5.0,0.66,1.7,53.0,50.0,68.9,56.5
4,Taylor Fritz[USA],48,56.3,69.3,12.7,2.4,6.5,62.7,77.4,55.6,59.4,86.8,33.3,8.8,3.7,24.8,48.0,16.3,36.4,280,0.45,2.2,5.8,0.79,2.1,70.0,0.44,2.2,5.9,0.66,1.8,51.5,52.2,54.3,52.0
5,Jack Draper[GBR],38,50.0,66.6,10.8,4.3,10.4,59.0,76.8,51.9,57.9,83.2,36.4,8.9,3.6,28.5,49.4,21.2,39.1,256,0.54,2.7,6.7,1.04,2.6,58.9,0.41,2.0,5.0,0.81,2.1,51.0,33.3,52.1,51.9
6,Novak Djokovic[SRB],28,71.4,67.1,8.0,2.8,8.1,65.8,73.8,54.2,59.0,84.2,39.6,6.8,2.7,31.6,52.3,25.2,37.7,252,0.67,3.2,9.0,1.19,3.4,63.7,0.44,2.1,6.0,0.76,2.2,53.2,75.0,66.3,55.0
7,Casper Ruud[NOR],50,64.0,66.1,7.1,2.4,7.2,66.5,72.2,53.9,58.1,82.9,36.5,9.7,3.3,28.4,49.7,22.4,41.0,329,0.54,2.5,6.6,1.04,2.7,62.0,0.45,2.1,5.5,0.8,2.1,51.3,50.0,58.5,52.7
8,Alex De Minaur[AUS],44,61.4,63.2,5.8,3.5,7.7,54.7,71.7,53.0,57.4,78.4,40.0,6.5,3.7,30.2,54.7,27.0,43.7,343,0.62,2.9,7.8,1.28,3.4,58.5,0.52,2.4,6.5,1.01,2.7,51.2,66.7,57.3,52.5
9,Lorenzo Musetti[ITA],36,55.6,62.8,4.3,2.2,6.1,64.3,69.8,50.2,53.4,75.9,37.5,7.5,3.2,29.2,52.4,23.0,39.8,254,0.58,2.7,7.1,1.06,2.8,55.2,0.54,2.5,6.6,1.13,3.0,50.0,50.0,51.6,49.6
10,Holger Rune[DEN],39,51.3,64.7,6.8,3.7,9.3,59.9,72.2,53.4,58.9,81.6,32.4,8.8,3.5,23.9,46.2,15.3,37.9,195,0.4,2.0,5.0,0.74,1.9,63.8,0.51,2.5,6.3,0.89,2.3,48.9,50.0,48.0,48.5
11,Daniil Medvedev[RUS],49,61.2,63.5,7.5,5.5,14.2,61.5,72.7,48.7,56.8,78.2,38.4,6.6,3.2,30.7,51.1,25.2,42.2,374,0.6,2.9,7.6,1.22,3.2,60.5,0.55,2.6,6.9,1.03,2.7,50.9,70.0,57.7,51.4
12,Tommy Paul[USA],35,60.0,63.4,6.2,2.2,5.6,61.5,69.7,53.2,56.4,78.6,39.6,5.5,2.9,32.7,51.3,26.0,40.3,278,0.65,3.1,7.9,1.23,3.2,62.9,0.58,2.8,7.2,1.02,2.7,51.4,50.0,58.2,52.4
13,Ben Shelton[USA],30,46.7,66.9,10.4,3.8,12.0,68.4,73.6,52.6,59.8,85.8,30.9,7.6,3.6,24.0,42.8,13.1,33.7,163,0.39,2.0,5.4,0.67,1.8,68.8,0.45,2.3,6.4,0.73,2.0,49.3,48.0,46.3,49.5
14,Arthur Fils[FRA],32,56.3,65.3,8.4,4.1,10.5,61.3,75.0,49.8,55.7,82.5,34.5,9.1,2.5,27.1,47.7,16.5,34.2,196,0.48,2.4,6.1,0.82,2.1,65.5,0.51,2.5,6.4,0.87,2.2,49.9,56.3,51.2,49.4
