Player,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
AlexanderZverev,4.6,4.3,4.8,50.9,48.6,48.4,49.0,48.0,9.8,3.8,2.1,1.4,0.7
AndreyRublev,4.5,4.5,4.4,50.6,50.7,48.9,50.1,47.0,8.4,12.3,9.5,-0.5,-0.7
CarlosAlcaraz,4.2,4.2,4.3,53.2,55.6,55.4,55.0,53.2,11.7,10.7,9.0,1.1,1.7
CasperRuud,4.3,4.3,4.2,52.5,52.9,53.3,46.8,56.6,15.8,14.5,10.7,-0.7,-0.6
DaniilMedvedev,5.0,4.7,5.4,51.9,49.9,53.8,52.6,44.4,9.9,5.3,4.7,2.4,1.9
HolgerRune,4.6,4.7,4.6,50.8,50.5,50.8,50.7,55.2,17.0,11.6,7.8,0.7,1.2
HubertHurkacz,4.1,3.7,4.5,53.4,47.3,40.6,44.2,51.8,14.7,2.3,1.7,-3.7,-3.7
JannikSinner,4.6,4.5,4.7,53.9,52.0,52.2,56.4,50.2,4.2,7.0,4.9,1.3,1.7
NovakDjokovic,5.1,5.1,5.1,52.6,53.8,52.1,54.7,51.3,14.3,16.3,8.4,3.2,2.9
StefanosTsitsipas,4.4,4.1,4.7,52.3,50.7,45.2,53.5,55.3,18.4,12.2,7.4,-3.0,-3.4
