Player,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,28.0,33.0,0.9,15.6,18.4,23.4,28.9,0.9,14.4,17.8,7.3,4.8,0.8,13.7,17.5
AndreyRublev,25.8,26.0,1.1,15.4,15.6,22.2,24.1,1.0,14.6,16.0,9.1,3.2,0.9,17.5,19.8
CarlosAlcaraz,28.4,28.5,1.2,18.1,17.2,25.6,26.6,1.1,17.3,17.1,12.1,5.0,0.7,11.2,16.9
CasperRuud,25.4,22.3,1.3,15.9,14.2,21.4,20.6,1.2,14.6,14.3,10.1,2.6,1.0,19.4,20.4
DaniilMedvedev,23.2,26.7,1.0,14.1,16.1,19.5,23.5,1.0,12.9,15.2,5.4,5.6,0.8,16.3,21.4
HolgerRune,31.4,31.5,1.2,18.5,17.5,28.5,27.6,1.2,18.3,16.9,12.1,5.7,1.0,15.0,17.7
HubertHurkacz,32.8,36.4,1.0,17.7,19.0,22.3,34.3,0.7,13.2,20.3,8.8,4.3,1.0,14.4,17.0
JannikSinner,27.4,34.2,0.9,16.2,19.7,25.1,32.7,0.8,15.9,20.3,10.2,4.3,0.7,12.4,21.4
NovakDjokovic,31.0,29.1,1.2,17.2,15.8,28.3,27.6,1.2,16.9,16.1,9.8,5.4,0.9,15.1,18.0
StefanosTsitsipas,29.9,27.8,1.2,17.0,15.7,25.9,26.1,1.1,15.9,16.1,10.0,2.9,1.1,16.2,17.0
