Player,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg
AlexanderZverev,2.9,11.9,65.9,11.5,14.6,13.2,8.5,24.4,0.7,-45.5,-12.8
AndreyRublev,0.8,6.3,67.0,18.8,23.1,17.2,7.1,22.3,0.2,-17.7,-13.5
CarlosAlcaraz,6.1,12.6,73.3,16.9,23.4,12.1,9.2,25.2,3.3,13.2,14.4
CasperRuud,1.0,8.8,71.0,15.6,20.0,10.9,6.6,26.2,1.0,-52.1,-39.8
DaniilMedvedev,1.6,9.5,66.8,11.4,16.4,11.7,7.0,21.8,1.3,-81.4,-48.6
HolgerRune,4.3,12.4,70.9,16.4,20.1,12.6,9.8,29.8,2.9,-2.6,0.5
HubertHurkacz,3.2,13.0,68.8,13.5,17.7,12.7,7.4,18.5,1.3,-14.8,19.9
JannikSinner,1.7,10.3,72.5,14.3,21.3,15.4,7.4,27.4,1.0,-12.7,-5.6
NovakDjokovic,4.1,11.5,73.2,13.8,17.3,14.5,8.0,20.1,1.7,-49.6,-28.7
StefanosTsitsipas,4.6,13.2,72.8,16.5,23.1,12.8,6.2,20.2,1.5,-19.6,-5.3
