Player,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
AlexanderZverev,35.9,63.7,23.3,26.6,34.4,82.2,82.3,79.8,81.5,75.5
AndreyRublev,36.4,66.2,23.4,26.6,38.5,83.1,87.5,84.6,92.3,78.2
CarlosAlcaraz,43.7,68.4,32.6,29.3,36.9,82.1,83.7,81.2,87.8,83.9
CasperRuud,36.6,64.7,21.0,26.8,38.3,85.5,90.2,78.2,94.6,69.6
DaniilMedvedev,40.3,73.5,30.1,24.2,44.0,87.2,90.4,84.7,91.7,70.0
HolgerRune,32.9,66.1,19.1,27.3,44.2,84.1,87.6,82.6,93.5,78.1
HubertHurkacz,30.9,61.5,23.0,22.8,47.4,87.9,91.6,84.3,92.8,80.1
JannikSinner,40.6,72.1,26.3,29.7,44.3,83.9,83.3,84.6,88.5,79.2
NovakDjokovic,43.0,71.5,33.1,21.9,45.6,88.3,86.2,85.8,88.6,73.0
StefanosTsitsipas,31.7,60.1,18.0,23.0,37.8,86.6,88.7,84.5,86.2,75.4
