Player,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
AlexanderZverev,34.0,63.6,24.3,25.1,32.2,81.0,82.1,81.1,84.7,81.2
AndreyRublev,32.3,65.3,19.2,25.4,38.6,82.6,89.6,89.8,96.4,83.3
CarlosAlcaraz,41.4,66.3,27.0,26.6,42.0,85.3,88.4,89.3,92.3,92.9
CasperRuud,33.1,63.9,18.1,28.6,35.6,92.4,89.6,78.5,97.6,81.6
DaniilMedvedev,40.4,72.5,29.6,22.7,46.1,87.9,89.0,86.4,91.1,69.6
HolgerRune,29.4,75.8,33.8,28.8,45.1,80.7,100.0,79.8,100.0,83.3
HubertHurkacz,31.4,64.3,27.4,24.3,44.7,90.5,89.0,84.5,90.7,78.4
JannikSinner,34.5,75.6,20.4,27.9,42.7,84.7,86.7,82.7,93.3,73.3
NovakDjokovic,41.2,72.7,34.9,18.6,41.4,89.2,88.2,91.8,90.2,86.7
StefanosTsitsipas,27.5,57.6,12.7,22.3,38.2,87.1,89.0,88.2,85.5,86.7
