Player,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
AlexanderZverev,1.0,1.3,45.8,4.2,14.0,67.3,12.3,66.8,35.6,38.2
AndreyRublev,1.0,1.3,45.8,3.9,12.1,67.9,10.1,66.0,36.0,38.0
CarlosAlcaraz,1.1,1.4,49.4,22.7,5.9,67.1,5.1,67.1,38.3,42.5
CasperRuud,1.0,1.2,45.6,3.5,9.6,67.5,6.3,65.1,35.3,35.7
DaniilMedvedev,1.1,1.5,44.0,4.2,11.5,69.6,12.0,68.2,41.0,41.6
HolgerRune,1.1,1.3,45.4,2.6,7.0,65.5,9.5,64.2,35.1,34.7
HubertHurkacz,1.1,1.3,53.2,12.6,15.2,68.7,13.9,67.4,36.0,35.6
JannikSinner,1.1,1.3,47.6,4.6,7.8,65.9,7.4,65.6,37.7,40.4
NovakDjokovic,1.1,1.7,43.6,3.4,9.9,72.3,10.5,70.3,40.0,42.4
StefanosTsitsipas,1.0,1.2,47.5,7.6,10.8,69.8,7.4,66.6,32.8,33.9
