Player,RiP%,RiP W%_x,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1_x,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2_x,RetWnr%.2,RDI.2,Slice%.2,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100,Unret%,<=3 W%,RiP W%_y,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1_y,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2_y,2ndAgg,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,75.8,46.0,2.2,,2.2,15.0,72.4,43.0,2.0,2.1,21.2,88.6,50.7,2.8,2.2,4.0,4.6,4.3,4.8,50.9,48.6,48.4,49.0,48.0,9.8,3.8,2.1,1.4,0.7,27.4,37.7,52.0,34.1,35.1,47.8,55.0,45.1,50.4,40.4,15.3,22.3,45.7,6.9,3.7,13.3,63.1,10.6,13.0,7.9,7.2,21.9,1.0,-50.3,-23.1,39.4,69.3,25.9,31.1,30.7,81.3,78.9,72.8,70.8,60.7,68.2,47.4,63.1,73.9,54.9,43.1,33.2,67.6,40.4,1.0,1.2,49.4,23.8,8.8,64.7,7.9,61.8,38.8,41.5,28.0,33.0,0.9,15.6,18.4,23.4,28.9,0.9,14.4,17.8,7.3,4.8,0.8,13.7,17.5
AndreyRublev,72.2,50.5,4.6,,2.3,10.7,68.3,46.4,2.4,2.3,20.5,85.8,55.8,8.7,2.3,0.5,4.5,4.5,4.4,50.6,50.7,48.9,50.1,47.0,8.4,12.3,9.5,-0.5,-0.7,25.3,34.8,49.7,31.3,34.4,48.2,56.9,44.8,52.2,51.3,14.6,18.4,42.6,-26.1,0.5,6.5,69.4,15.7,17.8,13.2,5.7,23.1,0.4,-52.3,-44.7,41.7,64.3,27.3,35.4,21.7,78.5,76.1,76.7,79.2,71.4,61.2,42.1,55.2,62.5,49.6,39.8,26.3,60.7,43.9,1.0,1.1,52.3,7.9,6.2,61.0,6.0,62.4,39.9,41.1,25.8,26.0,1.1,15.4,15.6,22.2,24.1,1.0,14.6,16.0,9.1,3.2,0.9,17.5,19.8
CarlosAlcaraz,75.8,52.2,4.0,,2.2,6.2,75.4,49.8,3.9,2.2,8.0,85.7,55.9,4.7,2.2,2.9,4.2,4.2,4.3,53.2,55.6,55.4,55.0,53.2,11.7,10.7,9.0,1.1,1.7,23.3,37.5,57.7,31.9,28.7,45.3,59.7,41.5,47.9,57.4,14.1,24.3,54.2,-13.5,6.0,11.5,70.8,17.3,21.6,12.5,8.9,23.0,4.2,14.1,13.8,46.3,73.8,34.3,27.6,27.7,78.5,80.2,81.3,83.3,71.4,68.5,46.8,67.2,79.0,54.5,34.7,52.3,63.4,46.5,1.1,1.4,47.8,8.0,5.1,65.4,3.0,64.9,43.9,41.6,28.4,28.5,1.2,18.1,17.2,25.6,26.6,1.1,17.3,17.1,12.1,5.0,0.7,11.2,16.9
CasperRuud,74.3,46.9,3.3,,2.2,10.6,71.6,42.6,3.2,2.2,15.4,86.8,53.6,3.8,2.3,2.4,4.3,4.3,4.2,52.5,52.9,53.3,46.8,56.6,15.8,14.5,10.7,-0.7,-0.6,25.8,37.6,56.3,33.1,30.3,44.9,59.1,41.5,46.7,53.0,18.9,25.8,50.3,-2.6,0.5,8.1,73.0,16.5,21.0,10.9,6.9,25.3,1.1,-46.1,-39.6,37.9,69.0,23.6,27.8,42.9,82.5,91.3,73.9,95.8,59.4,66.2,46.0,63.8,79.6,63.5,34.2,36.1,74.6,43.9,1.1,1.3,47.0,3.6,6.3,66.8,5.0,64.8,39.0,38.7,25.4,22.3,1.3,15.9,14.2,21.4,20.6,1.2,14.6,14.3,10.1,2.6,1.0,19.4,20.4
DaniilMedvedev,79.3,47.5,2.9,,2.3,12.5,77.0,44.5,2.5,2.2,21.1,89.4,54.0,3.9,2.4,0.7,5.0,4.7,5.4,51.9,49.9,53.8,52.6,44.4,9.9,5.3,4.7,2.4,1.9,24.9,33.8,54.7,30.5,33.2,44.7,57.5,42.7,55.2,50.9,15.8,21.4,52.4,4.8,2.6,10.7,66.8,9.7,13.8,13.6,5.7,24.5,2.1,-79.5,-59.2,41.2,78.3,31.3,32.3,32.8,82.4,91.7,92.4,85.7,83.3,62.3,46.9,66.9,73.9,51.3,33.8,14.3,52.6,27.9,1.0,1.2,45.5,3.6,6.6,63.7,6.2,61.9,40.9,42.8,23.2,26.7,1.0,14.1,16.1,19.5,23.5,1.0,12.9,15.2,5.4,5.6,0.8,16.3,21.4
HolgerRune,73.3,48.9,3.3,,2.3,6.2,72.9,48.0,3.3,2.3,10.1,83.1,50.0,3.9,2.4,1.0,4.6,4.7,4.6,50.8,50.5,50.8,50.7,55.2,17.0,11.6,7.8,0.7,1.2,18.3,33.6,55.3,26.1,23.5,40.2,56.7,36.6,62.3,63.1,12.4,27.7,52.4,-17.8,7.3,14.4,70.3,13.8,15.4,11.1,8.5,30.9,4.5,-21.0,-22.6,38.3,71.1,16.0,32.6,37.9,81.8,67.4,81.2,81.2,66.7,65.4,48.3,80.1,95.0,65.3,27.8,55.0,50.0,22.8,1.2,1.3,51.0,4.5,3.7,61.2,3.1,63.9,39.8,38.9,31.4,31.5,1.2,18.5,17.5,28.5,27.6,1.2,18.3,16.9,12.1,5.7,1.0,15.0,17.7
HubertHurkacz,71.7,42.3,3.0,,2.3,17.4,69.4,38.0,2.7,2.3,26.3,81.9,49.2,4.5,2.4,7.3,4.1,3.7,4.5,53.4,47.3,40.6,44.2,51.8,14.7,2.3,1.7,-3.7,-3.7,33.8,46.7,51.9,40.5,44.8,60.0,56.5,55.8,50.4,47.4,18.7,29.0,47.5,-9.2,4.3,12.7,70.1,13.3,16.6,12.1,6.1,13.1,2.3,-14.2,15.0,28.2,66.1,15.1,24.8,40.3,79.2,83.3,75.8,85.7,68.8,69.1,41.2,63.0,58.1,60.4,42.8,49.5,60.2,24.9,1.0,1.2,55.2,6.4,14.4,69.5,10.6,65.3,33.3,35.4,32.8,36.4,1.0,17.7,19.0,22.3,34.3,0.7,13.2,20.3,8.8,4.3,1.0,14.4,17.0
JannikSinner,75.7,51.2,2.8,,2.2,8.4,74.4,47.7,2.0,2.2,13.3,89.0,55.9,5.5,2.3,1.5,4.6,4.5,4.7,53.9,52.0,52.2,56.4,50.2,4.2,7.0,4.9,1.3,1.7,24.4,33.6,54.4,30.6,29.6,42.1,56.6,39.7,42.0,59.1,17.8,22.4,51.4,1.5,2.0,10.3,68.1,13.5,18.2,15.7,6.4,29.8,1.5,-13.1,-14.5,42.4,76.1,30.3,34.5,41.7,85.1,77.0,90.0,91.2,81.2,65.0,49.9,66.2,67.8,59.7,60.0,53.9,57.9,38.3,1.1,1.5,45.5,7.2,4.4,62.7,3.0,64.1,41.6,42.6,27.4,34.2,0.9,16.2,19.7,25.1,32.7,0.8,15.9,20.3,10.2,4.3,0.7,12.4,21.4
NovakDjokovic,76.2,51.5,1.9,,2.2,10.2,72.9,49.8,1.5,2.1,14.4,88.8,54.3,2.8,2.2,2.3,5.1,5.1,5.1,52.6,53.8,52.1,54.7,51.3,14.3,16.3,8.4,3.2,2.9,20.8,32.7,57.2,28.9,25.2,40.0,60.0,37.1,49.1,50.7,12.7,18.8,51.3,-23.9,2.1,12.2,72.4,12.6,15.9,14.0,7.5,21.3,3.0,-46.0,-44.5,46.0,75.4,39.4,29.4,48.2,85.6,77.1,75.7,82.1,64.6,68.9,51.2,67.3,75.3,66.6,45.7,40.3,74.7,47.1,1.1,1.5,43.2,3.1,5.5,67.5,6.0,65.8,43.6,43.3,31.0,29.1,1.2,17.2,15.8,28.3,27.6,1.2,16.9,16.1,9.8,5.4,0.9,15.1,18.0
StefanosTsitsipas,74.2,45.8,2.9,,2.2,10.3,70.7,42.0,2.3,2.2,15.7,88.0,51.1,4.6,2.2,2.4,4.4,4.1,4.7,52.3,50.7,45.2,53.5,55.3,18.4,12.2,7.4,-3.0,-3.4,27.5,40.8,54.9,35.8,34.7,51.0,59.0,47.7,52.6,47.6,15.4,24.2,48.3,-8.8,3.5,12.7,73.3,16.0,21.4,13.6,4.2,16.1,2.1,-27.8,-20.8,38.4,69.7,20.2,26.4,32.1,83.4,86.7,81.6,81.2,69.2,70.1,47.9,63.0,72.1,52.3,40.6,35.7,71.6,31.0,1.0,1.3,47.3,3.8,7.2,68.0,6.4,64.7,38.8,38.6,29.9,27.8,1.2,17.0,15.7,25.9,26.1,1.1,15.9,16.1,10.0,2.9,1.1,16.2,17.0
