Player,RiP%,RiP W%_x,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1_x,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2_x,RetWnr%.2,RDI.2,Slice%.2,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100,Unret%,<=3 W%,RiP W%_y,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1_y,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2_y,2ndAgg,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,70.3,47.2,2.3,,2.2,18.0,64.3,43.4,1.7,2.1,25.1,87.9,52.2,3.8,2.2,4.8,4.3,4.1,4.5,50.5,51.0,47.6,49.1,49.4,12.0,4.6,3.5,2.0,1.9,31.6,42.4,52.9,38.4,40.2,53.1,56.4,50.2,48.6,41.2,16.2,23.7,46.1,6.6,2.9,11.9,65.9,11.5,14.6,13.2,8.5,24.4,0.7,-45.5,-12.8,35.9,63.7,23.3,26.6,34.4,82.2,82.3,79.8,81.5,75.5,69.9,41.1,62.9,78.5,57.1,39.7,29.6,68.5,37.1,1.0,1.3,46.8,10.3,12.5,67.0,11.2,65.6,36.7,39.3,30.1,29.6,1.2,17.2,16.8,22.1,25.4,1.0,14.4,16.5,7.9,4.7,0.9,14.8,16.6
AndreyRublev,64.5,52.3,5.6,,2.3,15.5,59.0,48.5,2.8,2.3,25.6,82.7,56.6,12.2,2.4,3.0,3.9,4.1,3.8,50.9,53.7,53.6,52.6,50.0,10.0,12.1,11.5,1.3,1.9,32.0,42.5,52.5,38.0,42.2,55.4,58.7,51.7,50.0,45.9,17.2,23.5,44.9,-15.2,0.8,6.3,67.0,18.8,23.1,17.2,7.1,22.3,0.2,-17.7,-13.5,36.4,66.2,23.4,26.6,38.5,83.1,87.5,84.6,92.3,78.2,67.9,44.1,64.6,72.5,58.7,36.0,26.5,65.0,36.3,1.0,1.3,46.3,4.2,10.5,66.7,8.9,66.2,37.7,39.4,28.5,23.2,1.4,18.5,14.5,21.6,21.3,1.2,16.2,15.4,9.9,3.3,1.2,17.8,17.7
CarlosAlcaraz,71.0,53.1,3.7,,2.2,8.7,69.2,49.0,3.3,2.2,12.1,82.4,59.3,5.0,2.3,2.9,4.0,4.0,4.0,51.7,55.5,54.5,56.6,53.1,15.6,9.6,8.1,2.5,3.2,25.4,39.0,57.0,33.6,30.4,46.3,59.6,42.8,46.6,49.8,16.9,27.2,52.1,-3.6,6.1,12.6,73.3,16.9,23.4,12.1,9.2,25.2,3.3,13.2,14.4,43.7,68.4,32.6,29.3,36.9,82.1,83.7,81.2,87.8,83.9,67.2,43.8,65.8,74.9,59.9,35.2,38.2,69.9,45.1,1.1,1.4,49.0,12.4,5.1,65.2,3.9,64.8,41.0,42.1,30.8,28.7,1.3,18.2,16.5,26.9,26.3,1.2,17.2,16.4,11.6,4.7,0.8,12.0,16.8
CasperRuud,71.7,47.1,3.4,,2.2,12.6,68.3,42.0,2.8,2.2,18.8,85.0,54.1,5.0,2.2,2.9,4.2,4.2,4.2,52.5,52.3,53.8,47.5,55.3,19.0,11.3,9.2,0.3,0.5,27.7,39.4,56.4,34.9,34.0,48.3,59.7,45.0,48.5,49.5,17.7,24.8,50.5,-3.6,1.0,8.8,71.0,15.6,20.0,10.9,6.6,26.2,1.0,-52.1,-39.8,36.6,64.7,21.0,26.8,38.3,85.5,90.2,78.2,94.6,69.6,67.5,43.2,65.0,75.4,58.5,30.3,22.8,70.1,36.5,1.0,1.3,46.1,3.3,7.7,67.8,5.5,65.1,37.9,37.4,25.9,22.7,1.3,16.5,14.2,20.9,20.6,1.2,14.9,14.4,10.0,2.9,1.1,20.0,20.0
DaniilMedvedev,74.3,49.7,3.3,,2.3,20.1,70.0,45.1,2.3,2.2,30.7,89.6,56.3,5.8,2.3,4.8,4.8,4.4,5.3,54.1,53.4,53.7,54.3,45.7,8.0,7.0,6.1,5.7,4.3,31.6,42.2,57.1,37.8,40.7,54.0,60.8,50.7,52.4,47.0,18.2,25.2,52.1,19.9,1.6,9.5,66.8,11.4,16.4,11.7,7.0,21.8,1.3,-81.4,-48.6,40.3,73.5,30.1,24.2,44.0,87.2,90.4,84.7,91.7,70.0,67.8,47.4,68.8,76.3,62.4,40.4,23.6,67.1,37.6,1.1,1.5,45.0,3.8,10.7,68.4,11.3,67.4,40.8,41.5,26.8,23.8,1.3,16.9,14.6,18.9,20.4,1.1,13.5,14.1,7.0,4.7,0.9,15.8,20.6
HolgerRune,65.6,48.8,3.4,,2.3,12.9,62.8,45.1,3.2,2.3,18.6,79.7,54.8,4.5,2.4,4.0,4.0,4.0,3.9,49.9,52.8,51.8,48.0,55.1,16.3,9.5,9.2,0.9,1.9,25.9,39.7,55.0,33.8,32.0,47.3,57.2,44.2,61.3,49.6,17.8,30.3,50.7,13.9,4.3,12.4,70.9,16.4,20.1,12.6,9.8,29.8,2.9,-2.6,0.5,32.9,66.1,19.1,27.3,44.2,84.1,87.6,82.6,93.5,78.1,67.7,43.2,70.6,80.2,65.1,39.9,37.2,64.3,43.8,1.1,1.3,47.8,3.3,6.3,65.1,7.0,66.0,36.4,36.4,31.8,27.8,1.4,19.1,16.1,26.3,23.7,1.3,17.9,15.6,10.6,5.1,1.2,16.4,16.0
HubertHurkacz,68.6,45.7,3.4,,2.3,22.0,64.8,41.6,2.6,2.2,33.3,82.5,51.2,5.5,2.3,8.0,3.8,3.5,4.1,53.7,49.2,46.3,48.5,52.6,16.6,2.3,2.6,-1.8,-1.4,36.7,48.4,52.1,43.1,47.2,60.6,56.6,57.3,48.4,48.7,19.2,28.7,46.8,-9.4,3.2,13.0,68.8,13.5,17.7,12.7,7.4,18.5,1.3,-14.8,19.9,30.9,61.5,23.0,22.8,47.4,87.9,91.6,84.3,92.8,80.1,69.6,39.7,64.1,72.7,64.6,37.5,29.5,66.9,37.6,1.1,1.3,53.8,8.1,15.2,69.0,13.4,68.1,35.2,35.5,30.8,29.6,1.2,18.1,17.2,19.2,27.5,0.8,12.9,18.5,8.5,3.9,1.0,15.0,17.5
JannikSinner,70.2,51.3,2.7,,2.2,14.0,66.6,47.5,2.0,2.2,23.0,84.8,56.0,4.8,2.2,3.2,4.4,4.4,4.2,53.0,51.8,53.4,55.3,51.3,5.8,7.6,6.3,1.6,1.9,27.9,38.2,55.5,34.0,36.6,50.2,59.7,46.7,46.1,53.4,16.4,22.3,50.6,-8.8,1.7,10.3,72.5,14.3,21.3,15.4,7.4,27.4,1.0,-12.7,-5.6,40.6,72.1,26.3,29.7,44.3,83.9,83.3,84.6,88.5,79.2,67.3,46.2,66.6,74.7,63.2,38.2,29.4,65.6,42.6,1.1,1.4,47.3,4.5,7.3,65.7,5.7,65.7,40.8,41.0,26.4,30.2,1.0,16.2,18.3,21.1,28.0,0.9,14.3,18.9,9.5,3.9,0.7,13.2,19.7
NovakDjokovic,70.2,53.0,2.4,,2.2,15.2,65.5,49.0,1.7,2.1,22.8,86.8,58.5,4.2,2.3,3.8,4.6,4.5,4.7,53.5,55.2,55.2,57.3,49.4,17.1,13.2,9.3,5.0,4.8,29.8,41.2,58.5,36.9,37.4,51.7,61.9,48.3,49.2,49.0,17.3,23.7,53.2,-0.3,4.1,11.5,73.2,13.8,17.3,14.5,8.0,20.1,1.7,-49.6,-28.7,43.0,71.5,33.1,21.9,45.6,88.3,86.2,85.8,88.6,73.0,71.2,47.1,68.2,78.3,61.2,38.0,38.2,73.7,45.4,1.1,1.7,42.9,3.5,8.5,70.9,9.1,69.0,41.2,42.3,29.4,25.0,1.4,17.0,14.0,23.6,22.7,1.3,15.3,14.3,9.2,4.7,1.0,15.9,18.0
StefanosTsitsipas,68.3,44.2,3.2,,2.2,12.1,63.5,40.7,2.2,2.2,18.2,85.1,48.9,5.7,2.2,3.8,4.0,3.8,4.2,51.9,49.8,46.8,51.5,53.5,23.4,9.7,7.4,-2.0,-2.1,31.0,44.2,55.8,39.0,39.7,55.3,61.3,52.2,50.9,44.9,16.9,26.6,48.1,-6.0,4.6,13.2,72.8,16.5,23.1,12.8,6.2,20.2,1.5,-19.6,-5.3,31.7,60.1,18.0,23.0,37.8,86.6,88.7,84.5,86.2,75.4,69.8,39.6,63.1,72.4,56.7,38.8,24.9,69.5,35.0,1.0,1.3,48.3,5.2,9.7,69.4,7.1,66.7,35.6,35.2,30.4,26.3,1.3,17.2,15.1,23.5,24.1,1.1,14.9,15.5,9.9,3.2,1.2,17.3,16.3
