Player,RiP%,RiP W%_x,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1_x,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2_x,RetWnr%.2,RDI.2,Slice%.2,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100,Unret%,<=3 W%,RiP W%_y,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1_y,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2_y,2ndAgg,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,68.6,47.5,2.5,,2.1,19.3,61.6,43.5,1.7,2.1,26.9,87.5,52.6,4.4,2.3,4.7,4.3,4.1,4.5,50.3,52.2,46.7,48.9,50.6,12.5,4.1,3.2,1.6,1.6,33.9,44.7,52.4,40.9,43.1,55.9,56.0,53.0,47.8,41.9,15.4,22.3,45.4,-0.6,2.9,11.4,67.5,10.8,14.6,16.1,8.3,24.0,0.6,-45.4,-9.4,34.0,63.6,24.3,25.1,32.2,81.0,82.1,81.1,84.7,81.2,69.2,40.0,62.2,79.6,54.8,39.1,28.8,70.0,34.8,1.0,1.3,45.8,4.2,14.0,67.3,12.3,66.8,35.6,38.2,32.1,29.9,1.2,18.0,16.7,22.5,25.8,1.1,14.6,16.8,8.3,4.5,1.0,14.8,16.3
AndreyRublev,62.0,51.7,6.0,,2.3,16.6,55.5,47.7,3.1,2.3,26.5,82.1,56.4,13.2,2.4,3.5,3.8,4.0,3.7,49.9,52.9,53.7,54.0,50.8,10.1,11.6,11.1,1.3,2.2,33.8,44.1,52.0,39.6,44.4,56.8,58.3,53.3,49.4,44.6,18.0,24.7,43.9,-13.8,0.8,6.2,65.5,19.1,23.6,18.4,7.3,23.0,0.1,-11.7,-7.3,32.3,65.3,19.2,25.4,38.6,82.6,89.6,89.8,96.4,83.3,69.2,44.3,63.4,72.9,58.5,31.2,22.3,65.4,36.3,1.0,1.3,45.8,3.9,12.1,67.9,10.1,66.0,36.0,38.0,29.3,23.5,1.5,19.1,14.6,21.6,21.6,1.2,16.5,15.7,9.9,3.3,1.3,18.3,17.1
CarlosAlcaraz,68.2,53.0,3.7,,2.2,10.6,66.2,48.0,3.2,2.2,14.8,79.8,60.7,5.2,2.3,3.1,4.0,4.0,4.0,50.9,56.4,54.1,58.4,53.3,17.3,9.0,7.1,2.4,3.1,26.6,39.9,58.0,34.6,31.5,47.1,60.6,43.7,46.7,43.6,17.6,27.7,53.1,-5.1,6.5,13.1,75.7,15.9,22.9,13.1,8.3,23.8,2.7,4.1,8.1,41.4,66.3,27.0,26.6,42.0,85.3,88.4,89.3,92.3,92.9,70.1,42.8,66.5,72.7,60.9,39.9,38.3,70.8,42.8,1.1,1.4,49.4,22.7,5.9,67.1,5.1,67.1,38.3,42.5,31.8,30.0,1.2,18.2,16.8,27.6,27.6,1.2,17.3,16.9,11.7,4.4,0.8,12.4,17.8
CasperRuud,68.1,46.7,3.8,,2.2,16.1,63.7,41.7,2.5,2.2,23.9,82.7,53.4,6.7,2.2,4.1,4.2,4.2,4.2,51.1,51.5,53.0,46.9,54.3,23.1,8.8,7.5,0.8,0.9,29.0,40.5,55.2,36.2,36.0,49.9,59.1,46.8,48.7,46.4,16.6,23.5,48.9,-8.7,1.2,8.9,69.9,14.6,19.6,12.4,6.2,26.3,0.9,-57.8,-43.4,33.1,63.9,18.1,28.6,35.6,92.4,89.6,78.5,97.6,81.6,69.3,43.7,65.5,73.9,57.0,30.1,18.9,66.5,26.9,1.0,1.2,45.6,3.5,9.6,67.5,6.3,65.1,35.3,35.7,26.7,23.4,1.4,16.6,14.2,21.0,21.3,1.2,14.6,14.7,9.6,3.0,1.2,20.7,19.5
DaniilMedvedev,73.6,49.9,3.2,,2.2,20.7,69.4,45.4,2.2,2.2,30.8,89.7,56.5,6.2,2.3,5.8,4.8,4.4,5.3,54.2,54.2,54.2,55.2,46.3,7.2,7.5,6.2,6.3,4.4,32.4,42.8,57.7,38.6,41.4,54.6,61.3,51.2,52.3,46.3,19.0,26.0,52.9,29.6,1.4,9.1,68.0,11.4,16.7,12.1,7.0,21.3,1.1,-82.2,-47.5,40.4,72.5,29.6,22.7,46.1,87.9,89.0,86.4,91.1,69.6,69.4,47.5,70.1,79.0,64.0,43.9,26.8,70.2,40.3,1.1,1.5,44.0,4.2,11.5,69.6,12.0,68.2,41.0,41.6,27.7,24.3,1.3,17.1,14.6,19.1,20.8,1.1,13.5,14.2,7.3,4.5,0.8,15.3,20.7
HolgerRune,61.7,50.3,3.4,,2.3,16.7,57.1,46.6,3.1,2.2,23.4,77.3,56.9,4.4,2.4,5.7,3.7,3.7,3.7,48.1,53.6,54.3,50.1,54.6,16.7,7.6,8.2,-0.2,0.7,29.7,41.5,53.5,37.1,36.8,50.7,56.1,48.1,59.3,42.3,20.4,29.2,47.8,46.8,3.3,11.9,70.4,16.5,21.0,11.8,10.0,30.4,2.1,4.6,13.1,29.4,75.8,33.8,28.8,45.1,80.7,100.0,79.8,100.0,83.3,67.5,49.0,68.6,80.3,64.2,40.9,18.5,61.2,59.8,1.1,1.3,45.4,2.6,7.0,65.5,9.5,64.2,35.1,34.7,33.9,29.1,1.3,20.8,17.5,27.3,24.1,1.3,19.4,16.8,10.5,5.0,1.2,17.9,16.2
HubertHurkacz,68.7,46.4,3.4,,2.3,22.2,64.9,42.1,2.7,2.2,33.9,83.0,52.2,5.3,2.3,7.5,3.9,3.6,4.2,53.8,49.7,47.0,50.1,52.5,15.5,2.5,2.7,-1.9,-1.7,36.9,48.0,51.5,43.0,47.2,59.9,56.1,56.8,48.0,48.9,19.1,28.2,46.0,-3.9,2.6,12.4,68.9,13.3,17.5,12.3,6.8,18.8,1.0,-18.7,17.9,31.4,64.3,27.4,24.3,44.7,90.5,89.0,84.5,90.7,78.4,69.3,43.8,65.9,75.5,63.8,34.6,20.9,65.8,39.6,1.1,1.3,53.2,12.6,15.2,68.7,13.9,67.4,36.0,35.6,29.3,29.5,1.1,17.8,17.5,17.7,27.5,0.7,12.4,19.0,8.3,3.6,0.9,14.7,18.0
JannikSinner,68.8,50.5,3.0,,2.2,14.7,64.4,46.3,2.2,2.2,24.6,84.1,55.8,5.4,2.2,3.1,4.4,4.6,4.2,52.4,50.8,50.9,52.0,52.3,5.8,7.8,5.4,0.2,0.1,27.2,37.4,54.3,33.1,36.8,50.1,59.1,46.7,46.5,54.7,14.4,20.6,48.9,-6.4,1.8,10.2,73.6,12.8,19.6,12.5,6.2,23.5,1.0,-27.4,-14.9,34.5,75.6,20.4,27.9,42.7,84.7,86.7,82.7,93.3,73.3,66.1,49.5,63.5,74.1,64.8,33.3,22.5,64.9,42.9,1.1,1.3,47.6,4.6,7.8,65.9,7.4,65.6,37.7,40.4,27.7,32.5,1.0,15.5,18.2,21.3,29.8,0.8,13.2,18.9,9.0,3.5,0.8,14.1,19.8
NovakDjokovic,67.7,53.7,2.4,,2.2,17.1,62.3,49.0,1.6,2.1,25.9,86.0,59.8,4.3,2.3,4.5,4.4,4.2,4.5,54.3,55.6,57.0,58.0,49.3,17.2,12.7,9.8,5.2,5.2,33.4,44.6,59.3,40.3,41.8,56.0,62.9,52.3,48.9,49.3,20.3,26.3,54.3,16.0,4.8,10.5,74.4,14.2,17.9,16.4,8.0,18.4,1.2,-50.3,-23.2,41.2,72.7,34.9,18.6,41.4,89.2,88.2,91.8,90.2,86.7,72.9,48.9,71.2,82.5,54.9,34.3,35.4,76.4,44.7,1.1,1.7,43.6,3.4,9.9,72.3,10.5,70.3,40.0,42.4,28.2,24.5,1.4,16.8,14.0,21.7,21.9,1.3,14.9,14.4,9.3,4.2,0.9,15.9,18.6
StefanosTsitsipas,65.6,42.9,3.6,,2.2,13.0,60.0,39.2,2.5,2.2,19.0,84.1,47.9,6.6,2.2,4.5,3.9,3.7,4.0,50.6,48.8,47.4,49.5,52.8,25.3,9.2,7.0,-1.7,-2.0,31.9,44.7,55.0,39.6,41.2,55.9,60.4,53.1,51.4,44.6,17.0,26.9,47.4,-1.2,4.6,12.6,71.8,16.3,23.3,13.1,6.5,23.1,1.1,-19.8,-0.8,27.5,57.6,12.7,22.3,38.2,87.1,89.0,88.2,85.5,86.7,69.7,37.4,68.3,76.5,57.3,37.5,19.6,64.9,35.4,1.0,1.2,47.5,7.6,10.8,69.8,7.4,66.6,32.8,33.9,30.9,27.6,1.2,16.9,15.3,22.8,25.1,1.0,14.2,15.8,9.8,3.1,1.2,17.9,15.9
