Player,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
AlexanderZverev,77.2,47.3,1.8,,2.2,15.9,72.7,42.5,1.0,2.2,23.7,91.6,53.7,3.4,2.3,1.8
AndreyRublev,66.3,54.1,3.6,,2.3,19.4,61.2,55.5,0.9,2.2,28.7,80.1,52.4,9.5,2.5,5.1
CarlosAlcaraz,74.9,56.5,3.6,,2.2,5.8,73.9,52.2,4.6,2.2,8.0,86.2,64.8,2.0,2.2,0.0
CasperRuud,77.1,50.9,2.8,,2.2,8.8,75.6,49.8,1.4,2.2,13.5,86.5,52.8,6.1,2.3,0.6
DaniilMedvedev,92.2,54.2,1.6,,2.3,17.6,89.4,52.4,0.0,2.2,33.3,100.0,58.8,5.9,2.3,0.0
HolgerRune,61.0,40.5,6.4,,2.1,7.5,55.2,33.6,5.2,2.1,11.2,76.3,48.9,8.9,2.1,2.1
HubertHurkacz,76.3,43.7,3.3,,2.3,13.1,75.2,42.3,3.6,2.3,23.2,84.3,44.6,3.4,2.3,4.4
JannikSinner,73.3,52.3,2.6,,2.2,18.6,71.9,49.9,2.7,2.1,27.3,87.3,56.8,3.5,2.3,5.0
NovakDjokovic,77.4,52.7,3.9,,2.2,15.6,77.0,49.5,1.6,2.2,23.6,85.3,56.3,9.0,2.3,2.1
StefanosTsitsipas,74.7,52.6,2.6,,2.3,5.7,69.9,52.3,1.5,2.2,9.0,89.6,51.6,5.7,2.4,0.6
