Player,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg
AlexanderZverev,2.4,11.9,62.8,12.3,14.1,13.3,9.1,28.1,0.8,-58.3,-30.1
AndreyRublev,1.7,8.8,74.6,29.8,33.4,16.0,10.8,23.7,0.5,56.3,22.3
CarlosAlcaraz,6.8,12.6,74.5,19.8,21.9,23.8,8.3,33.8,3.5,-4.0,-24.0
CasperRuud,0.7,10.0,73.0,16.0,21.1,15.3,7.7,28.2,1.0,-51.5,-45.6
DaniilMedvedev,0.0,9.6,72.7,3.4,5.1,0.0,4.2,25.0,0.6,-158.0,-157.0
HolgerRune,5.2,12.1,63.4,13.9,15.6,13.1,9.1,34.3,4.1,-1.6,-19.6
HubertHurkacz,8.4,17.2,70.6,12.4,17.9,12.0,5.5,12.5,1.9,-16.3,8.9
JannikSinner,1.6,10.8,78.6,18.8,19.1,20.2,8.0,29.6,2.2,-26.3,-12.8
NovakDjokovic,4.9,17.4,70.4,13.0,16.1,9.8,10.1,25.0,3.9,-41.8,-27.7
StefanosTsitsipas,5.7,13.2,71.0,20.0,24.1,11.2,6.8,27.4,2.7,-4.1,-10.6
