Player,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
AlexanderZverev,76.1,39.1,67.8,80.6,54.5,33.1,23.3,62.4,36.0
AndreyRublev,69.8,41.0,57.1,86.7,63.4,38.9,0.0,71.0,14.0
CarlosAlcaraz,67.9,44.2,70.8,76.7,61.1,29.2,0.0,68.3,75.7
CasperRuud,69.8,48.4,81.9,80.3,57.4,31.0,0.0,67.0,50.0
DaniilMedvedev,62.0,40.0,100.0,100.0,50.0,,,,
HolgerRune,63.8,23.6,61.3,50.0,64.4,41.7,53.3,58.7,34.0
HubertHurkacz,66.8,50.4,70.5,77.8,65.4,55.7,57.5,78.4,47.0
JannikSinner,74.3,51.4,74.4,87.0,65.3,29.7,33.3,85.5,27.0
NovakDjokovic,79.6,56.1,73.5,94.4,47.6,36.7,33.3,68.5,44.5
StefanosTsitsipas,70.5,48.9,67.9,74.1,65.2,47.0,25.0,61.0,43.3
