Player,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
AlexanderZverev,1.0,1.5,48.6,4.2,15.9,70.2,10.5,68.4,38.7,39.8
AndreyRublev,1.1,1.7,45.8,3.0,11.2,73.5,9.1,69.2,36.4,39.2
CarlosAlcaraz,1.1,1.5,39.9,3.0,3.9,64.9,1.9,63.8,50.1,44.5
CasperRuud,1.1,1.4,47.1,2.7,6.6,66.0,3.3,65.0,43.2,41.5
DaniilMedvedev,0.9,1.6,48.4,2.3,0.0,74.1,0.0,69.6,47.1,53.3
HolgerRune,1.0,0.7,57.9,3.5,3.8,53.9,3.9,60.9,30.4,23.9
HubertHurkacz,1.0,1.2,49.7,3.6,15.4,66.8,11.4,66.1,36.0,37.5
JannikSinner,1.1,1.7,41.1,3.4,6.1,70.7,5.8,72.6,42.9,42.9
NovakDjokovic,1.0,1.5,42.6,4.0,4.4,66.8,6.3,68.3,46.5,42.3
StefanosTsitsipas,1.1,1.5,45.3,3.3,4.7,65.7,5.0,67.8,40.4,43.5
