Player,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
AlexanderZverev,70.9,48.0,2.1,,2.2,21.3,65.0,44.2,1.8,2.2,30.0,87.8,54.0,3.1,2.3,4.8
AndreyRublev,61.9,54.0,4.1,,2.3,21.9,54.0,51.9,2.2,2.3,36.9,81.8,56.9,8.3,2.4,3.2
CarlosAlcaraz,71.0,54.3,3.9,,2.3,12.7,70.0,49.4,3.8,2.2,18.2,81.2,62.6,4.8,2.4,3.9
CasperRuud,71.5,47.6,3.5,,2.3,12.6,68.5,43.2,2.4,2.2,17.4,82.8,53.5,6.3,2.4,3.2
DaniilMedvedev,72.9,50.1,2.9,,2.2,20.5,68.5,47.2,1.7,2.2,31.2,88.1,54.7,5.7,2.3,5.1
HolgerRune,64.3,44.4,4.7,,2.2,13.6,59.0,38.0,3.5,2.2,19.8,78.3,53.1,7.8,2.3,5.5
HubertHurkacz,70.2,44.0,3.2,,2.2,17.3,66.1,39.4,3.3,2.2,27.2,83.0,49.8,3.7,2.3,6.7
JannikSinner,71.1,54.1,2.9,,2.2,16.1,65.9,49.5,1.7,2.1,26.2,88.2,60.8,5.7,2.3,4.6
NovakDjokovic,71.3,52.1,3.0,,2.2,17.6,68.1,48.2,1.9,2.2,26.8,85.0,57.3,5.6,2.2,2.8
StefanosTsitsipas,67.4,48.0,4.2,,2.3,11.5,62.4,45.7,2.4,2.2,18.9,82.2,51.2,8.1,2.4,1.8
