Player,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg
AlexanderZverev,35.7,47.6,59.9,43.4,42.5,55.8,62.5,53.3,52.0,44.4,21.1,30.8,55.3,13.6
AndreyRublev,33.5,47.1,56.1,40.9,41.3,57.5,61.1,53.0,51.9,50.7,21.1,30.7,49.4,-3.9
CarlosAlcaraz,28.7,42.6,58.7,37.1,34.6,51.4,61.5,47.5,48.4,48.4,19.9,29.0,54.5,6.2
CasperRuud,26.8,40.1,56.3,35.1,32.3,48.8,60.5,44.9,47.1,53.6,17.2,24.8,49.4,-17.4
DaniilMedvedev,28.7,36.9,56.5,34.0,36.9,47.2,59.7,45.5,52.6,45.5,18.7,23.8,52.6,32.8
HolgerRune,25.0,37.2,51.9,32.1,31.9,46.4,55.3,43.9,51.9,45.0,16.0,26.2,47.5,4.7
HubertHurkacz,37.9,51.3,52.7,44.5,49.4,63.5,55.9,59.7,52.0,51.7,18.7,31.7,49.0,-12.2
JannikSinner,32.6,44.9,60.9,39.4,43.1,58.3,65.3,54.1,48.2,54.4,17.6,25.8,55.7,-7.3
NovakDjokovic,30.6,42.9,58.9,38.1,37.7,52.2,61.9,49.2,49.8,49.5,18.4,27.1,53.5,-0.5
StefanosTsitsipas,28.9,43.7,54.6,37.1,36.5,54.9,58.2,49.9,52.5,49.7,18.3,28.3,49.8,9.5
