Player,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,36.7,26.9,1.6,22.3,15.1,26.7,24.3,1.3,18.7,15.7,8.5,5.3,1.1,18.2,17.4
AndreyRublev,36.3,24.1,1.9,23.9,14.4,27.9,21.8,1.6,21.5,15.3,11.4,3.3,1.5,23.4,16.6
CarlosAlcaraz,35.4,25.5,1.5,23.1,15.8,30.5,23.2,1.4,21.8,15.9,12.5,4.7,0.9,15.7,17.9
CasperRuud,29.0,22.9,1.4,18.2,14.1,23.0,20.6,1.2,16.5,14.3,10.6,3.3,1.3,21.5,18.4
DaniilMedvedev,29.7,27.8,1.3,17.6,15.5,22.0,22.9,1.2,15.1,14.4,6.5,4.2,1.0,19.3,22.3
HolgerRune,31.5,29.1,1.1,17.5,16.9,25.3,26.0,1.0,16.0,17.0,9.6,4.6,1.4,19.0,14.5
HubertHurkacz,32.4,28.7,1.3,19.3,16.9,19.4,27.0,0.8,13.4,18.4,9.1,4.0,1.1,15.1,15.9
JannikSinner,30.0,23.2,1.5,18.9,14.0,22.4,21.3,1.2,16.0,14.5,10.0,4.3,0.8,15.3,20.5
NovakDjokovic,27.1,21.5,1.5,17.8,13.2,20.0,19.2,1.2,14.9,13.4,7.8,5.0,1.1,18.0,17.7
StefanosTsitsipas,30.2,24.8,1.3,20.5,16.5,23.5,21.8,1.2,18.3,16.4,10.4,3.7,1.4,18.7,15.5
