Player,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
AlexanderZverev,69.2,48.8,2.2,,2.2,21.6,63.3,46.0,2.3,2.1,28.8,86.3,54.2,2.4,2.2,6.2
AndreyRublev,61.2,52.7,4.0,,2.3,21.8,52.9,49.2,2.4,2.3,35.1,82.7,56.9,7.3,2.4,2.6
CarlosAlcaraz,71.0,54.0,3.5,,2.3,14.9,70.2,49.0,3.2,2.2,20.9,80.6,62.3,5.0,2.4,5.4
CasperRuud,66.9,44.4,4.5,,2.3,7.9,62.7,36.8,3.4,2.3,11.1,80.1,55.1,6.8,2.4,2.2
DaniilMedvedev,72.5,49.7,2.8,,2.2,19.5,68.4,46.7,1.6,2.2,30.3,87.8,54.3,5.7,2.3,4.3
HolgerRune,66.1,46.7,4.3,,2.2,12.6,60.9,39.7,3.1,2.2,18.3,79.7,56.6,7.5,2.3,4.6
HubertHurkacz,67.2,44.5,3.2,,2.2,17.9,61.4,39.1,3.7,2.1,27.9,82.5,50.8,3.4,2.2,8.2
JannikSinner,71.6,54.7,3.0,,2.2,15.3,65.7,49.8,1.5,2.1,25.4,88.7,61.5,6.0,2.3,5.1
NovakDjokovic,67.8,52.2,3.2,,2.2,17.1,63.2,48.9,2.2,2.2,26.5,83.6,55.5,5.3,2.2,2.4
StefanosTsitsipas,62.7,46.2,5.0,,2.3,12.9,58.1,43.3,2.8,2.3,21.0,78.2,50.5,9.7,2.3,1.8
