Player,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
AlexanderZverev,4.2,4.1,4.3,53.2,55.0,54.9,55.4,51.9,10.2,4.4,5.2,5.6,5.1
AndreyRublev,3.7,3.8,3.6,50.2,54.7,56.6,53.6,54.5,9.1,15.0,13.5,2.4,3.1
CarlosAlcaraz,4.0,3.9,4.2,53.2,58.1,54.0,60.5,53.9,17.1,10.7,10.4,2.5,3.6
CasperRuud,4.0,3.9,4.0,50.1,47.7,45.4,45.4,54.5,20.4,9.7,7.2,-1.5,-2.3
DaniilMedvedev,4.9,4.7,5.1,50.3,53.6,52.4,55.7,44.4,7.4,5.8,4.7,4.9,2.7
HolgerRune,4.0,3.9,4.0,45.9,51.4,52.3,49.4,52.2,14.8,6.9,5.1,0.6,1.2
HubertHurkacz,3.7,3.3,4.1,53.4,49.5,39.4,45.1,53.6,19.1,2.7,1.4,-2.3,-3.4
JannikSinner,4.3,4.2,4.4,56.0,58.6,53.9,60.2,51.1,6.8,12.6,10.5,6.7,5.8
NovakDjokovic,4.5,4.2,4.6,53.8,55.6,54.0,56.8,49.5,16.0,12.1,9.7,7.6,6.8
StefanosTsitsipas,3.5,3.4,3.7,49.7,47.3,51.5,45.1,52.8,28.3,11.1,10.6,-2.6,-4.8
