Player,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
AlexanderZverev,72.9,48.7,66.4,78.8,67.8,31.5,20.4,65.2,40.5
AndreyRublev,69.7,40.1,53.6,63.4,64.6,32.8,22.9,62.4,39.7
CarlosAlcaraz,71.7,44.2,68.4,77.6,67.9,37.0,19.7,58.5,39.2
CasperRuud,66.2,43.8,68.7,79.6,49.8,30.9,11.1,68.9,23.8
DaniilMedvedev,65.8,42.3,65.7,73.1,58.4,33.4,30.7,67.4,40.8
HolgerRune,64.6,27.6,58.3,81.2,49.4,35.3,43.5,59.3,35.2
HubertHurkacz,74.9,32.7,68.0,69.6,65.7,32.1,29.8,68.8,29.5
JannikSinner,76.1,44.1,74.4,78.7,75.6,37.0,44.4,74.9,52.6
NovakDjokovic,72.7,44.4,77.7,76.1,63.0,35.7,18.8,69.5,37.9
StefanosTsitsipas,70.3,44.2,74.5,70.8,62.1,28.4,22.2,65.3,18.7
