Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,<=3 W%,SvImpact,1st: Unret%,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,72.4,43.0,2.8,4.3,4.8,50.9,48.6,48.4,49.0,37.7,34.1,35.1,50.4,40.4,6.9,3.7,63.1,1.0,25.9,81.3,78.9,72.8,70.8,60.7,15.6,18.4
AndreyRublev,68.3,46.4,8.7,4.5,4.4,50.6,50.7,48.9,50.1,34.8,31.3,34.4,52.2,51.3,-26.1,0.5,69.4,0.4,27.3,78.5,76.1,76.7,79.2,71.4,15.4,15.6
CarlosAlcaraz,75.4,49.8,4.7,4.2,4.3,53.2,55.6,55.4,55.0,37.5,31.9,28.7,47.9,57.4,-13.5,6.0,70.8,4.2,34.3,78.5,80.2,81.3,83.3,71.4,18.1,17.2
CasperRuud,71.6,42.6,3.8,4.3,4.2,52.5,52.9,53.3,46.8,37.6,33.1,30.3,46.7,53.0,-2.6,0.5,73.0,1.1,23.6,82.5,91.3,73.9,95.8,59.4,15.9,14.2
DaniilMedvedev,77.0,44.5,3.9,4.7,5.4,51.9,49.9,53.8,52.6,33.8,30.5,33.2,55.2,50.9,4.8,2.6,66.8,2.1,31.3,82.4,91.7,92.4,85.7,83.3,14.1,16.1
HolgerRune,72.9,48.0,3.9,4.7,4.6,50.8,50.5,50.8,50.7,33.6,26.1,23.5,62.3,63.1,-17.8,7.3,70.3,4.5,16.0,81.8,67.4,81.2,81.2,66.7,18.5,17.5
HubertHurkacz,69.4,38.0,4.5,3.7,4.5,53.4,47.3,40.6,44.2,46.7,40.5,44.8,50.4,47.4,-9.2,4.3,70.1,2.3,15.1,79.2,83.3,75.8,85.7,68.8,17.7,19.0
JannikSinner,74.4,47.7,5.5,4.5,4.7,53.9,52.0,52.2,56.4,33.6,30.6,29.6,42.0,59.1,1.5,2.0,68.1,1.5,30.3,85.1,77.0,90.0,91.2,81.2,16.2,19.7
NovakDjokovic,72.9,49.8,2.8,5.1,5.1,52.6,53.8,52.1,54.7,32.7,28.9,25.2,49.1,50.7,-23.9,2.1,72.4,3.0,39.4,85.6,77.1,75.7,82.1,64.6,17.2,15.8
StefanosTsitsipas,70.7,42.0,4.6,4.1,4.7,52.3,50.7,45.2,53.5,40.8,35.8,34.7,52.6,47.6,-8.8,3.5,73.3,2.1,20.2,83.4,86.7,81.6,81.2,69.2,17.0,15.7
