Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,<=3 W%,SvImpact,1st: Unret%,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,64.3,43.4,3.8,4.1,4.5,50.5,51.0,47.6,49.1,42.4,38.4,40.2,48.6,41.2,6.6,2.9,65.9,0.7,23.3,82.2,82.3,79.8,81.5,75.5,17.2,16.8
AndreyRublev,59.0,48.5,12.2,4.1,3.8,50.9,53.7,53.6,52.6,42.5,38.0,42.2,50.0,45.9,-15.2,0.8,67.0,0.2,23.4,83.1,87.5,84.6,92.3,78.2,18.5,14.5
CarlosAlcaraz,69.2,49.0,5.0,4.0,4.0,51.7,55.5,54.5,56.6,39.0,33.6,30.4,46.6,49.8,-3.6,6.1,73.3,3.3,32.6,82.1,83.7,81.2,87.8,83.9,18.2,16.5
CasperRuud,68.3,42.0,5.0,4.2,4.2,52.5,52.3,53.8,47.5,39.4,34.9,34.0,48.5,49.5,-3.6,1.0,71.0,1.0,21.0,85.5,90.2,78.2,94.6,69.6,16.5,14.2
DaniilMedvedev,70.0,45.1,5.8,4.4,5.3,54.1,53.4,53.7,54.3,42.2,37.8,40.7,52.4,47.0,19.9,1.6,66.8,1.3,30.1,87.2,90.4,84.7,91.7,70.0,16.9,14.6
HolgerRune,62.8,45.1,4.5,4.0,3.9,49.9,52.8,51.8,48.0,39.7,33.8,32.0,61.3,49.6,13.9,4.3,70.9,2.9,19.1,84.1,87.6,82.6,93.5,78.1,19.1,16.1
HubertHurkacz,64.8,41.6,5.5,3.5,4.1,53.7,49.2,46.3,48.5,48.4,43.1,47.2,48.4,48.7,-9.4,3.2,68.8,1.3,23.0,87.9,91.6,84.3,92.8,80.1,18.1,17.2
JannikSinner,66.6,47.5,4.8,4.4,4.2,53.0,51.8,53.4,55.3,38.2,34.0,36.6,46.1,53.4,-8.8,1.7,72.5,1.0,26.3,83.9,83.3,84.6,88.5,79.2,16.2,18.3
NovakDjokovic,65.5,49.0,4.2,4.5,4.7,53.5,55.2,55.2,57.3,41.2,36.9,37.4,49.2,49.0,-0.3,4.1,73.2,1.7,33.1,88.3,86.2,85.8,88.6,73.0,17.0,14.0
StefanosTsitsipas,63.5,40.7,5.7,3.8,4.2,51.9,49.8,46.8,51.5,44.2,39.0,39.7,50.9,44.9,-6.0,4.6,72.8,1.5,18.0,86.6,88.7,84.5,86.2,75.4,17.2,15.1
