Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,<=3 W%,SvImpact,1st: Unret%,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,61.6,43.5,4.4,4.1,4.5,50.3,52.2,46.7,48.9,44.7,40.9,43.1,47.8,41.9,-0.6,2.9,67.5,0.6,24.3,81.0,82.1,81.1,84.7,81.2,18.0,16.7
AndreyRublev,55.5,47.7,13.2,4.0,3.7,49.9,52.9,53.7,54.0,44.1,39.6,44.4,49.4,44.6,-13.8,0.8,65.5,0.1,19.2,82.6,89.6,89.8,96.4,83.3,19.1,14.6
CarlosAlcaraz,66.2,48.0,5.2,4.0,4.0,50.9,56.4,54.1,58.4,39.9,34.6,31.5,46.7,43.6,-5.1,6.5,75.7,2.7,27.0,85.3,88.4,89.3,92.3,92.9,18.2,16.8
CasperRuud,63.7,41.7,6.7,4.2,4.2,51.1,51.5,53.0,46.9,40.5,36.2,36.0,48.7,46.4,-8.7,1.2,69.9,0.9,18.1,92.4,89.6,78.5,97.6,81.6,16.6,14.2
DaniilMedvedev,69.4,45.4,6.2,4.4,5.3,54.2,54.2,54.2,55.2,42.8,38.6,41.4,52.3,46.3,29.6,1.4,68.0,1.1,29.6,87.9,89.0,86.4,91.1,69.6,17.1,14.6
HolgerRune,57.1,46.6,4.4,3.7,3.7,48.1,53.6,54.3,50.1,41.5,37.1,36.8,59.3,42.3,46.8,3.3,70.4,2.1,33.8,80.7,100.0,79.8,100.0,83.3,20.8,17.5
HubertHurkacz,64.9,42.1,5.3,3.6,4.2,53.8,49.7,47.0,50.1,48.0,43.0,47.2,48.0,48.9,-3.9,2.6,68.9,1.0,27.4,90.5,89.0,84.5,90.7,78.4,17.8,17.5
JannikSinner,64.4,46.3,5.4,4.6,4.2,52.4,50.8,50.9,52.0,37.4,33.1,36.8,46.5,54.7,-6.4,1.8,73.6,1.0,20.4,84.7,86.7,82.7,93.3,73.3,15.5,18.2
NovakDjokovic,62.3,49.0,4.3,4.2,4.5,54.3,55.6,57.0,58.0,44.6,40.3,41.8,48.9,49.3,16.0,4.8,74.4,1.2,34.9,89.2,88.2,91.8,90.2,86.7,16.8,14.0
StefanosTsitsipas,60.0,39.2,6.6,3.7,4.0,50.6,48.8,47.4,49.5,44.7,39.6,41.2,51.4,44.6,-1.2,4.6,71.8,1.1,12.7,87.1,89.0,88.2,85.5,86.7,16.9,15.3
