Match;Result;RallyLen;RLen-Serve;RLen-Return;1-3 W%;4-6 W%;7-9 W%;10+ W%;FH/GS;BH Slice%;FHP;FHP/100;BHP;BHP/100
2024 Shanghai F;W vs Djokovic;4.1;4.4;3.7;53.5%;48.1%;62.5%;36.4%;49.3%;6.9%;8.0;9.1;7.5;8.0
2024 Shanghai SF;W vs Machac;3.8;3.7;3.9;56.0%;57.1%;37.5%;70.0%;37.4%;5.5%;7.5;10.3;11.5;10.0
2024 Shanghai QF;W vs Medvedev;5.7;5.6;5.8;61.5%;46.7%;68.8%;60.0%;42.1%;10.4%;13.5;15.5;2.0;1.4
2024 Shanghai R16;W vs Shelton;3.3;3.5;3.0;50.0%;66.7%;40.0%;75.0%;57.5%;4.8%;16.0;22.9;-2.0;-3.4
2024 Beijing F;L vs Alcaraz;3.9;4.0;3.8;48.3%;45.2%;54.8%;35.7%;49.2%;10.7%;10.0;6.1;5.5;3.1
2024 Beijing SF;W vs Yunchaokete;5.1;4.4;5.7;60.8%;48.4%;54.2%;45.5%;47.5%;2.7%;3.5;2.3;6.5;3.6
2024 Beijing R32;W vs Jarry;3.1;3.1;3.0;55.0%;55.6%;83.3%;80.0%;46.7%;4.5%;17.0;22.4;8.0;9.8
2024 US Open F;W vs Fritz;4.6;3.7;5.5;51.9%;58.3%;68.8%;55.6%;55.3%;4.6%;17.5;9.9;6.5;4.6
2024 US Open SF;W vs Draper;4.0;4.0;4.0;51.5%;78.6%;50.0%;57.9%;62.3%;4.1%;26.0;11.0;-1.5;-1.1
2024 US Open QF;W vs Medvedev;5.6;5.9;5.3;54.8%;62.5%;57.1%;48.6%;50.5%;8.9%;12.0;5.1;-5.0;-2.2
2024 US Open R16;W vs Paul;4.4;4.0;4.8;56.4%;46.9%;66.7%;57.9%;48.1%;7.0%;17.0;9.4;11.5;6.1
2024 US Open R32;W vs Oconnell;4.1;3.9;4.3;63.4%;58.3%;60.0%;63.6%;52.7%;10.5%;19.5;16.3;9.5;9.3
2024 US Open R64;W vs Michelsen;3.9;3.7;4.0;63.0%;58.5%;60.0%;66.7%;38.5%;3.7%;10.0;12.2;12.0;9.3
2024 US Open R128;W vs Mcdonald;4.1;4.0;4.2;60.0%;52.5%;54.5%;50.0%;57.0%;5.0%;24.0;13.6;12.0;9.1
2024 Cincinnati F;W vs Tiafoe;4.0;3.4;4.5;58.3%;57.1%;40.0%;80.0%;52.6%;8.5%;17.0;14.9;0.0;0.0
2024 Cincinnati SF;W vs Zverev;3.7;3.8;3.6;54.4%;40.4%;48.5%;53.8%;51.6%;8.8%;4.5;2.8;3.0;1.8
2024 Cincinnati QF;W vs Rublev;3.3;2.8;3.8;49.2%;56.1%;50.0%;77.8%;53.3%;10.4%;12.0;8.1;18.0;15.0
2024 Cincinnati R32;W vs Michelsen;3.9;3.7;4.1;51.5%;61.1%;60.0%;45.5%;50.4%;5.7%;10.0;8.5;8.5;7.5
2024 Canada QF;L vs Rublev;3.9;3.3;4.5;44.7%;56.7%;40.0%;69.2%;53.2%;7.6%;6.0;5.8;-1.0;-0.9
2024 Canada R16;W vs Tabilo;3.5;3.0;3.8;54.7%;60.9%;50.0%;80.0%;55.8%;11.0%;14.0;15.6;4.0;6.2
Last 52 Weeks (58 matches);;4.2;4.2;4.3;54.4%;57.3%;54.0%;56.7%;51.2%;7.2%;13.3;9.4;6.2;4.7
Career (201 matches);;4.3;4.4;4.3;53.0%;53.2%;52.2%;54.2%;51.0%;6.1%;9.2;6.5;2.9;2.2
