Match;Result;SnV Freq;SnV W%;Net Freq;Net W%;FH: Wnr%;DTL Wnr%;IO Wnr%;BH: Wnr%;DTL Wnr%;Drop: Freq;Wnr%;RallyAgg;ReturnAgg
2024 Shanghai F;W vs Djokovic;0.0%;-;5.6%;85.7%;18.9%;40.0%;0.0%;8.1%;50.0%;0.5%;0.0%;1;-44
2024 Shanghai SF;W vs Machac;0.0%;-;5.8%;75.0%;20.0%;22.2%;0.0%;8.1%;28.6%;0.0%;-;-99;-67
2024 Shanghai QF;W vs Medvedev;2.4%;100.0%;10.2%;81.8%;16.4%;19.0%;20.0%;5.5%;21.7%;1.1%;33.3%;-90;-89
2024 Shanghai R16;W vs Shelton;0.0%;-;12.1%;66.7%;23.6%;33.3%;28.6%;8.9%;33.3%;0.7%;100.0%;-32;-75
2024 Beijing F;L vs Alcaraz;0.0%;-;11.1%;46.4%;15.7%;23.1%;25.0%;8.7%;33.3%;1.3%;0.0%;-39;-69
2024 Beijing SF;W vs Yunchaokete;0.0%;-;5.1%;75.0%;11.9%;22.6%;0.0%;6.5%;28.6%;2.0%;42.9%;-23;-13
2024 Beijing R32;W vs Jarry;1.6%;100.0%;5.6%;87.5%;23.4%;10.0%;33.3%;9.7%;30.0%;0.0%;-;-25;-8
2024 US Open F;W vs Fritz;0.0%;-;7.4%;69.2%;12.7%;22.2%;36.4%;5.5%;16.7%;1.8%;50.0%;-80;-56
2024 US Open SF;W vs Draper;3.6%;66.7%;9.7%;72.7%;14.9%;19.0%;8.3%;7.1%;33.3%;0.3%;100.0%;-18;5
2024 US Open QF;W vs Medvedev;11.8%;81.8%;13.6%;78.6%;11.5%;23.9%;0.0%;1.6%;16.7%;1.4%;0.0%;-79;-69
2024 US Open R16;W vs Paul;0.0%;-;12.0%;80.0%;15.6%;28.6%;40.0%;10.8%;33.3%;0.5%;0.0%;-40;-16
2024 US Open R32;W vs Oconnell;14.8%;25.0%;16.1%;66.7%;18.1%;14.8%;15.0%;5.2%;22.2%;1.7%;50.0%;9;39
2024 US Open R64;W vs Michelsen;3.2%;100.0%;14.5%;75.0%;21.2%;40.0%;40.0%;11.2%;23.1%;0.5%;100.0%;23;59
2024 US Open R128;W vs Mcdonald;1.2%;100.0%;13.0%;60.0%;17.0%;21.2%;0.0%;9.7%;41.2%;1.2%;25.0%;-55;-8
2024 Cincinnati F;W vs Tiafoe;0.0%;-;5.6%;87.5%;16.1%;23.8%;20.0%;5.0%;18.2%;0.0%;-;-25;-22
2024 Cincinnati SF;W vs Zverev;1.0%;100.0%;3.3%;75.0%;16.7%;36.7%;25.0%;7.5%;15.4%;3.5%;23.1%;9;-34
2024 Cincinnati QF;W vs Rublev;0.0%;-;4.7%;100.0%;21.6%;22.6%;20.0%;18.4%;52.4%;0.3%;0.0%;25;57
2024 Cincinnati R32;W vs Michelsen;1.4%;100.0%;10.1%;68.8%;13.3%;25.0%;42.9%;13.8%;35.3%;1.6%;50.0%;-5;20
2024 Canada QF;L vs Rublev;1.6%;100.0%;2.6%;75.0%;14.6%;17.2%;0.0%;8.9%;38.5%;1.6%;25.0%;-24;-24
2024 Canada R16;W vs Tabilo;0.0%;-;9.6%;72.7%;22.7%;50.0%;0.0%;10.0%;0.0%;0.6%;0.0%;-2;31
Last 52 Weeks (58 matches);;2.2%;74.2%;9.5%;74.1%;15.5%;19.4%;16.8%;8.2%;27.1%;1.4%;31.5%;-36;-21
Career (201 matches);;1.8%;71.4%;10.1%;72.8%;13.9%;19.8%;16.1%;7.0%;25.9%;1.2%;37.5%;-24;-13
