Match;Result;BP Games;BP Conv/BPG;BreakBack%;BPF Games;Hold/BPFG;Consol%;SvForSet;SvStaySet;SvForMatch;SvStayMatch
2024 Davis Cup RR;W vs Griekspoor;30% (3/10);100% (3/3);01-ene;20% (2/10);50% (1/2);02-mar;01-ene;0/0;01-ene;0/0
2024 Tour Finals SF;W vs Ruud;57% (4/7);100% (4/4);0/0;13% (1/8);100% (1/1);04-abr;02-feb;0/0;01-ene;0/0
2024 Tour Finals RR;W vs De Minaur;33% (3/9);100% (3/3);01-ene;10% (1/10);0% (0/1);03-mar;02-feb;0/0;01-ene;0/0
2024 Tour Finals RR;W vs Fritz;40% (4/10);50% (2/4);0/0;10% (1/10);100% (1/1);0/0;0/0;0/0;0/0;0/0
2024 Tour Finals RR;W vs Medvedev;44% (4/9);75% (3/4);0/1;10% (1/10);0% (0/1);03-mar;02-feb;0/0;01-ene;0/0
2024 Shanghai F;W vs Djokovic;10% (1/10);100% (1/1);0/0;0% (0/11);#¡DIV/0!;01-ene;01-ene;02-feb;01-ene;0/0
2024 Shanghai SF;W vs Machac;36% (4/11);75% (3/4);0/1;18% (2/11);50% (1/2);01-ene;0/0;0/0;0/0;0/0
2024 Shanghai QF;W vs Medvedev;50% (4/8);75% (3/4);0/0;11% (1/9);100% (1/1);03-mar;02-feb;0/0;01-ene;0/0
2024 Shanghai R16;W vs Shelton;9% (1/11);100% (1/1);0/0;27% (3/11);100% (3/3);01-ene;01-ene;02-feb;0/0;0/0
2024 Beijing F;L vs Alcaraz;24% (4/17);50% (2/4);0/3;47% (8/17);63% (5/8);02-feb;0/0;03-mar;0/0;0/0
2024 Beijing SF;W vs Yunchaokete;50% (5/10);20% (1/5);0/0;9% (1/11);100% (1/1);01-ene;01-ene;02-feb;0/0;0/0
2024 Beijing R16;W vs Safiullin;62% (8/13);50% (4/8);0/2;23% (3/13);33% (1/3);02-mar;01-ene;01-ene;01-ene;0/0
2024 Beijing R32;W vs Jarry;31% (4/13);100% (4/4);0/1;15% (2/13);50% (1/2);03-mar;01-ene;01-ene;0/0;0/0
2024 US Open F;W vs Fritz;50% (8/16);75% (6/8);0/2;20% (3/15);33% (1/3);03-mar;0/0;01-ene;0/0;0/0
2024 US Open SF;W vs Draper;50% (8/16);50% (4/8);0/1;13% (2/16);50% (1/2);02-mar;01-ene;03-mar;0/0;0/0
2024 US Open QF;W vs Medvedev;69% (11/16);45% (5/11);0/2;25% (4/16);50% (2/4);05-may;03-mar;01-ene;01-ene;0/0
2024 US Open R16;W vs Paul;47% (7/15);57% (4/7);01-feb;19% (3/16);33% (1/3);04-abr;01-ene;02-feb;01-ene;0/0
2024 US Open R32;W vs Oconnell;50% (6/12);83% (5/6);0/0;0% (0/13);#¡DIV/0!;05-may;03-mar;0/0;01-ene;0/0
2024 US Open R64;W vs Michelsen;67% (8/12);100% (8/8);01-feb;17% (2/12);0% (0/2);06-ago;03-mar;0/0;01-ene;0/0
2024 US Open R128;W vs Mcdonald;60% (9/15);89% (8/9);01-abr;31% (5/16);20% (1/5);06-jul;02-feb;0/0;01-ene;0/0
2024 (64 matches);;40.6%;69.6%;27.1%;18.8%;51.6%;93.1%;96.0%;90.6%;95.0%;75.0%
2023 (60 matches);;37.8%;72.7%;27.6%;23.5%;46.7%;90.1%;93.7%;83.9%;94.6%;72.7%
2022 (33 matches);;34.5%;73.9%;20.0%;29.7%;40.3%;86.3%;78.3%;83.7%;82.4%;90.9%
2021 (33 matches);;39.8%;69.7%;20.7%;31.8%;38.0%;83.2%;82.1%;86.1%;88.9%;100.0%
2020 (11 matches);;37.1%;75.8%;25.7%;33.5%;33.3%;71.4%;82.4%;85.7%;85.7%;33.3%
Career (247 matches);;39.7%;71.5%;24.8%;26.9%;40.1%;86.2%;87.2%;84.2%;89.2%;80.0%
