Date;Tournament;Surface;Rd;Rk;vRk;;Score;More;DR;A%;DF%;1stIn;1st%;2nd%;BPSvd;Time
;;;;;;;;;;;;;;;;
15‑Jan‑2024;Australian Open;Hard;F;4;3;(4)Sinner d. (3)Daniil Medvedev [RUS];3-6 3-6 6-4 6-4 6-3; (ch);0.99;9.7%;3.5%;61.1%;73.9%;53.6%;08-dic;3:44
15‑Jan‑2024;Australian Open;Hard;SF;4;1;(4)Sinner d. (1)Novak Djokovic [SRB];6-1 6-2 6-7(6) 6-3; (ch);1.56;8.2%;0.9%;58.2%;82.8%;63.0%;0/0;3:22
15‑Jan‑2024;Australian Open;Hard;QF;4;5;(4)Sinner d. (5)Andrey Rublev [RUS];6-4 7-6(5) 6-3; (ch);1.10;8.5%;2.6%;64.1%;76.0%;52.4%;08-ago;2:39
15‑Jan‑2024;Australian Open;Hard;R16;4;15;(4)Sinner d. (15)Karen Khachanov [RUS];6-4 7-5 6-3; (ch);1.31;8.2%;3.1%;53.6%;78.8%;57.8%;09-oct;2:34
15‑Jan‑2024;Australian Open;Hard;R32;4;29;(4)Sinner d. (26)Sebastian Baez [ARG];6-0 6-1 6-3; (ch);1.72;8.6%;0.0%;64.3%;77.8%;52.0%;04-abr;1:52
15‑Jan‑2024;Australian Open;Hard;R64;4;161;(4)Sinner d. (Q)Jesper De Jong [NED];6-2 6-2 6-2; (ch);2.83;12.1%;1.7%;63.8%;86.5%;76.2%;0/0;1:43
15‑Jan‑2024;Australian Open;Hard;R128;4;59;(4)Sinner d. Botic Van De Zandschulp [NED];6-4 7-5 6-3; (ch);1.33;8.0%;2.3%;58.0%;68.6%;64.9%;05-jun;2:34
16‑Jan‑2023;Australian Open;Hard;R16;16;4;(3)Stefanos Tsitsipas [GRE] d. (15)Sinner;6-4 6-4 3-6 4-6 6-3; (ch);1.06;8.1%;2.2%;67.6%;71.7%;52.3%;06-nov;4:00
16‑Jan‑2023;Australian Open;Hard;R32;16;78;(15)Sinner d. Marton Fucsovics [HUN];4-6 4-6 6-1 6-2 6-0; (ch);1.27;4.4%;3.7%;59.3%;71.3%;45.5%;07-dic;3:33
16‑Jan‑2023;Australian Open;Hard;R64;16;79;(15)Sinner d. Tomas Martin Etcheverry [ARG];6-3 6-2 6-2; (ch);2.09;8.8%;4.4%;61.8%;88.1%;61.5%;0/0;1:44
16‑Jan‑2023;Australian Open;Hard;R128;16;581;(15)Sinner d. Kyle Edmund [GBR];6-4 6-0 6-2; (ch);1.71;7.3%;2.4%;65.9%;81.5%;42.9%;05-jun;1:56
17‑Jan‑2022;Australian Open;Hard;QF;10;4;(4)Stefanos Tsitsipas [GRE] d. (11)Sinner;6-3 6-4 6-2; (ch);0.77;6.1%;1.5%;63.6%;71.4%;54.2%;0/4;2:06
17‑Jan‑2022;Australian Open;Hard;R16;10;42;(11)Sinner d. (32)Alex De Minaur [AUS];7-6(3) 6-3 6-4;;1.22;8.1%;0.0%;62.2%;75.4%;61.9%;07-ago;2:35
17‑Jan‑2022;Australian Open;Hard;R32;10;120;(11)Sinner d. (Q)Taro Daniel [JPN];6-4 1-6 6-3 6-1;;1.23;10.5%;2.1%;73.7%;74.3%;32.0%;02-jun;2:41
17‑Jan‑2022;Australian Open;Hard;R64;10;104;(11)Sinner d. Steve Johnson [USA];6-2 6-4 6-3; (ch);1.90;15.5%;2.8%;63.4%;82.2%;69.2%;01-ene;1:41
17‑Jan‑2022;Australian Open;Hard;R128;10;140;(11)Sinner d. (LL)Joao Sousa [POR];6-4 7-5 6-1;;1.54;3.4%;2.3%;64.8%;73.7%;58.1%;0/2;2:07
8‑Feb‑2021;Australian Open;Hard;R128;32;12;(11)Denis Shapovalov [CAN] d. Sinner;3-6 6-3 6-2 4-6 6-4; (ch);0.96;2.8%;2.8%;70.3%;66.7%;55.8%;05-oct;3:55
20‑Jan‑2020;Australian Open;Hard;R64;82;67;Marton Fucsovics [HUN] d. Sinner;6-4 6-4 6-3; (ch);0.81;0.0%;4.0%;54.5%;65.5%;37.0%;05-dic;2:16
20‑Jan‑2020;Australian Open;Hard;R128;82;216;Sinner d. (Q)Max Purcell [AUS];7-6(2) 6-2 6-4;;1.39;2.2%;1.1%;58.2%;79.2%;52.6%;04-jun;2:19
