Split;M;W;L;Win%;Set W-L;Set%;Game W-L;Game%;TB W-L;TB%;MS;Hld%;Brk%;A%;DF%;1stIn;1st%;2nd%;SPW;RPW;TPW;DR
Hard;245;193;52;78.8%;426-160;72.7%;3250-2458;56.9%;65-30;68.4%;234;86.4%;27.0%;8.2%;2.6%;60.2%;75.5%;55.0%;67.3%;40.1%;53.4%;1.23
Clay;78;54;24;69.2%;133-68;66.2%;1063-835;56.0%;nov-14;44.0%;76;79.8%;32.3%;4.5%;2.7%;59.7%;70.7%;53.3%;63.7%;42.2%;52.7%;1.16
Grass;30;21;9;70.0%;61-33;64.9%;519-427;54.9%;11-oct;52.4%;30;88.5%;20.7%;9.4%;2.9%;60.2%;78.2%;57.2%;69.8%;37.4%;52.7%;1.24
Grand Slams;79;61;18;77.2%;204-83;71.1%;1561-1163;57.3%;22-dic;64.7%;79;84.8%;29.1%;7.1%;3.1%;59.5%;74.7%;55.1%;66.7%;41.3%;53.6%;1.24
Masters;110;81;29;73.6%;163-76;68.2%;1312-1019;56.3%;19-18;51.4%;104;84.3%;28.1%;7.1%;2.8%;59.4%;74.6%;54.1%;66.3%;40.4%;53.0%;1.20
Other Tours;139;104;35;74.8%;214-92;69.9%;1690-1356;55.5%;42-23;64.6%;134;85.3%;24.7%;7.6%;2.4%;60.6%;74.4%;54.8%;66.7%;39.1%;52.7%;1.17
Best of 5;79;61;18;77.2%;204-83;71.1%;1561-1163;57.3%;22-dic;64.7%;79;84.8%;29.1%;7.1%;3.1%;59.5%;74.7%;55.1%;66.7%;41.3%;53.6%;1.24
Best of 3;274;207;67;75.5%;416-178;70.0%;3271-2557;56.1%;65-42;60.7%;261;85.3%;26.7%;7.6%;2.5%;60.3%;74.7%;54.7%;66.8%;39.7%;53.0%;1.20
Finals;24;19;5;79.2%;40-16;71.4%;317-262;54.7%;11-mar;78.6%;23;86.2%;22.8%;7.6%;2.5%;60.1%;74.0%;55.9%;66.8%;37.4%;52.1%;1.13
Semi-finals;35;24;11;68.6%;55-29;65.5%;467-379;55.2%;11-jun;64.7%;35;85.2%;24.1%;7.9%;2.6%;59.5%;73.7%;55.7%;66.4%;39.4%;52.7%;1.17
Quarter-finals;51;32;19;62.7%;77-47;62.1%;645-567;53.2%;14-ago;63.6%;49;82.3%;23.2%;7.7%;2.8%;59.5%;74.7%;51.7%;65.4%;38.6%;51.7%;1.11
vs Righties;324;247;77;76.2%;571-240;70.4%;4456-3434;56.5%;81-50;61.8%;311;85.3%;27.3%;7.5%;2.7%;59.9%;74.7%;54.9%;66.8%;40.2%;53.2%;1.21
vs Lefties;29;21;8;72.4%;49-21;70.0%;376-286;56.8%;06-abr;60.0%;29;82.7%;29.3%;7.5%;2.7%;62.2%;74.3%;54.7%;66.9%;40.4%;53.2%;1.22
vs Top 10;72;40;32;55.6%;106-90;54.1%;999-934;51.7%;20-19;51.3%;72;81.4%;21.5%;7.1%;2.5%;60.3%;72.1%;53.1%;64.6%;37.2%;50.8%;1.05
