Split;M;W;L;Win%;Set W-L;Set%;Game W-L;Game%;TB W-L;TB%;MS;Hld%;Brk%;A%;DF%;1stIn;1st%;2nd%;SPW;RPW;TPW;DR
Hard;59;56;3;94.9%;126-19;86.9%;848-525;61.8%;15-mar;83.3%;58;92.0%;30.1%;10.5%;2.4%;61.0%;78.7%;58.5%;70.8%;41.5%;55.6%;1.42
Clay;14;11;3;78.6%;30-ago;78.9%;213-140;60.3%;01-ene;50.0%;13;88.1%;32.6%;5.7%;2.8%;62.0%;78.8%;54.3%;69.5%;42.9%;55.5%;1.40
Grass;10;9;1;90.0%;24-ago;75.0%;189-149;55.9%;09-abr;69.2%;10;92.7%;17.4%;12.1%;2.0%;64.5%;81.4%;57.1%;72.8%;36.3%;53.5%;1.33
Grand Slams;25;23;2;92.0%;73-14;83.9%;497-323;60.6%;10-feb;83.3%;25;89.7%;30.7%;9.1%;2.7%;60.5%;78.5%;56.5%;69.9%;42.2%;55.4%;1.40
Masters;33;29;4;87.9%;59-12;83.1%;414-265;61.0%;06-feb;75.0%;31;91.8%;28.8%;9.9%;2.5%;61.4%;80.0%;59.2%;72.0%;41.1%;55.6%;1.47
Other Tours;15;14;1;93.3%;28-ago;77.8%;215-159;57.5%;08-abr;66.7%;15;93.5%;20.0%;9.6%;2.3%;63.6%;79.7%;56.6%;71.3%;37.3%;53.5%;1.30
Best of 5;25;23;2;92.0%;73-14;83.9%;497-323;60.6%;10-feb;83.3%;25;89.7%;30.7%;9.1%;2.7%;60.5%;78.5%;56.5%;69.9%;42.2%;55.4%;1.40
Best of 3;58;53;5;91.4%;107-21;83.6%;753-491;60.5%;15-jun;71.4%;56;92.6%;27.0%;10.5%;2.3%;62.5%;79.5%;58.3%;71.6%;40.0%;55.1%;1.41
Finals;9;8;1;88.9%;19-abr;82.6%;137-104;56.8%;05-ene;83.3%;9;90.7%;21.4%;10.7%;2.6%;58.8%;79.2%;56.1%;69.7%;36.2%;52.6%;1.19
Semi-finals;12;9;3;75.0%;24-sep;72.7%;185-136;57.6%;05-ene;83.3%;12;89.3%;23.7%;9.3%;2.0%;61.7%;75.6%;58.4%;69.0%;39.7%;54.0%;1.28
Quarter-finals;14;11;3;78.6%;27-sep;75.0%;204-153;57.1%;06-mar;66.7%;13;90.9%;22.4%;9.7%;2.7%;60.1%;81.3%;55.5%;71.0%;38.7%;53.8%;1.34
vs Righties;77;70;7;90.9%;165-34;82.9%;1153-753;60.5%;21-ago;72.4%;75;91.5%;28.4%;10.1%;2.4%;61.4%;79.2%;57.3%;70.7%;40.7%;55.1%;1.39
vs Lefties;6;6;0;100.0%;15-ene;93.8%;97-61;61.4%;4-0;100.0%;6;90.9%;29.9%;8.3%;2.4%;65.7%;78.8%;62.0%;73.0%;42.4%;56.8%;1.57
vs Top 10;24;19;5;79.2%;50-20;71.4%;384-299;56.2%;09-abr;69.2%;24;88.8%;22.1%;9.8%;2.3%;60.3%;77.5%;56.4%;69.1%;37.9%;53.2%;1.23
