Date;Tournament;Surface;Rd;Rk;vRk;;Score;More;DR;A%;DF%;1stIn;1st%;2nd%;BPSvd;Time
;;;;;;;;;;;;;;;;
11‑Nov‑2024;Tour Finals;Hard;F;1;5;(1)Sinner d. (5)Taylor Fritz [USA];6-4 6-4;;1.41;25.0%;0.0%;71.4%;82.5%;62.5%;01-ene;1:24
2‑Oct‑2024;Shanghai Masters;Hard;F;1;4;(1)Sinner d. (4)Novak Djokovic [SRB];7-6(4) 6-3; (ch);1.03;11.9%;0.0%;61.2%;75.6%;65.4%;0/0;1:37
26‑Sep‑2024;Beijing;Hard;F;1;3;(2)Carlos Alcaraz [ESP] d. (1)Sinner;6-7(6) 6-4 7-6(3); (ch);0.86;4.7%;3.1%;55.0%;66.2%;53.4%;dic-15;3:21
26‑Aug‑2024;US Open;Hard;F;1;12;(1)Sinner d. (12)Taylor Fritz [USA];6-3 6-4 7-5; (ch);1.33;7.1%;5.9%;50.6%;88.4%;47.6%;05-jul;2:16
12‑Aug‑2024;Cincinnati Masters;Hard;F;1;26;(1)Sinner d. Frances Tiafoe [USA];7-6(4) 6-2; (ch);2.13;22.4%;3.4%;56.9%;84.8%;76.0%;03-mar;1:36
17‑Jun‑2024;Halle;Grass;F;1;9;(1)Sinner d. (5)Hubert Hurkacz [POL];7-6(8) 7-6(2); (ch);2.06;13.9%;1.4%;65.3%;93.6%;68.0%;01-ene;1:49
18‑Mar‑2024;Miami Masters;Hard;F;3;12;(2)Sinner d. (11)Grigor Dimitrov [BUL];6-3 6-1; (ch);1.89;9.3%;2.3%;55.8%;87.5%;63.2%;01-ene;1:13
12‑Feb‑2024;Rotterdam;Hard;F;4;11;(1)Sinner d. (5)Alex De Minaur [AUS];7-5 6-4; (ch);1.03;4.9%;1.2%;55.6%;77.8%;38.9%;04-jun;2:05
15‑Jan‑2024;Australian Open;Hard;F;4;3;(4)Sinner d. (3)Daniil Medvedev [RUS];3-6 3-6 6-4 6-4 6-3; (ch);0.99;9.7%;3.5%;61.1%;73.9%;53.6%;08-dic;3:44
13‑Nov‑2023;Tour Finals;Hard;F;4;1;(1)Novak Djokovic [SRB] d. (4)Sinner;6-3 6-3; (ch);0.38;10.8%;1.4%;66.2%;57.1%;48.0%;05-ago;1:43
23‑Oct‑2023;Vienna;Hard;F;4;3;(2)Sinner d. (1)Daniil Medvedev [RUS];7-6(7) 4-6 6-3; (ch);1.08;4.2%;0.0%;72.9%;64.0%;50.0%;sep-13;3:06
27‑Sep‑2023;Beijing;Hard;F;7;3;(6)Sinner d. (2)Daniil Medvedev [RUS];7-6(2) 7-6(2); (ch);1.44;4.0%;0.0%;68.0%;82.4%;70.8%;01-ene;2:01
7‑Aug‑2023;Canada Masters;Hard;F;8;18;(7)Sinner d. Alex De Minaur [AUS];6-4 6-1; (ch);1.64;9.6%;5.8%;50.0%;73.1%;57.7%;02-abr;1:29
20‑Mar‑2023;Miami Masters;Hard;F;11;5;(4)Daniil Medvedev [RUS] d. (10)Sinner;7-5 6-3; (ch);0.63;9.5%;0.0%;55.6%;68.6%;32.1%;02-jun;1:34
13‑Feb‑2023;Rotterdam;Hard;F;14;11;(6)Daniil Medvedev [RUS] d. Sinner;5-7 6-2 6-2; (ch);0.78;2.1%;1.0%;57.3%;61.8%;46.3%;07-dic;2:29
6‑Feb‑2023;Montpellier;Hard;F;17;51;(2)Sinner d. Maxime Cressy [USA];7-6(3) 6-3; (ch);1.64;6.6%;1.6%;62.3%;86.8%;69.6%;03-mar;1:36
25‑Jul‑2022;Umag;Clay;F;10;5;(2)Sinner d. (1)Carlos Alcaraz [ESP];6-7(5) 6-1 6-1; (ch);1.36;6.5%;4.3%;57.6%;77.4%;61.5%;09-sep;2:25
18‑Oct‑2021;Antwerp;Hard;F;16;13;(1)Sinner d. (2)Diego Schwartzman [ARG];6-2 6-2; (ch);2.33;18.2%;4.5%;52.3%;91.3%;61.9%;02-feb;1:16
27‑Sep‑2021;Sofia;Hard;F;14;20;(1)Sinner d. (2)Gael Monfils [FRA];6-3 6-4; (ch);1.50;3.7%;1.9%;50.0%;92.6%;63.0%;02-feb;1:17
2‑Aug‑2021;Washington;Hard;F;24;107;(5)Sinner d. Mackenzie Mcdonald [USA];7-5 4-6 7-5; (ch);;;;;;;;
22‑Mar‑2021;Miami Masters;Hard;F;31;37;(26)Hubert Hurkacz [POL] d. (21)Sinner;7-6(4) 6-4; (ch);0.86;1.3%;6.4%;60.3%;55.3%;48.4%;07-nov;1:43
1‑Feb‑2021;Great Ocean Road Open;Hard;F;36;71;(4)Sinner d. Stefano Travaglia [ITA];7-6(4) 6-4; (ch);1.19;0.0%;1.2%;55.4%;56.5%;64.9%;07-oct;2:08
9‑Nov‑2020;Sofia;Hard;F;44;74;Sinner d. Vasek Pospisil [CAN];6-4 3-6 7-6(3); (ch);0.97;4.3%;5.4%;65.2%;75.0%;56.3%;03-may;2:14
11‑Nov‑2019;Ortisei CH;Hard;F;96;173;(2)Sinner d. (10)Sebastian Ofner [AUT];6-2 6-4; (ch);1.79;12.8%;4.3%;63.8%;83.3%;58.8%;01-feb;1:06
5‑Nov‑2019;NextGen Finals;Hard;F;95;18;(8)Sinner d. (1)Alex De Minaur [AUS];4-2 4-1 4-2; (ch);1.51;3.8%;1.9%;67.3%;74.3%;58.8%;09-sep;1:04
29‑Jul‑2019;Lexington CH;Hard;F;194;152;(3)Sinner d. (2)Alex Bolt [AUS];6-4 3-6 6-4;;0.99;9.5%;5.3%;56.8%;72.2%;48.8%;04-jul;2:00
29‑Apr‑2019;Ostrava CH;Clay;F;298;129;(4)Kamil Majchrzak [POL] d. Sinner;6-1 6-0; (ch);0.63;0.0%;6.4%;51.1%;45.8%;26.1%;jul-13;1:02
