Match;Result;Winners;UFEs;Ratio;Wnr/Pt;UFE/Pt;RallyWinners;RallyUFEs;RallyRatio;Rally Wnr/Pt;Rally UFE/Pt;FH Wnr/Pt;BH Wnr/Pt;vs Ratio;vs Wnr/Pt;vs UFE/Pt
2024 Davis Cup RR;W vs Griekspoor;23;13;1.8;19.3%;10.9%;7;12;0.6;7.5%;12.9%;6.5%;1.1%;0.9;16.8%;18.5%
2024 Tour Finals F;W vs Fritz;33;17;1.9;28.2%;14.5%;19;17;1.1;20.7%;18.5%;14.1%;3.3%;1.7;27.4%;16.2%
2024 Tour Finals SF;W vs Ruud;22;7;3.1;25.9%;8.2%;13;7;1.9;17.3%;9.3%;14.7%;2.7%;0.6;11.8%;18.8%
2024 Tour Finals RR;W vs Medvedev;12;10;1.2;11.9%;9.9%;8;10;0.8;8.8%;11.0%;4.4%;4.4%;0.8;16.8%;20.8%
2024 Tour Finals RR;W vs Fritz;21;16;1.3;16.2%;12.3%;15;16;0.9;12.8%;13.7%;10.3%;2.6%;0.9;15.4%;16.9%
2024 Tour Finals RR;W vs De Minaur;19;18;1.1;18.3%;17.3%;11;17;0.6;12.2%;18.9%;7.8%;4.4%;0.3;6.7%;21.2%
2024 Shanghai Masters F;W vs Djokovic;33;17;1.9;26.4%;13.6%;25;17;1.5;22.1%;15.0%;8.8%;3.5%;1.8;26.4%;14.4%
2024 Shanghai Masters SF;W vs Machac;29;10;2.9;21.0%;7.2%;18;9;2.0;15.0%;7.5%;8.3%;5.8%;0.7;18.1%;24.6%
2024 Shanghai Masters QF;W vs Medvedev;36;13;2.8;33.3%;12.0%;27;13;2.1;29.3%;14.1%;18.5%;2.2%;0.9;17.6%;20.4%
2024 Shanghai Masters R16;W vs Shelton;39;9;4.3;31.5%;7.3%;32;9;3.6;29.4%;8.3%;12.8%;2.8%;1.7;32.3%;18.5%
2024 Beijing F;L vs Alcaraz;50;39;1.3;19.8%;15.5%;44;35;1.3;18.9%;15.0%;7.3%;4.7%;1.5;31.7%;21.4%
2024 Beijing SF;W vs Yunchaokete;33;33;1.0;21.2%;21.2%;22;33;0.7;15.8%;23.7%;10.1%;5.0%;0.6;10.9%;19.2%
2024 Beijing R16;W vs Safiullin;29;35;0.8;17.1%;20.6%;24;32;0.8;15.7%;20.9%;10.5%;4.6%;0.6;14.1%;21.8%
2024 Beijing R32;W vs Jarry;16;14;1.1;11.1%;9.7%;14;13;1.1;11.0%;10.2%;6.3%;3.9%;0.8;22.2%;28.5%
2024 US Open F;W vs Fritz;23;21;1.1;13.1%;12.0%;17;16;1.1;11.3%;10.7%;10.0%;1.3%;0.9;16.6%;19.4%
2024 US Open SF;W vs Draper;43;34;1.3;18.9%;15.0%;32;32;1.0;16.3%;16.3%;10.7%;4.1%;0.7;12.8%;18.9%
2024 US Open QF;W vs Medvedev;31;38;0.8;15.0%;18.4%;27;37;0.7;14.2%;19.5%;10.5%;3.7%;0.5;14.6%;27.7%
2024 US Open R16;W vs Paul;29;33;0.9;13.9%;15.8%;19;32;0.6;9.9%;16.8%;7.3%;2.6%;0.8;15.8%;20.6%
2024 US Open R32;W vs Oconnell;46;22;2.1;30.9%;14.8%;31;20;1.6;25.2%;16.3%;21.1%;3.3%;0.8;12.1%;16.1%
2024 US Open R64;W vs Michelsen;28;24;1.2;20.3%;17.4%;25;22;1.1;20.0%;17.6%;11.2%;7.2%;0.4;9.4%;23.2%
Career (224 matches);;6175;6290;1.0;16.7%;17.0%;4846;5819;0.8;14.7%;17.6%;8.9%;3.7%;0.7;14.1%;19.4%
