Rk,Player,M,M W%,Ace%,1stIn,1st%,2nd%,2%-InP,Hld%,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,G W%,DF_avg,SPW_avg,RPW_avg,Elo,hElo
1,Jannik Sinner,56,94.6,10.4,60.8,79.0,58.9,62.7,92.1,7.3,3.0,32.1,56.8,29.9,41.7,463,0.72,3.3,8.3,3.4,76.0,0.33,1.6,3.9,0.38,0.9,55.7,83.3,61.5,4.2,70.4,42.2,2209.6,2175.7
2,Alexander Zverev,52,75.0,11.4,70.6,76.2,55.9,61.5,90.3,7.7,2.5,28.9,51.3,21.1,39.2,380,0.54,2.7,7.3,2.9,72.3,0.35,1.8,4.8,0.49,1.3,53.2,57.6,55.9,5.9,69.4,37.9,2069.7,2025.8
3,Carlos Alcaraz,37,78.4,7.5,64.5,76.6,59.4,63.6,89.0,6.0,3.3,33.7,53.0,27.8,40.2,286,0.69,3.2,7.7,3.1,64.1,0.31,1.4,3.5,0.52,1.2,54.4,53.3,58.5,4.5,70.2,40.9,2165.9,2088.7
4,Taylor Fritz,42,66.7,12.5,61.5,76.9,55.3,59.5,88.0,8.0,4.2,26.9,50.7,21.0,39.1,289,0.54,2.6,6.9,2.7,69.9,0.4,2.0,5.2,0.59,1.6,52.3,64.7,54.8,4.8,67.4,36.4,2017.2,1967.5
5,Jack Draper,39,66.7,10.4,57.9,76.9,50.4,56.1,83.9,7.8,4.0,31.8,51.0,27.4,46.1,284,0.59,2.8,7.3,3.4,65.0,0.46,2.2,5.6,0.76,2.0,52.5,50.0,55.7,7.2,65.4,39.8,2084.8,2028.3
6,Novak Djokovic,21,76.2,9.8,61.7,77.2,55.5,61.4,87.9,9.5,3.1,29.7,56.7,25.9,37.7,183,0.69,3.1,8.7,3.3,66.7,0.36,1.7,4.7,0.55,1.6,54.0,63.6,57.3,6.7,68.6,41.0,2147.8,2107.8
7,Casper Ruud,43,60.5,8.4,66.0,74.6,53.8,58.5,86.7,10.8,3.5,25.4,49.9,19.9,39.4,254,0.51,2.3,5.9,2.3,64.6,0.38,1.7,4.4,0.61,1.6,51.3,47.6,53.4,5.4,67.0,35.9,1988.1,1896.2
8,Alex De Minaur,45,66.7,7.0,54.4,73.5,54.3,58.9,82.4,6.8,3.4,30.5,55.0,27.6,45.2,334,0.61,2.8,7.4,3.4,62.2,0.46,2.1,5.6,0.81,2.1,52.2,63.6,54.8,5.6,64.7,40.8,1999.3,1935.2
9,Lorenzo Musetti,33,48.5,4.6,63.3,69.2,51.7,55.5,75.4,8.6,4.0,26.4,52.4,19.8,32.5,255,0.61,2.9,7.7,2.5,54.8,0.55,2.6,7.0,1.2,3.2,49.3,55.6,47.6,4.6,62.7,36.8,1999.0,1867.7
10,Holger Rune,46,67.4,9.3,60.0,74.7,55.6,61.3,85.4,8.8,3.6,26.0,50.5,19.2,37.7,276,0.51,2.5,6.0,2.3,65.0,0.42,2.0,4.9,0.71,1.7,51.2,60.0,52.4,6.5,66.7,35.8,1967.6,1914.5
11,Daniil Medvedev,41,70.7,8.2,60.3,73.2,48.7,57.4,79.5,5.7,3.3,32.9,53.6,29.9,42.6,376,0.7,3.4,9.2,3.9,61.7,0.54,2.5,6.9,0.96,2.6,51.9,73.3,54.5,10.6,64.0,40.8,2002.1,1960.6
