Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],10,9-1,90.0%,72.8%,70.6%,120,12.1%,20,2.0%,5.7%,64.5%,81.4%,57.1%,60.5%,92.7%,6.0,1.6,Jannik Sinner[ITA],10,36.3%,39.5%,11.9%,2.5%,27.9%,54.0%,17.4%,6.9,2.5,41.5,40.4,Jannik Sinner[ITA],10,37.3%,28,75,0.47,2.3,7.5,0.88,2.8,67.6%,25,37,0.23,1.2,3.7,0.38,1.2,Jannik Sinner[ITA],10,1.33,2103,53.5%,13,9-4,69.2%,40.6%,32,24-8,75.0%,325,180-145,55.4%,2:30,46.9,42.8
2,Alexander Zverev[GER],8,6-2,75.0%,77.0%,74.2%,112,16.0%,13,1.9%,6.7%,72.2%,84.2%,58.2%,62.4%,97.5%,5.8,1.3,Alexander Zverev[GER],8,32.7%,34.2%,8.6%,2.2%,25.2%,45.9%,15.7%,6.3,2.1,44.0,92.6,Alexander Zverev[GER],8,34.5%,19,55,0.45,2.3,6.9,0.79,2.4,78.6%,11,14,0.12,0.6,1.8,0.13,0.4,Alexander Zverev[GER],8,1.42,1466,53.8%,7,3-4,42.9%,29.2%,24,17-7,70.8%,242,137-105,56.6%,2:12,43.8,43.1
3,Carlos Alcaraz[ESP],9,8-1,88.9%,67.6%,67.3%,72,7.8%,31,3.4%,9.2%,63.3%,74.1%,56.4%,62.1%,85.1%,6.2,2.0,Carlos Alcaraz[ESP],9,40.0%,40.4%,5.6%,3.1%,34.4%,49.7%,30.6%,6.3,2.5,26.0,51.1,Carlos Alcaraz[ESP],9,44.1%,45,102,0.69,3.4,11.3,1.50,5.0,59.3%,32,54,0.36,1.8,6.0,0.73,2.4,Carlos Alcaraz[ESP],9,1.23,1850,53.7%,6,4-2,66.7%,20.0%,30,23-7,76.7%,295,171-124,58.0%,2:30,45.1,43.9
4,Taylor Fritz[USA],12,10-2,83.3%,76.5%,72.9%,168,17.4%,14,1.5%,4.2%,65.6%,84.3%,61.6%,64.4%,93.7%,5.5,1.3,Taylor Fritz[USA],12,33.4%,34.4%,9.3%,3.4%,24.7%,49.0%,13.8%,6.5,2.2,77.5,72.5,Taylor Fritz[USA],12,32.9%,23,70,0.42,2.1,5.8,0.68,1.9,72.5%,29,40,0.23,1.2,3.3,0.32,0.9,Taylor Fritz[USA],12,1.42,2044,53.7%,10,8-2,80.0%,29.4%,34,26-8,76.5%,341,186-155,54.5%,1:52,39.4,39.4
5,Jack Draper[GBR],10,8-2,80.0%,71.6%,69.9%,126,15.4%,34,4.2%,11.0%,62.3%,83.9%,51.3%,57.7%,89.4%,5.8,1.6,Jack Draper[GBR],10,36.0%,37.6%,9.9%,3.5%,27.3%,50.4%,16.8%,6.7,2.4,47.0,59.0,Jack Draper[GBR],10,32.4%,24,74,0.52,2.6,7.4,0.86,2.4,57.1%,20,35,0.25,1.3,3.5,0.54,1.5,Jack Draper[GBR],10,1.27,1772,52.4%,7,5-2,71.4%,25.0%,28,18-10,64.3%,284,150-134,52.8%,1:56,41.4,39.2
6,Novak Djokovic[SRB],6,5-1,83.3%,71.3%,70.3%,62,10.7%,18,3.1%,9.6%,67.5%,78.7%,55.9%,61.8%,89.9%,5.8,1.7,Novak Djokovic[SRB],6,38.5%,38.9%,7.2%,3.9%,30.3%,53.3%,22.1%,6.7,2.6,25.0,71.3,Novak Djokovic[SRB],6,35.0%,21,60,0.63,3.0,10.0,1.05,3.5,64.3%,18,28,0.28,1.4,4.7,0.50,1.7,Novak Djokovic[SRB],6,1.34,1215,54.1%,3,2-1,66.7%,15.0%,20,15-5,75.0%,194,110-84,56.7%,2:34,46.1,45.5
7,Casper Ruud[NOR],2,1-1,50.0%,69.0%,66.1%,33,14.2%,7,3.0%,7.9%,61.6%,77.6%,55.1%,59.8%,84.2%,6.1,1.9,Casper Ruud[NOR],2,37.9%,37.8%,7.1%,4.6%,31.3%,47.4%,13.5%,7.6,2.9,164.0,164.0,Casper Ruud[NOR],2,19.2%,5,26,0.70,3.7,13.0,0.71,2.5,66.7%,12,18,0.47,2.6,9.0,0.86,3.0,Casper Ruud[NOR],2,1.22,514,51.9%,2,2-0,100.0%,28.6%,7,4-3,57.1%,75,37-38,49.3%,2:46,47.3,38.6
8,Alex De Minaur[AUS],8,7-1,87.5%,65.1%,65.5%,37,5.9%,24,3.8%,8.4%,54.3%,77.9%,49.8%,54.4%,79.4%,6.1,2.1,Alex De Minaur[AUS],8,46.3%,46.6%,5.5%,4.2%,35.2%,61.1%,37.1%,7.3,3.4,48.5,74.2,Alex De Minaur[AUS],8,37.9%,39,103,0.98,4.9,12.9,1.86,4.9,58.0%,29,50,0.49,2.4,6.3,1.00,2.6,Alex De Minaur[AUS],8,1.32,1391,54.7%,4,4-0,100.0%,19.0%,21,18-3,85.7%,207,120-87,58.0%,2:04,47.1,42.7
9,Lorenzo Musetti[ITA],15,12-3,80.0%,67.0%,66.5%,76,5.1%,26,1.7%,5.4%,67.6%,72.3%,56.0%,59.2%,85.2%,6.5,2.1,Lorenzo Musetti[ITA],15,37.1%,37.7%,6.9%,3.2%,29.1%,50.2%,20.7%,6.8,2.5,58.0,56.9,Lorenzo Musetti[ITA],15,36.7%,47,128,0.56,2.7,8.5,0.98,3.1,66.7%,68,102,0.44,2.1,6.8,0.71,2.3,Lorenzo Musetti[ITA],15,1.12,3038,51.8%,11,6-5,54.5%,22.9%,48,29-19,60.4%,457,243-214,53.2%,2:23,44.8,42.4
10,Holger Rune[DEN],5,3-2,60.0%,71.1%,69.8%,60,12.5%,17,3.5%,9.2%,61.7%,78.8%,58.7%,64.7%,90.4%,5.8,1.7,Holger Rune[DEN],5,32.0%,33.3%,10.0%,3.1%,24.6%,44.3%,15.7%,6.1,2.0,74.0,141.2,Holger Rune[DEN],5,34.2%,13,38,0.46,2.1,7.6,0.72,2.6,73.3%,22,30,0.36,1.7,6.0,0.44,1.6,Holger Rune[DEN],5,1.11,990,51.0%,3,1-2,33.3%,16.7%,18,10-8,55.6%,166,88-78,53.0%,2:10,36.2,39.5
11,Daniil Medvedev[RUS],8,6-2,75.0%,68.0%,67.8%,91,11.0%,41,5.0%,14.7%,66.3%,75.0%,54.1%,63.4%,87.0%,6.3,2.0,Daniil Medvedev[RUS],8,36.0%,36.7%,8.0%,3.5%,26.5%,52.3%,19.8%,6.4,2.3,41.5,42.3,Daniil Medvedev[RUS],8,49.1%,26,53,0.40,2.0,6.6,1.00,3.3,64.6%,31,48,0.37,1.8,6.0,0.65,2.1,Daniil Medvedev[RUS],8,1.12,1662,51.9%,8,5-3,62.5%,30.8%,26,17-9,65.4%,262,140-122,53.4%,2:20,43.2,40.5
12,Tommy Paul[USA],12,10-2,83.3%,68.1%,66.7%,86,8.2%,21,2.0%,5.5%,63.5%,74.9%,56.3%,59.5%,85.0%,6.1,1.9,Tommy Paul[USA],12,38.6%,39.3%,6.0%,2.7%,33.0%,49.2%,25.1%,6.2,2.4,28.0,44.7,Tommy Paul[USA],12,44.7%,42,94,0.56,2.7,7.8,1.20,3.5,68.3%,56,82,0.47,2.3,6.8,0.74,2.2,Tommy Paul[USA],12,1.21,2091,53.4%,3,3-0,100.0%,8.6%,35,25-10,71.4%,340,189-151,55.6%,1:56,39.9,40.0
