Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],31,28-3,90.3%,72.0%,70.9%,198,9.9%,49,2.5%,6.4%,61.4%,80.0%,59.2%,63.3%,91.8%,5.8,1.6,Jannik Sinner[ITA],31,41.1%,42.2%,6.8%,3.0%,31.8%,55.4%,28.8%,6.8,2.8,26.0,35.5,Jannik Sinner[ITA],31,40.4%,95,235,0.71,3.3,7.6,1.34,3.1,74.3%,81,109,0.32,1.5,3.5,0.39,0.9,Jannik Sinner[ITA],31,1.47,4229,55.6%,8,6-2,75.0%,11.3%,71,59-12,83.1%,671,408-263,60.8%,1:44,45.5,45.8
2,Alexander Zverev[GER],35,28-7,80.0%,70.3%,69.0%,270,11.6%,76,3.3%,10.7%,69.5%,76.8%,55.7%,62.3%,89.6%,6.0,1.8,Alexander Zverev[GER],35,37.9%,38.9%,7.8%,3.3%,28.5%,53.1%,23.5%,6.5,2.5,27.0,47.7,Alexander Zverev[GER],35,38.4%,91,237,0.61,3.0,6.8,1.17,2.6,66.9%,81,121,0.31,1.6,3.5,0.51,1.1,Alexander Zverev[GER],35,1.28,4850,53.5%,16,12-4,75.0%,20.5%,78,59-19,75.6%,774,437-337,56.5%,1:48,48.6,46.9
3,Carlos Alcaraz[ESP],21,16-5,76.2%,68.8%,68.7%,81,6.1%,34,2.6%,7.2%,64.7%,74.4%,58.6%,63.2%,88.7%,6.0,1.9,Carlos Alcaraz[ESP],21,41.5%,41.9%,6.0%,3.7%,32.5%,56.3%,29.9%,6.7,2.8,37.0,58.8,Carlos Alcaraz[ESP],21,43.7%,66,151,0.68,3.1,7.2,1.38,3.1,69.9%,58,83,0.37,1.7,4.0,0.52,1.2,Carlos Alcaraz[ESP],21,1.33,2819,54.4%,7,3-4,42.9%,14.6%,48,35-13,72.9%,443,263-180,59.4%,1:41,44.3,45.3
4,Taylor Fritz[USA],23,14-9,60.9%,70.4%,68.2%,180,11.8%,33,2.2%,5.5%,60.4%,77.9%,59.1%,62.5%,90.8%,6.1,1.8,Taylor Fritz[USA],23,34.4%,34.8%,8.0%,3.8%,27.7%,45.6%,18.4%,6.2,2.1,22.0,48.5,Taylor Fritz[USA],23,37.5%,45,120,0.49,2.4,5.2,0.88,2.0,72.9%,62,85,0.34,1.7,3.7,0.45,1.0,Taylor Fritz[USA],23,1.16,3046,52.5%,11,5-6,45.5%,21.6%,51,31-20,60.8%,495,273-222,55.2%,1:33,42.2,42.4
5,Jack Draper[GBR],16,8-8,50.0%,65.4%,65.1%,119,9.8%,58,4.8%,11.2%,57.3%,77.2%,49.7%,56.0%,80.0%,5.9,2.0,Jack Draper[GBR],16,35.8%,36.1%,8.0%,4.1%,25.1%,49.7%,19.4%,6.3,2.2,21.0,34.2,Jack Draper[GBR],16,40.0%,40,100,0.49,2.4,6.3,0.98,2.5,54.4%,49,90,0.44,2.2,5.6,1.00,2.6,Jack Draper[GBR],16,1.04,2505,50.2%,5,2-3,40.0%,12.2%,41,20-21,48.8%,411,204-207,49.6%,2:00,47.0,46.1
6,Novak Djokovic[SRB],14,10-4,71.4%,68.9%,68.3%,65,7.3%,23,2.6%,7.1%,63.2%,75.6%,57.4%,61.7%,83.7%,5.8,1.8,Novak Djokovic[SRB],14,42.1%,43.3%,7.3%,3.5%,31.9%,57.1%,30.7%,6.7,2.8,36.5,42.9,Novak Djokovic[SRB],14,43.4%,46,106,0.71,3.3,7.6,1.44,3.3,60.9%,39,64,0.42,2.0,4.6,0.78,1.8,Novak Djokovic[SRB],14,1.35,1894,54.6%,5,3-2,60.0%,15.6%,32,22-10,68.8%,303,174-129,57.4%,1:45,46.0,46.7
7,Casper Ruud[NOR],20,12-8,60.0%,64.5%,63.8%,89,6.4%,35,2.5%,7.2%,65.0%,69.8%,54.5%,58.8%,80.3%,6.2,2.2,Casper Ruud[NOR],20,37.4%,39.0%,8.1%,2.7%,29.6%,49.3%,25.1%,6.2,2.3,30.0,42.5,Casper Ruud[NOR],20,41.8%,56,134,0.60,2.8,6.7,1.17,2.8,61.1%,69,113,0.51,2.4,5.7,0.92,2.2,Casper Ruud[NOR],20,1.05,2771,50.9%,6,3-3,50.0%,12.5%,48,27-21,56.3%,446,235-211,52.7%,1:46,44.3,46.0
8,Alex De Minaur[AUS],18,12-6,66.7%,63.9%,64.1%,65,5.6%,40,3.4%,7.3%,52.7%,71.0%,55.9%,60.3%,78.1%,6.0,2.2,Alex De Minaur[AUS],18,42.8%,41.9%,4.8%,5.0%,34.3%,56.7%,34.0%,6.4,2.7,35.5,107.2,Alex De Minaur[AUS],18,47.2%,68,144,0.72,3.4,8.0,1.62,3.8,54.3%,50,92,0.48,2.2,5.1,1.00,2.3,Alex De Minaur[AUS],18,1.18,2441,52.8%,4,2-2,50.0%,9.5%,42,27-15,64.3%,392,218-174,55.6%,1:45,45.0,46.5
9,Lorenzo Musetti[ITA],14,6-8,42.9%,62.9%,63.1%,39,4.2%,25,2.7%,7.0%,62.0%,71.3%,49.3%,53.0%,74.8%,6.2,2.3,Lorenzo Musetti[ITA],14,35.6%,34.9%,6.5%,4.6%,26.1%,51.1%,18.8%,6.5,2.3,31.0,43.1,Lorenzo Musetti[ITA],14,35.4%,28,79,0.53,2.5,5.6,0.90,2.0,54.2%,45,83,0.55,2.7,5.9,1.23,2.7,Lorenzo Musetti[ITA],14,0.96,1899,49.0%,5,3-2,60.0%,16.1%,31,13-18,41.9%,300,141-159,47.0%,1:43,46.5,45.5
10,Holger Rune[DEN],27,18-9,66.7%,64.9%,65.6%,121,5.8%,84,4.0%,9.8%,59.2%,71.6%,55.2%,61.2%,83.1%,6.4,2.3,Holger Rune[DEN],27,34.7%,34.6%,7.2%,4.0%,26.7%,46.9%,18.8%,6.3,2.2,33.5,67.9,Holger Rune[DEN],27,41.2%,61,148,0.46,2.2,5.5,0.90,2.3,62.3%,91,146,0.45,2.1,5.4,0.81,2.0,Holger Rune[DEN],27,0.99,4136,50.0%,10,7-3,70.0%,14.7%,68,40-28,58.8%,651,332-319,51.0%,1:55,45.6,45.0
