Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],9,8-1,88.9%,69.7%,68.0%,79,10.7%,19,2.6%,6.3%,58.8%,79.2%,56.1%,59.9%,90.7%,6.2,1.9,Jannik Sinner[ITA],9,36.2%,38.5%,9.5%,2.2%,28.4%,50.4%,21.4%,6.6,2.4,9.0,9.4,Jannik Sinner[ITA],9,40.3%,25,62,0.53,2.7,6.9,1.09,2.8,76.1%,35,46,0.39,2.0,5.1,0.48,1.2,Jannik Sinner[ITA],9,1.19,1503,52.6%,6,5-1,83.3%,26.1%,23,19-4,82.6%,235,132-103,56.2%,2:07,49.8,45.7
2,Alexander Zverev[GER],5,3-2,60.0%,69.0%,68.1%,34,8.0%,10,2.3%,8.3%,71.6%,75.4%,52.9%,57.7%,86.3%,5.8,1.8,Alexander Zverev[GER],5,38.8%,39.2%,5.3%,2.7%,29.8%,53.3%,19.2%,7.5,2.9,18.0,16.4,Alexander Zverev[GER],5,20.9%,14,67,0.92,4.5,13.4,0.93,2.8,50.0%,10,20,0.27,1.3,4.0,0.67,2.0,Alexander Zverev[GER],5,1.25,975,52.0%,3,1-2,33.3%,20.0%,15,9-6,60.0%,146,77-69,52.7%,1:54,37.9,35.0
3,Carlos Alcaraz[ESP],5,4-1,80.0%,65.0%,65.8%,18,3.4%,16,3.0%,7.8%,61.6%,72.5%,52.9%,57.4%,86.7%,7.2,2.5,Carlos Alcaraz[ESP],5,40.2%,40.0%,4.9%,3.6%,32.9%,54.7%,27.0%,7.2,2.9,2.0,2.6,Carlos Alcaraz[ESP],5,31.7%,20,63,0.85,4.2,12.6,1.33,4.0,75.0%,30,40,0.53,2.7,8.0,0.67,2.0,Carlos Alcaraz[ESP],5,1.15,1072,52.6%,6,3-3,50.0%,40.0%,15,10-5,66.7%,149,85-64,57.0%,1:30,30.0,25.2
4,Taylor Fritz[USA],5,2-3,40.0%,64.3%,61.6%,40,11.7%,10,2.9%,7.8%,62.6%,72.4%,50.8%,55.1%,76.8%,6.1,2.2,Taylor Fritz[USA],5,33.8%,34.6%,9.3%,3.6%,21.5%,50.0%,17.3%,5.8,2.0,14.0,27.6,Taylor Fritz[USA],5,37.5%,9,24,0.46,2.2,4.8,0.82,1.8,63.9%,23,36,0.64,3.3,7.2,1.18,2.6,Taylor Fritz[USA],5,0.95,644,50.0%,0,0-0,-,0.0%,11,4-7,36.4%,108,52-56,48.1%,1:34,42.6,43.7
5,Jack Draper[GBR],3,2-1,66.7%,70.9%,69.3%,25,11.2%,6,2.7%,7.4%,63.7%,80.3%,54.3%,58.7%,87.5%,5.6,1.6,Jack Draper[GBR],3,32.8%,34.8%,10.9%,2.7%,24.6%,49.4%,14.3%,6.1,2.0,32.0,50.3,Jack Draper[GBR],3,30.0%,6,20,0.48,2.5,6.7,0.75,2.0,64.3%,9,14,0.35,1.8,4.7,0.63,1.7,Jack Draper[GBR],3,1.13,479,50.5%,1,1-0,100.0%,12.5%,8,5-3,62.5%,82,41-41,50.0%,1:56,43.4,43.5
6,Novak Djokovic[SRB],3,1-2,33.3%,65.9%,65.7%,13,5.2%,6,2.4%,8.1%,70.6%,73.0%,48.6%,52.9%,83.3%,7.0,2.4,Novak Djokovic[SRB],3,31.5%,31.4%,5.4%,2.7%,22.8%,45.9%,2.7%,7.0,2.2,3.0,2.3,Novak Djokovic[SRB],3,11.1%,1,9,0.24,1.3,3.0,0.14,0.3,75.0%,18,24,0.67,3.4,8.0,0.86,2.0,Novak Djokovic[SRB],3,0.92,512,48.4%,4,2-2,50.0%,57.1%,7,2-5,28.6%,73,31-42,42.5%,1:21,34.9,28.6
7,Casper Ruud[NOR],5,2-3,40.0%,61.3%,61.6%,7,2.1%,6,1.8%,5.6%,67.7%,66.1%,51.4%,54.5%,76.5%,6.5,2.5,Casper Ruud[NOR],5,36.3%,36.0%,5.6%,3.5%,33.2%,39.9%,18.4%,7.0,2.5,12.0,22.4,Casper Ruud[NOR],5,25.7%,9,35,0.71,3.5,7.0,0.90,1.8,33.3%,6,18,0.35,1.8,3.6,1.20,2.4,Casper Ruud[NOR],5,0.94,673,48.6%,1,0-1,0.0%,10.0%,10,4-6,40.0%,100,48-52,48.0%,1:46,53.1,47.3
8,Alex De Minaur[AUS],3,2-1,66.7%,62.2%,62.2%,15,8.0%,9,4.8%,11.0%,56.4%,67.9%,54.9%,61.6%,76.7%,6.3,2.4,Alex De Minaur[AUS],3,45.3%,45.7%,3.4%,2.1%,38.6%,56.2%,33.3%,7.8,3.5,11.0,13.7,Alex De Minaur[AUS],3,41.7%,10,24,0.80,4.0,8.0,1.67,3.3,61.1%,11,18,0.60,3.0,6.0,1.17,2.3,Alex De Minaur[AUS],3,1.20,422,52.8%,0,0-0,-,0.0%,6,4-2,66.7%,60,33-27,55.0%,1:52,56.0,47.8
9,Lorenzo Musetti[ITA],3,0-3,0.0%,60.9%,59.9%,7,3.3%,1,0.5%,1.6%,70.2%,64.2%,53.1%,54.0%,72.7%,6.5,2.5,Lorenzo Musetti[ITA],3,36.3%,36.8%,4.5%,1.9%,31.0%,48.8%,17.1%,7.6,2.8,37.0,39.0,Lorenzo Musetti[ITA],3,35.3%,6,17,0.49,2.4,5.7,0.86,2.0,35.7%,5,14,0.42,2.0,4.7,1.29,3.0,Lorenzo Musetti[ITA],3,0.93,482,47.3%,3,0-3,0.0%,42.9%,7,1-6,14.3%,68,30-38,44.1%,2:02,52.4,45.7
10,Holger Rune[DEN],1,0-1,0.0%,63.2%,61.4%,9,9.5%,3,3.2%,8.1%,61.1%,75.9%,43.2%,47.1%,90.9%,8.6,3.2,Holger Rune[DEN],1,28.4%,29.7%,10.8%,2.7%,23.1%,40.9%,0.0%,6.7,1.9,14.0,14.0,Holger Rune[DEN],1,0.0%,0,3,0.27,1.5,3.0,0.00,0.0,88.9%,8,9,0.82,4.5,9.0,0.50,1.0,Holger Rune[DEN],1,0.77,169,47.9%,1,0-1,0.0%,50.0%,2,0-2,0.0%,22,10-12,45.5%,2:16,68.0,48.3
