Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],4,4-0,100.0%,66.2%,65.0%,40,10.1%,14,3.5%,8.4%,57.9%,75.7%,53.3%,58.2%,87.7%,6.1,2.1,Jannik Sinner[ITA],4,44.7%,45.1%,6.8%,4.9%,36.9%,57.9%,35.5%,6.6,3.0,84.5,88.8,Jannik Sinner[ITA],4,48.9%,22,45,0.73,3.2,11.3,1.57,5.5,78.9%,30,38,0.58,2.7,9.5,0.57,2.0,Jannik Sinner[ITA],4,1.32,809,55.3%,0,0-0,-,0.0%,14,12-2,85.7%,127,79-48,62.2%,1:59,34.0,35.3
2,Alexander Zverev[GER],4,4-0,100.0%,71.8%,69.0%,66,16.2%,13,3.2%,10.6%,69.9%,78.2%,56.9%,63.6%,93.9%,6.2,1.7,Alexander Zverev[GER],4,41.6%,42.3%,5.3%,2.6%,39.5%,45.6%,28.4%,6.8,2.8,82.0,125.3,Alexander Zverev[GER],4,33.9%,19,56,0.84,4.0,14.0,1.36,4.8,87.5%,28,32,0.48,2.3,8.0,0.29,1.0,Alexander Zverev[GER],4,1.48,862,55.9%,3,2-1,66.7%,21.4%,14,12-2,85.7%,133,81-52,60.9%,1:60,34.1,33.3
3,Carlos Alcaraz[ESP],4,4-0,100.0%,71.6%,71.9%,26,7.6%,12,3.5%,10.0%,64.8%,76.5%,62.5%,69.4%,89.7%,5.9,1.7,Carlos Alcaraz[ESP],4,48.6%,48.6%,2.9%,2.9%,43.1%,58.5%,43.9%,7.1,3.5,158.5,173.3,Carlos Alcaraz[ESP],4,41.7%,25,60,1.05,4.6,15.0,1.92,6.3,68.4%,13,19,0.33,1.5,4.8,0.46,1.5,Carlos Alcaraz[ESP],4,1.71,748,59.1%,2,2-0,100.0%,15.4%,13,12-1,92.3%,115,77-38,67.0%,1:52,34.3,35.8
4,Taylor Fritz[USA],4,4-0,100.0%,66.7%,63.7%,45,11.7%,8,2.1%,5.3%,60.7%,75.5%,53.0%,55.9%,84.6%,5.9,2.0,Taylor Fritz[USA],4,46.7%,45.2%,2.2%,4.6%,37.4%,59.5%,42.9%,6.5,3.0,84.5,83.3,Taylor Fritz[USA],4,58.7%,27,46,0.73,3.1,11.5,1.80,6.8,63.0%,17,27,0.42,1.8,6.8,0.67,2.5,Taylor Fritz[USA],4,1.40,795,56.4%,0,0-0,-,0.0%,15,12-3,80.0%,128,82-46,64.1%,1:51,29.7,33.6
5,Jack Draper[GBR],8,6-2,75.0%,66.1%,65.0%,71,9.9%,26,3.6%,8.6%,58.0%,76.5%,51.7%,56.5%,81.0%,5.7,1.9,Jack Draper[GBR],8,41.4%,42.7%,7.4%,3.3%,32.1%,53.8%,33.3%,6.2,2.6,72.0,97.5,Jack Draper[GBR],8,47.1%,41,87,0.71,3.1,10.9,1.46,5.1,52.0%,26,50,0.40,1.8,6.3,0.86,3.0,Jack Draper[GBR],8,1.22,1485,53.3%,1,1-0,100.0%,3.6%,28,18-10,64.3%,249,143-106,57.4%,1:52,32.0,36.2
6,Novak Djokovic[SRB],4,4-0,100.0%,71.3%,71.7%,33,9.4%,15,4.3%,10.7%,60.2%,76.9%,62.9%,70.4%,90.2%,5.8,1.7,Novak Djokovic[SRB],4,45.2%,44.5%,4.8%,5.1%,37.1%,60.6%,39.0%,7.0,3.2,140.0,147.5,Novak Djokovic[SRB],4,41.8%,23,55,0.93,4.2,13.8,1.77,5.8,53.8%,7,13,0.21,1.0,3.3,0.46,1.5,Novak Djokovic[SRB],4,1.57,766,57.2%,2,1-1,50.0%,15.4%,13,12-1,92.3%,120,78-42,65.0%,2:02,37.4,38.1
7,Casper Ruud[NOR],4,4-0,100.0%,74.8%,75.1%,44,13.5%,16,4.9%,13.8%,64.3%,83.7%,58.6%,68.0%,94.7%,5.7,1.4,Casper Ruud[NOR],4,45.0%,47.7%,7.7%,1.9%,37.1%,57.0%,35.2%,7.0,3.1,130.0,144.8,Casper Ruud[NOR],4,42.2%,19,45,0.83,3.8,11.3,1.58,4.8,83.3%,15,18,0.32,1.5,4.5,0.25,0.8,Casper Ruud[NOR],4,1.78,703,58.7%,2,2-0,100.0%,16.7%,12,12-0,100.0%,111,73-38,65.8%,1:38,32.8,33.5
8,Alex De Minaur[AUS],4,4-0,100.0%,66.7%,67.7%,37,9.1%,24,5.9%,11.3%,47.7%,76.7%,57.5%,64.9%,86.9%,6.6,2.2,Alex De Minaur[AUS],4,44.4%,45.1%,5.0%,2.8%,38.7%,52.3%,31.7%,7.7,3.4,70.5,126.5,Alex De Minaur[AUS],4,38.8%,19,49,0.82,3.8,12.3,1.46,4.8,70.4%,19,27,0.44,2.1,6.8,0.62,2.0,Alex De Minaur[AUS],4,1.33,867,54.8%,4,3-1,75.0%,30.8%,13,11-2,84.6%,121,72-49,59.5%,2:07,39.2,35.2
9,Lorenzo Musetti[ITA],4,4-0,100.0%,65.4%,64.8%,30,6.2%,12,2.5%,6.2%,60.0%,72.0%,55.4%,59.1%,82.4%,6.5,2.3,Lorenzo Musetti[ITA],4,41.0%,41.9%,7.4%,3.8%,30.6%,56.2%,29.7%,6.7,2.8,106.0,157.0,Lorenzo Musetti[ITA],4,45.8%,22,48,0.65,3.2,12.0,1.47,5.5,59.4%,19,32,0.43,2.1,8.0,0.87,3.3,Lorenzo Musetti[ITA],4,1.18,980,53.0%,4,4-0,100.0%,26.7%,15,12-3,80.0%,148,83-65,56.1%,2:24,38.3,35.2
10,Holger Rune[DEN],4,3-1,75.0%,67.9%,66.6%,43,11.2%,14,3.7%,8.5%,56.9%,78.9%,53.3%,58.3%,88.5%,6.3,2.0,Holger Rune[DEN],4,37.0%,36.6%,4.8%,3.3%,28.6%,49.1%,18.0%,6.5,2.4,61.5,135.0,Holger Rune[DEN],4,26.8%,11,41,0.67,3.2,10.3,0.85,2.8,70.8%,17,24,0.39,1.8,6.0,0.54,1.8,Holger Rune[DEN],4,1.15,778,52.2%,1,1-0,100.0%,7.7%,13,9-4,69.2%,122,65-57,53.3%,1:44,32.0,32.1
11,Daniil Medvedev[RUS],4,4-0,100.0%,66.6%,67.0%,40,9.9%,22,5.4%,14.3%,61.9%,76.0%,51.3%,59.8%,86.6%,6.0,2.0,Daniil Medvedev[RUS],4,43.4%,43.5%,5.4%,4.0%,34.6%,58.1%,35.4%,6.9,3.0,77.0,90.8,Daniil Medvedev[RUS],4,46.9%,23,49,0.75,3.3,12.3,1.53,5.8,60.9%,14,23,0.34,1.5,5.8,0.60,2.3,Daniil Medvedev[RUS],4,1.30,851,54.4%,0,0-0,-,0.0%,15,12-3,80.0%,132,81-51,61.4%,1:44,27.7,29.3
12,Tommy Paul[USA],4,4-0,100.0%,68.9%,67.8%,31,8.5%,9,2.5%,6.0%,59.0%,77.3%,56.7%,60.3%,90.2%,6.0,1.9,Tommy Paul[USA],4,45.4%,44.4%,3.5%,4.6%,38.9%,56.5%,42.6%,6.1,2.8,66.0,72.0,Tommy Paul[USA],4,59.1%,26,44,0.72,3.1,11.0,1.86,6.5,75.0%,18,24,0.39,1.7,6.0,0.43,1.5,Tommy Paul[USA],4,1.46,738,57.0%,0,0-0,-,0.0%,14,12-2,85.7%,122,81-41,66.4%,1:43,29.4,33.4
13,Ben Shelton[USA],4,4-0,100.0%,69.6%,68.0%,49,11.6%,13,3.1%,10.7%,71.2%,76.5%,52.5%,58.7%,88.9%,5.9,1.8,Ben Shelton[USA],4,39.7%,38.9%,3.4%,3.6%,33.5%,48.7%,27.1%,6.8,2.7,118.0,129.5,Ben Shelton[USA],4,44.2%,19,43,0.61,2.9,10.8,1.27,4.8,77.1%,27,35,0.49,2.3,8.8,0.53,2.0,Ben Shelton[USA],4,1.31,897,53.8%,1,1-0,100.0%,6.7%,15,12-3,80.0%,142,83-59,58.5%,2:01,32.3,32.4
14,Arthur Fils[FRA],6,4-2,66.7%,65.8%,63.7%,50,8.9%,10,1.8%,5.0%,64.2%,74.7%,49.8%,52.4%,81.5%,6.1,2.1,Arthur Fils[FRA],6,38.5%,37.9%,4.9%,4.1%,31.2%,49.3%,25.8%,6.1,2.3,104.5,127.7,Arthur Fils[FRA],6,39.3%,24,61,0.66,3.1,10.2,1.20,4.0,60.5%,26,43,0.47,2.2,7.2,0.85,2.8,Arthur Fils[FRA],6,1.13,1127,52.1%,1,1-0,100.0%,5.0%,20,12-8,60.0%,185,99-86,53.5%,1:44,31.3,33.3
15,Grigor Dimitrov[BUL],4,4-0,100.0%,70.8%,71.1%,43,11.9%,19,5.3%,12.6%,58.1%,85.6%,50.3%,57.6%,89.1%,5.6,1.6,Grigor Dimitrov[BUL],4,42.8%,43.0%,4.3%,2.8%,36.6%,52.2%,32.3%,6.5,2.8,78.5,105.5,Grigor Dimitrov[BUL],4,41.7%,20,48,0.77,3.7,12.0,1.54,5.0,66.7%,14,21,0.33,1.6,5.3,0.54,1.8,Grigor Dimitrov[BUL],4,1.47,760,56.1%,1,1-0,100.0%,7.7%,13,12-1,92.3%,126,77-49,61.1%,1:44,32.0,32.8
16,Frances Tiafoe[USA],4,4-0,100.0%,66.2%,64.6%,59,10.1%,18,3.1%,7.4%,58.1%,77.2%,50.8%,54.9%,86.2%,6.7,2.3,Frances Tiafoe[USA],4,37.4%,40.0%,12.7%,4.1%,26.6%,54.5%,21.8%,6.2,2.3,58.0,81.0,Frances Tiafoe[USA],4,40.4%,19,47,0.54,2.6,11.8,1.06,4.8,63.6%,21,33,0.38,1.8,8.3,0.67,3.0,Frances Tiafoe[USA],4,1.10,1125,52.3%,3,1-2,33.3%,16.7%,18,12-6,66.7%,174,94-80,54.0%,2:28,32.9,31.6
17,Andrey Rublev[RUS],4,3-1,75.0%,69.5%,68.1%,60,11.7%,18,3.5%,8.5%,58.7%,79.3%,55.5%,60.6%,89.4%,6.0,1.8,Andrey Rublev[RUS],4,39.0%,40.3%,8.5%,3.6%,30.6%,51.4%,17.9%,7.3,2.9,78.5,86.8,Andrey Rublev[RUS],4,27.8%,15,54,0.64,3.4,13.5,0.94,3.8,62.5%,15,24,0.28,1.5,6.0,0.56,2.3,Andrey Rublev[RUS],4,1.28,1126,52.8%,4,2-2,50.0%,25.0%,16,10-6,62.5%,169,91-78,53.8%,2:15,33.8,28.8
18,Francisco Cerundolo[ARG],4,3-1,75.0%,65.4%,66.2%,34,6.7%,24,4.7%,12.8%,63.2%,72.0%,54.0%,62.0%,84.1%,6.2,2.1,Francisco Cerundolo[ARG],4,36.6%,35.9%,5.3%,4.1%,32.2%,43.5%,23.2%,6.0,2.2,71.5,111.0,Francisco Cerundolo[ARG],4,42.2%,19,45,0.55,2.6,11.3,1.12,4.8,63.9%,23,36,0.44,2.1,9.0,0.76,3.3,Francisco Cerundolo[ARG],4,1.06,997,51.3%,1,1-0,100.0%,5.9%,17,11-6,64.7%,164,88-76,53.7%,2:19,32.6,33.4
19,Stefanos Tsitsipas[GRE],4,3-1,75.0%,67.3%,66.8%,38,8.6%,16,3.6%,8.8%,59.1%,76.0%,54.7%,60.0%,88.7%,6.2,2.0,Stefanos Tsitsipas[GRE],4,38.1%,39.0%,7.2%,3.1%,29.2%,48.2%,25.7%,6.9,2.6,85.0,88.3,Stefanos Tsitsipas[GRE],4,39.1%,18,46,0.66,3.3,11.5,1.29,4.5,68.0%,17,25,0.35,1.8,6.3,0.57,2.0,Stefanos Tsitsipas[GRE],4,1.16,929,52.0%,3,2-1,66.7%,21.4%,14,10-4,71.4%,141,81-60,57.4%,2:19,39.7,35.9
20,Tomas Machac[CZE],7,7-0,100.0%,62.3%,62.7%,27,4.1%,20,3.0%,8.1%,62.5%,69.6%,50.2%,54.6%,76.2%,6.3,2.4,Tomas Machac[CZE],7,46.1%,45.9%,4.3%,4.1%,36.6%,59.7%,40.0%,6.8,3.1,71.0,216.0,Tomas Machac[CZE],7,49.4%,42,85,0.81,3.9,12.1,1.91,6.0,51.9%,27,52,0.50,2.4,7.4,1.14,3.6,Tomas Machac[CZE],7,1.22,1374,53.9%,3,3-0,100.0%,13.6%,22,18-4,81.8%,210,122-88,58.1%,1:51,35.3,33.9
21,Jakub Mensik[CZE],7,5-2,71.4%,64.4%,63.9%,65,9.7%,32,4.8%,10.8%,55.9%,75.7%,50.0%,56.1%,83.8%,6.8,2.4,Jakub Mensik[CZE],7,37.9%,39.1%,10.8%,5.0%,27.6%,54.8%,22.7%,6.0,2.3,58.0,77.9,Jakub Mensik[CZE],7,39.3%,22,56,0.58,2.8,8.0,1.10,3.1,76.5%,52,68,0.69,3.4,9.7,0.80,2.3,Jakub Mensik[CZE],7,1.06,1252,52.1%,2,2-0,100.0%,10.0%,20,14-6,70.0%,196,105-91,53.6%,2:05,43.8,42.0
22,Ugo Humbert[FRA],4,3-1,75.0%,69.0%,67.5%,44,9.7%,11,2.4%,6.1%,60.0%,77.5%,56.4%,60.0%,87.5%,5.7,1.8,Ugo Humbert[FRA],4,37.3%,37.2%,7.0%,4.3%,31.4%,46.8%,24.0%,6.5,2.4,66.0,73.3,Ugo Humbert[FRA],4,32.7%,18,55,0.73,3.4,13.8,1.13,4.5,69.7%,23,33,0.41,2.1,8.3,0.63,2.5,Ugo Humbert[FRA],4,1.20,937,52.6%,2,1-1,50.0%,12.5%,16,10-6,62.5%,155,88-67,56.8%,2:08,31.9,32.7
23,Sebastian Korda[USA],4,3-1,75.0%,70.1%,69.3%,39,8.4%,12,2.6%,6.6%,60.6%,79.4%,55.7%,59.6%,88.3%,6.0,1.8,Sebastian Korda[USA],4,38.5%,40.7%,12.9%,5.1%,27.8%,56.3%,23.1%,6.8,2.6,95.5,95.3,Sebastian Korda[USA],4,36.0%,18,50,0.64,3.1,12.5,1.13,4.5,59.1%,13,22,0.29,1.4,5.5,0.56,2.3,Sebastian Korda[USA],4,1.29,998,53.2%,6,4-2,66.7%,37.5%,16,11-5,68.8%,155,86-69,55.5%,2:10,32.4,31.2
24,Karen Khachanov[RUS],4,3-1,75.0%,66.1%,64.8%,51,9.3%,17,3.1%,8.1%,61.5%,74.5%,52.6%,57.2%,84.1%,6.7,2.3,Karen Khachanov[RUS],4,38.2%,37.4%,4.9%,4.2%,28.0%,53.8%,25.0%,7.1,2.7,97.0,107.0,Karen Khachanov[RUS],4,37.0%,20,54,0.68,3.4,13.5,1.25,5.0,69.8%,30,43,0.52,2.7,10.8,0.81,3.3,Karen Khachanov[RUS],4,1.13,1116,51.9%,8,5-3,62.5%,50.0%,16,11-5,68.8%,162,89-73,54.9%,3:08,46.9,40.3
