Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],8,7-1,87.5%,71.6%,71.4%,47,8.2%,17,3.0%,8.0%,63.1%,80.4%,56.6%,61.5%,92.9%,5.8,1.6,Jannik Sinner[ITA],8,43.1%,43.2%,6.2%,4.5%,35.9%,53.3%,31.6%,6.6,2.8,56.0,63.1,Jannik Sinner[ITA],8,50.0%,30,60,0.63,2.9,7.5,1.43,3.8,79.4%,27,34,0.34,1.6,4.3,0.33,0.9,Jannik Sinner[ITA],8,1.52,1201,56.7%,1,1-0,100.0%,4.8%,21,19-2,90.5%,194,122-72,62.9%,1:07,25.6,26.8
2,Alexander Zverev[GER],10,5-5,50.0%,69.6%,67.7%,77,11.8%,19,2.9%,10.6%,72.5%,73.6%,58.9%,65.8%,88.1%,6.0,1.8,Alexander Zverev[GER],10,36.8%,37.8%,7.9%,3.3%,27.8%,51.4%,17.4%,6.6,2.4,16.5,36.1,Alexander Zverev[GER],10,26.8%,19,71,0.65,3.1,7.1,0.83,1.9,65.8%,25,38,0.35,1.7,3.8,0.57,1.3,Alexander Zverev[GER],10,1.21,1376,52.4%,4,2-2,50.0%,17.4%,23,13-10,56.5%,218,115-103,52.8%,1:51,48.1,48.3
3,Carlos Alcaraz[ESP],7,6-1,85.7%,69.8%,69.8%,33,6.5%,14,2.8%,8.2%,66.3%,71.7%,66.1%,72.0%,90.5%,6.0,1.8,Carlos Alcaraz[ESP],7,42.6%,42.1%,3.7%,3.5%,35.4%,54.4%,28.9%,6.9,2.9,51.0,80.7,Carlos Alcaraz[ESP],7,35.8%,24,67,0.81,3.7,9.6,1.33,3.4,68.0%,17,25,0.30,1.4,3.6,0.44,1.1,Carlos Alcaraz[ESP],7,1.41,1078,55.4%,3,3-0,100.0%,16.7%,18,15-3,83.3%,167,100-67,59.9%,1:35,36.8,36.9
4,Taylor Fritz[USA],7,4-3,57.1%,69.5%,66.8%,71,11.0%,9,1.4%,4.0%,65.2%,76.0%,57.3%,59.7%,84.7%,5.8,1.8,Taylor Fritz[USA],7,37.1%,36.3%,4.6%,3.9%,28.1%,52.7%,22.4%,6.3,2.3,24.0,31.7,Taylor Fritz[USA],7,41.4%,24,58,0.54,2.5,8.3,1.04,3.4,62.2%,28,45,0.41,2.0,6.4,0.74,2.4,Taylor Fritz[USA],7,1.22,1318,53.0%,3,1-2,33.3%,13.0%,23,13-10,56.5%,218,118-100,54.1%,1:44,31.5,33.0
5,Jack Draper[GBR],3,2-1,66.7%,60.0%,61.5%,17,6.4%,17,6.4%,14.7%,56.2%,74.5%,41.4%,48.5%,77.8%,7.4,2.9,Jack Draper[GBR],3,43.3%,42.9%,6.1%,5.3%,31.6%,57.8%,29.7%,6.6,2.9,17.0,31.3,Jack Draper[GBR],3,40.7%,11,27,0.73,3.4,9.0,1.38,3.7,74.2%,23,31,0.86,3.9,10.3,1.00,2.7,Jack Draper[GBR],3,1.08,510,52.0%,0,0-0,-,0.0%,8,5-3,62.5%,73,39-34,53.4%,2:10,48.8,45.9
6,Novak Djokovic[SRB],5,5-0,100.0%,63.1%,62.4%,23,5.2%,9,2.0%,6.3%,67.6%,68.7%,51.4%,54.8%,80.0%,6.3,2.3,Novak Djokovic[SRB],5,45.8%,45.4%,1.5%,2.0%,39.7%,56.3%,37.7%,6.6,3.0,24.0,21.2,Novak Djokovic[SRB],5,49.1%,26,53,0.77,3.8,10.6,1.86,5.2,44.0%,11,25,0.36,1.8,5.0,1.00,2.8,Novak Djokovic[SRB],5,1.24,898,54.3%,3,2-1,66.7%,21.4%,14,12-2,85.7%,139,82-57,59.0%,0:57,20.4,19.1
7,Casper Ruud[NOR],6,5-1,83.3%,73.4%,73.2%,22,5.4%,7,1.7%,5.3%,67.8%,80.9%,57.6%,60.8%,91.8%,5.6,1.5,Casper Ruud[NOR],6,33.9%,35.1%,7.5%,2.3%,25.7%,45.9%,14.5%,6.4,2.2,23.0,54.2,Casper Ruud[NOR],6,32.3%,10,31,0.45,2.2,5.2,0.71,1.7,66.7%,12,18,0.25,1.3,3.0,0.43,1.0,Casper Ruud[NOR],6,1.28,852,52.9%,2,1-1,50.0%,14.3%,14,10-4,71.4%,142,77-65,54.2%,1:26,36.6,36.1
8,Alex De Minaur[AUS],6,4-2,66.7%,61.5%,62.1%,22,5.7%,17,4.4%,9.5%,53.7%,70.7%,50.8%,56.2%,74.6%,6.1,2.4,Alex De Minaur[AUS],6,44.8%,43.6%,4.5%,5.7%,34.9%,60.1%,42.0%,6.4,2.9,21.5,54.3,Alex De Minaur[AUS],6,51.8%,29,56,0.81,3.5,9.3,1.81,4.8,46.7%,14,30,0.48,1.9,5.0,1.00,2.7,Alex De Minaur[AUS],6,1.16,829,52.6%,1,0-1,0.0%,6.3%,16,10-6,62.5%,132,76-56,57.6%,1:44,38.9,45.0
9,Lorenzo Musetti[ITA],5,5-0,100.0%,68.9%,69.0%,17,3.6%,8,1.7%,5.8%,71.0%,72.6%,59.9%,63.6%,86.7%,6.3,2.0,Lorenzo Musetti[ITA],5,36.9%,37.1%,9.3%,5.2%,29.4%,53.5%,25.0%,6.6,2.4,66.0,76.6,Lorenzo Musetti[ITA],5,30.2%,19,63,0.83,4.2,12.6,1.27,3.8,47.4%,9,19,0.25,1.3,3.8,0.67,2.0,Lorenzo Musetti[ITA],5,1.19,977,52.4%,4,3-1,75.0%,26.7%,15,11-4,73.3%,151,84-67,55.6%,2:16,45.2,41.6
10,Holger Rune[DEN],6,4-2,66.7%,68.1%,67.2%,39,7.5%,12,2.3%,6.1%,62.0%,73.2%,59.9%,63.8%,91.9%,7.0,2.2,Holger Rune[DEN],6,33.9%,34.3%,7.8%,3.5%,25.1%,47.9%,12.3%,6.7,2.3,38.0,42.3,Holger Rune[DEN],6,29.0%,9,31,0.42,2.2,5.2,0.64,1.5,82.4%,28,34,0.46,2.4,5.7,0.43,1.0,Holger Rune[DEN],6,1.07,1007,51.5%,6,4-2,66.7%,42.9%,14,9-5,64.3%,147,77-70,52.4%,1:45,45.0,37.5
