Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],23,18-5,78.3%,69.5%,67.9%,192,9.7%,43,2.2%,5.5%,60.1%,77.8%,57.0%,60.3%,88.9%,6.1,1.9,Jannik Sinner[ITA],23,38.2%,38.9%,7.1%,3.4%,28.5%,55.4%,22.1%,6.6,2.5,5.0,5.3,Jannik Sinner[ITA],23,40.5%,70,173,0.55,2.6,7.5,1.04,3.0,66.7%,72,108,0.33,1.6,4.7,0.54,1.6,Jannik Sinner[ITA],23,1.25,4080,53.4%,13,9-4,69.2%,19.4%,67,48-19,71.6%,642,359-283,55.9%,2:00,41.3,40.7
2,Alexander Zverev[GER],15,8-7,53.3%,68.2%,66.3%,133,9.8%,29,2.1%,8.3%,74.2%,73.3%,53.4%,58.3%,86.0%,6.1,1.9,Alexander Zverev[GER],15,34.4%,36.3%,8.4%,1.8%,25.5%,50.4%,18.2%,6.3,2.2,6.0,5.5,Alexander Zverev[GER],15,36.7%,40,109,0.50,2.5,7.3,0.91,2.7,59.2%,45,76,0.34,1.7,5.1,0.70,2.1,Alexander Zverev[GER],15,1.08,2749,51.1%,11,3-8,27.3%,25.0%,44,24-20,54.5%,442,231-211,52.3%,1:59,40.7,39.0
3,Carlos Alcaraz[ESP],17,12-5,70.6%,65.5%,65.6%,67,4.5%,39,2.6%,7.5%,65.3%,71.4%,54.4%,58.8%,83.1%,6.4,2.2,Carlos Alcaraz[ESP],17,38.1%,38.1%,5.5%,3.3%,32.1%,50.9%,24.4%,6.7,2.5,5.0,4.8,Carlos Alcaraz[ESP],17,38.4%,58,151,0.63,3.1,8.9,1.18,3.4,60.0%,60,100,0.42,2.0,5.9,0.82,2.4,Carlos Alcaraz[ESP],17,1.10,3087,51.4%,11,6-5,54.5%,22.4%,49,31-18,63.3%,474,254-220,53.6%,1:35,33.0,31.4
4,Taylor Fritz[USA],21,11-10,52.4%,67.7%,65.2%,224,11.7%,45,2.3%,6.2%,62.4%,77.3%,51.8%,55.2%,85.8%,6.3,2.0,Taylor Fritz[USA],21,31.9%,32.3%,9.8%,4.1%,22.7%,49.1%,13.7%,6.2,2.0,4.0,5.0,Taylor Fritz[USA],21,30.8%,41,133,0.44,2.2,6.3,0.68,2.0,71.9%,110,153,0.50,2.6,7.3,0.72,2.0,Taylor Fritz[USA],21,0.99,3762,50.2%,12,6-6,50.0%,20.0%,60,29-31,48.3%,602,301-301,50.0%,2:03,43.2,41.3
5,Jack Draper[GBR],10,4-6,40.0%,62.4%,61.7%,76,9.3%,37,4.5%,9.9%,54.3%,72.6%,50.4%,55.9%,77.5%,6.4,2.4,Jack Draper[GBR],10,35.0%,36.9%,9.0%,2.2%,26.1%,47.5%,18.9%,6.3,2.2,8.0,6.7,Jack Draper[GBR],10,33.8%,24,71,0.56,2.7,7.1,0.92,2.4,54.0%,34,63,0.49,2.4,6.3,1.12,2.9,Jack Draper[GBR],10,0.93,1622,48.9%,4,2-2,50.0%,15.4%,26,12-14,46.2%,256,124-132,48.4%,1:60,46.0,44.2
6,Novak Djokovic[SRB],6,2-4,33.3%,65.3%,64.7%,30,5.8%,12,2.3%,7.3%,68.1%,71.7%,51.5%,55.6%,81.0%,6.6,2.3,Novak Djokovic[SRB],6,32.7%,32.6%,6.2%,3.2%,24.5%,45.1%,7.6%,6.7,2.2,5.5,5.5,Novak Djokovic[SRB],6,26.1%,6,23,0.29,1.4,3.8,0.38,1.0,65.9%,29,44,0.56,2.8,7.3,0.94,2.5,Novak Djokovic[SRB],6,0.94,1050,48.8%,6,4-2,66.7%,37.5%,16,6-10,37.5%,158,70-88,44.3%,1:57,43.7,39.9
7,Casper Ruud[NOR],10,6-4,60.0%,63.6%,62.1%,42,5.9%,8,1.1%,3.5%,67.8%,70.2%,49.8%,51.6%,80.2%,6.1,2.2,Casper Ruud[NOR],10,33.3%,35.3%,12.0%,3.5%,26.4%,43.7%,20.5%,5.6,1.9,4.0,4.6,Casper Ruud[NOR],10,49.0%,24,49,0.42,2.0,4.9,0.96,2.4,54.9%,28,51,0.44,2.0,5.1,0.92,2.3,Casper Ruud[NOR],10,0.92,1363,49.2%,1,0-1,0.0%,4.0%,25,13-12,52.0%,233,117-116,50.2%,1:30,36.1,39.8
8,Alex De Minaur[AUS],16,5-11,31.3%,61.9%,61.6%,82,6.6%,44,3.6%,8.2%,56.6%,69.7%,51.8%,56.4%,74.8%,6.1,2.3,Alex De Minaur[AUS],16,35.4%,36.4%,6.8%,2.2%,27.5%,49.0%,16.9%,6.4,2.3,4.0,4.3,Alex De Minaur[AUS],16,36.8%,35,95,0.46,2.3,5.9,0.83,2.2,52.8%,57,108,0.53,2.6,6.8,1.21,3.2,Alex De Minaur[AUS],16,0.93,2566,48.2%,4,3-1,75.0%,9.5%,42,15-27,35.7%,409,186-223,45.5%,1:44,39.8,39.1
9,Lorenzo Musetti[ITA],9,3-6,33.3%,56.0%,56.0%,15,2.1%,12,1.7%,4.7%,64.2%,63.3%,42.7%,44.9%,65.1%,6.7,3.0,Lorenzo Musetti[ITA],9,35.0%,35.1%,5.1%,2.6%,27.6%,49.1%,19.0%,6.1,2.1,2.0,3.2,Lorenzo Musetti[ITA],9,54.1%,20,37,0.35,1.5,4.1,0.83,2.2,58.0%,51,88,0.83,3.7,9.8,1.54,4.1,Lorenzo Musetti[ITA],9,0.80,1355,46.1%,4,2-2,50.0%,16.7%,24,8-16,33.3%,211,89-122,42.2%,1:23,31.2,33.1
10,Holger Rune[DEN],9,2-7,22.2%,60.6%,61.3%,40,4.8%,35,4.2%,10.4%,59.9%,69.9%,46.7%,52.2%,74.2%,6.8,2.7,Holger Rune[DEN],9,30.3%,30.9%,8.4%,2.9%,22.5%,43.7%,11.0%,6.0,1.8,4.0,5.0,Holger Rune[DEN],9,33.3%,14,42,0.33,1.7,4.7,0.56,1.6,62.4%,53,85,0.69,3.4,9.4,1.28,3.6,Holger Rune[DEN],9,0.77,1602,46.1%,6,3-3,50.0%,24.0%,25,7-18,28.0%,251,106-145,42.2%,1:54,40.9,38.3
11,Daniil Medvedev[RUS],15,6-9,40.0%,62.6%,63.0%,100,7.2%,66,4.7%,12.8%,63.2%,72.0%,46.5%,53.3%,76.3%,6.5,2.4,Daniil Medvedev[RUS],15,31.7%,33.0%,8.3%,2.1%,24.8%,44.0%,15.1%,6.0,1.9,3.0,4.3,Daniil Medvedev[RUS],15,39.8%,33,83,0.38,1.8,5.5,0.73,2.2,58.5%,72,123,0.57,2.7,8.2,1.13,3.4,Daniil Medvedev[RUS],15,0.85,2701,47.7%,7,5-2,71.4%,15.6%,45,18-27,40.0%,434,197-237,45.4%,2:15,45.0,45.0
12,Tommy Paul[USA],9,4-5,44.4%,57.8%,57.6%,32,4.0%,20,2.5%,6.4%,60.7%,62.4%,50.8%,54.3%,67.9%,7.1,3.0,Tommy Paul[USA],9,40.8%,41.9%,5.6%,2.2%,34.3%,50.7%,29.5%,6.8,2.8,4.0,5.8,Tommy Paul[USA],9,41.8%,33,79,0.71,3.3,8.8,1.38,3.7,63.6%,63,99,0.88,4.1,11.0,1.50,4.0,Tommy Paul[USA],9,0.97,1556,49.5%,4,0-4,0.0%,16.7%,24,10-14,41.7%,224,109-115,48.7%,1:56,43.6,40.3
13,Ben Shelton[USA],6,1-5,16.7%,65.8%,64.3%,57,11.1%,20,3.9%,13.2%,70.4%,71.0%,53.3%,61.4%,86.1%,6.5,2.2,Ben Shelton[USA],6,23.5%,23.5%,8.6%,2.6%,18.7%,34.3%,6.3%,5.8,1.4,3.0,3.2,Ben Shelton[USA],6,20.0%,5,25,0.32,1.7,4.2,0.33,0.8,73.2%,30,41,0.52,2.7,6.8,0.73,1.8,Ben Shelton[USA],6,0.69,970,45.9%,5,0-5,0.0%,33.3%,15,3-12,20.0%,158,73-85,46.2%,1:57,46.8,43.4
14,Arthur Fils[FRA],8,3-5,37.5%,61.8%,62.6%,57,6.8%,44,5.3%,13.5%,61.2%,72.7%,44.6%,51.6%,79.2%,7.0,2.7,Arthur Fils[FRA],8,31.7%,33.3%,9.7%,2.5%,25.3%,42.9%,11.8%,6.2,2.0,6.0,6.0,Arthur Fils[FRA],8,31.1%,14,45,0.38,1.9,5.6,0.58,1.8,71.6%,63,88,0.73,3.7,11.0,1.04,3.1,Arthur Fils[FRA],8,0.83,1572,47.8%,3,3-0,100.0%,12.5%,24,10-14,41.7%,239,109-130,45.6%,2:28,49.5,45.3
15,Grigor Dimitrov[BUL],11,6-5,54.5%,65.2%,64.8%,79,8.1%,37,3.8%,10.5%,63.8%,73.6%,50.3%,56.2%,84.8%,6.7,2.3,Grigor Dimitrov[BUL],11,33.8%,35.8%,10.8%,2.8%,25.6%,47.3%,13.2%,6.6,2.2,5.0,5.4,Grigor Dimitrov[BUL],11,32.2%,19,59,0.41,2.0,5.4,0.66,1.7,69.0%,49,71,0.49,2.4,6.5,0.76,2.0,Grigor Dimitrov[BUL],11,0.97,1921,49.7%,9,5-4,55.6%,31.0%,29,15-14,51.7%,289,142-147,49.1%,1:46,40.2,36.4
16,Frances Tiafoe[USA],5,3-2,60.0%,67.3%,67.9%,30,7.0%,18,4.2%,9.6%,56.4%,76.5%,55.3%,61.2%,86.6%,6.4,2.1,Frances Tiafoe[USA],5,35.2%,35.7%,10.5%,5.0%,25.9%,47.7%,18.8%,6.6,2.3,7.0,5.6,Frances Tiafoe[USA],5,36.1%,13,36,0.52,2.6,7.2,0.93,2.6,60.9%,14,23,0.34,1.6,4.6,0.64,1.8,Frances Tiafoe[USA],5,1.07,889,50.7%,4,1-3,25.0%,28.6%,14,8-6,57.1%,136,71-65,52.2%,2:11,46.7,44.1
17,Andrey Rublev[RUS],9,3-6,33.3%,64.3%,63.8%,70,7.8%,32,3.6%,9.6%,63.1%,73.8%,48.2%,53.3%,82.9%,6.4,2.3,Andrey Rublev[RUS],9,34.9%,35.9%,9.9%,4.0%,25.1%,50.3%,17.9%,6.4,2.2,3.0,4.4,Andrey Rublev[RUS],9,34.7%,25,72,0.51,2.5,8.0,0.86,2.8,69.6%,55,79,0.56,2.7,8.8,0.83,2.7,Andrey Rublev[RUS],9,0.98,1793,49.7%,5,0-5,0.0%,17.2%,29,11-18,37.9%,280,141-139,50.4%,2:22,44.0,42.7
18,Francisco Cerundolo[ARG],7,4-3,57.1%,61.8%,62.6%,24,4.2%,22,3.9%,9.9%,60.7%,67.5%,52.9%,58.7%,76.3%,7.5,2.9,Francisco Cerundolo[ARG],7,36.7%,35.9%,3.7%,3.4%,29.0%,52.0%,20.8%,7.7,2.8,7.0,6.0,Francisco Cerundolo[ARG],7,29.6%,16,54,0.70,3.2,7.7,0.94,2.3,62.5%,30,48,0.63,2.8,6.9,1.06,2.6,Francisco Cerundolo[ARG],7,0.96,1159,49.0%,3,3-0,100.0%,17.6%,17,10-7,58.8%,153,74-79,48.4%,1:14,30.6,26.9
